Date,Value,Anomaly
196801,53.1,-2.9
196802,51.9,-7.7
196803,66.1,-1.1
196804,76.4,0.8
196805,81.3,-1.7
196806,91,1.7
196807,89.9,-1.2
196808,91.2,0.6
196809,85.3,-1
196810,77.1,0.2
196811,62.8,-3.2
196812,54.3,-3.1
196901,53.6,-2.4
196902,56.9,-2.7
196903,59.8,-7.4
196904,76.8,1.2
196905,82.1,-0.9
196906,90.6,1.3
196907,92.3,1.2
196908,88.6,-2
196909,83.6,-2.7
196910,75.4,-1.5
196911,64.4,-1.6
196912,55.1,-2.3
197001,48.3,-7.7
197002,57.9,-1.7
197003,64.3,-2.9
197004,78.2,2.6
197005,84.5,1.5
197006,86.2,-3.1
197007,91,-0.1
197008,89.2,-1.4
197009,89.2,2.9
197010,75.3,-1.6
197011,62.1,-3.9
197012,61.4,4
197101,55.8,-0.2
197102,58.4,-1.2
197103,62.5,-4.7
197104,76.3,0.7
197105,79.5,-3.5
197106,90.2,0.9
197107,88.2,-2.9
197108,88,-2.6
197109,85.3,-1
197110,79.5,2.6
197111,65.2,-0.8
197112,64.3,6.9
197201,60.4,4.4
197202,58,-1.6
197203,68.1,0.9
197204,76.9,1.3
197205,80.6,-2.4
197206,87.4,-1.9
197207,89.2,-1.9
197208,90.9,0.3
197209,89.4,3.1
197210,75.5,-1.4
197211,60.5,-5.5
197212,59.2,1.8
197301,53.6,-2.4
197302,56.9,-2.7
197303,70.4,3.2
197304,71.2,-4.4
197305,80.3,-2.7
197306,87.8,-1.5
197307,90.4,-0.7
197308,88.7,-1.9
197309,87.1,0.8
197310,79.6,2.7
197311,70,4
197312,57.9,0.5
197401,64,8
197402,60.4,0.8
197403,72.8,5.6
197404,75.7,0.1
197405,83.4,0.4
197406,85,-4.3
197407,90.4,-0.7
197408,88.4,-2.2
197409,80.7,-5.6
197410,75.3,-1.6
197411,66,0
197412,57.5,0.1
197501,60.2,4.2
197502,62.6,3
197503,66,-1.2
197504,73.5,-2.1
197505,83.2,0.2
197506,87.3,-2
197507,88,-3.1
197508,88.6,-2
197509,80.8,-5.5
197510,75.7,-1.2
197511,66.4,0.4
197512,56.5,-0.9
197601,52.8,-3.2
197602,67.2,7.6
197603,69.8,2.6
197604,77.4,1.8
197605,76.6,-6.4
197606,85.9,-3.4
197607,90,-1.1
197608,89,-1.6
197609,83,-3.3
197610,70.5,-6.4
197611,58.3,-7.7
197612,54.2,-3.2
197701,43.6,-12.4
197702,59.1,-0.5
197703,69.4,2.2
197704,78.5,2.9
197705,85.2,2.2
197706,92.6,3.3
197707,93,1.9
197708,90.4,-0.2
197709,85.9,-0.4
197710,72.9,-4
197711,65.9,-0.1
197712,56,-1.4
197801,44.4,-11.6
197802,50.3,-9.3
197803,63.6,-3.6
197804,78,2.4
197805,81.6,-1.4
197806,89.3,0
197807,92.1,1
197808,90.2,-0.4
197809,88.6,2.3
197810,77.6,0.7
197811,72.3,6.3
197812,59.2,1.8
197901,47.8,-8.2
197902,53.4,-6.2
197903,68.9,1.7
197904,75.1,-0.5
197905,80.7,-2.3
197906,86.8,-2.5
197907,88.4,-2.7
197908,89.6,-1
197909,81.9,-4.4
197910,76.7,-0.2
197911,65.8,-0.2
197912,57.6,0.2
198001,55.8,-0.2
198002,54.7,-4.9
198003,64.2,-3
198004,73.7,-1.9
198005,81.1,-1.9
198006,89.4,0.1
198007,94.8,3.7
198008,94,3.4
198009,90.3,4
198010,73.5,-3.4
198011,64.1,-1.9
198012,58,0.6
198101,52.2,-3.8
198102,59.5,-0.1
