latitude,longitude,cluster,size
35.12789697615385,-106.5610755576923,19,99
35.09741131079365,-106.66665187777778,26,81
35.04469525661765,-106.74399980441177,81,75
35.07693147533333,-106.60805960666667,96,68
35.183403465,-106.68146638846154,2,67
35.115621461515154,-106.70824966060606,8,65
35.069596581714286,-106.55972063714286,39,63
35.06683751206349,-106.64033666190475,7,63
35.113594833538464,-106.5779411,12,62
35.17014528846154,-106.53815994230769,1,61
35.11208235285714,-106.53740708809524,88,61
35.063232560869565,-106.72782154782608,85,58
35.150797048548384,-106.70639555806451,93,58
35.074066941842105,-106.50097564210526,42,53
35.16533277139535,-106.56311225813954,18,53
35.16288960238095,-106.6112791952381,4,52
35.12031215214286,-106.59975070714286,14,51
35.06339507255814,-106.57841961860466,35,50
35.08633027037736,-106.63012698301887,99,49
35.0479922340404,-106.7209805030303,89,47
35.09136853176471,-106.74479864705883,21,46
35.09870961152174,-106.58150725652173,23,45
35.11295181,-106.73458622631578,38,44
35.08578682377778,-106.65668059333333,24,44
35.12629238255319,-106.58095488297872,10,43
35.10343481,-106.61710694333334,17,43
35.05598197296296,-106.71482988888889,98,41
35.088959867837836,-106.60269697837838,86,41
35.11355520615385,-106.66971739230769,13,38
35.075674436451614,-106.63226488709677,27,38
35.10158226322581,-106.64037088064516,91,37
35.00781071,-106.70711743333334,92,37
35.21517279571429,-106.68449907142858,6,35
35.10259701125,-106.55881485,83,35
35.14914949125,-106.5290697625,5,33
35.0672568268,-106.735045758,29,31
35.189467158571425,-106.56353527142858,30,31
35.08431995064516,-106.58139815806452,37,31
35.088537146363635,-106.66568687727273,43,30
35.06418746,-106.64822475714286,25,30
35.130240411818185,-106.71700873636364,67,28
35.05217585,-106.5811272,16,28
35.108864231698114,-106.71310663018868,74,27
35.09572889933333,-106.65137147666667,87,26
35.07149574428571,-106.70752327142857,9,26
35.18847793,-106.58814965,0,26
35.10773258,-106.4920584,11,23
35.087096026666664,-106.5357104,15,21
35.15038712,-106.71787265,68,20
35.15130125,-106.4898911,22,19
35.110253982,-106.68313427,60,18
35.12294944846154,-106.69824798461539,20,17
35.0814782325,-106.6817293,33,16
35.177657912499996,-106.5454188625,69,15
35.13927167,-106.6550372,3,15
35.097265632222225,-106.73601683333334,62,14
35.11082519,-106.60206051818182,51,13
35.135592027499996,-106.524750775,28,13
35.118395567142855,-106.6797863,56,11
35.132144416,-106.70522412,40,11
35.09251719388889,-106.59783171111111,50,10
35.158670416666666,-106.69491243333334,55,9
35.037933464285715,-106.74649443571428,53,8
35.12426995,-106.5418814,34,8
35.073719028,-106.64731074000001,36,7
35.08383778,-106.5153933,32,7
35.05303593,-106.6316593,58,7
35.14898768571429,-106.71601484642856,44,7
35.090658174,-106.66195208,64,5
35.045905168,-106.74987217333333,59,5
35.13727571,-106.6934242,52,4
35.112334880000006,-106.52429065000001,57,4
35.09030127,-106.4886302,80,3
35.13973693,-106.5546209,31,3
35.05425391074074,-106.57356359259259,75,3
35.110864033333335,-106.54643946666667,77,3
35.16029232,-106.5461974,61,3
35.06996806,-106.61005406666666,47,3
35.05939084,-106.5904201,48,2
35.11331779,-106.5009807,45,2
35.098481113333335,-106.59941853333333,63,2
35.09648555891892,-106.66672638378378,90,2
35.17892974,-106.5613988,71,2
35.165450862093024,-106.56209557674418,46,1
35.17181855,-106.5519115,41,1
35.07743598068966,-106.63300107413794,84,1
35.113074554634146,-106.53701586829268,95,1
35.125231023478264,-106.58278013478261,65,1
35.09671475566667,-106.665373415,73,1
35.099740694680854,-106.58151473404256,72,1
35.082163745,-106.6687454,76,1
35.11940432405405,-106.59881734324324,66,1
35.09033557815789,-106.60269579210527,49,1
35.04572274622951,-106.74469704590165,94,1
35.09472515,-106.5635312,79,1
35.12103445,-106.5899723,54,1
35.0458495140625,-106.743519440625,70,1
35.06045584,-106.5683658,78,1
35.112766066190474,-106.53822821666667,82,1
35.086048900204084,-106.65733740816327,97,1
33.833327624710044,-117.91635348104667,69,1680
33.854961860692214,-117.78046158380717,86,1382
33.825857545846155,-117.98377924581196,84,1244
33.83430236630769,-117.88011779902098,21,1183
33.83750882069091,-117.95423696327272,8,1147
33.855052256616915,-117.81332180024876,22,1136
33.800195533777135,-117.92895629261939,98,1124
33.84377943396226,-117.74366886792453,48,1114
33.82176302488617,-117.93742858178634,12,1101
33.849592633764985,-117.8855789880096,23,1079
33.823906534471966,-117.99940473220339,55,1065
33.806896338767125,-117.9051116630137,29,1052
33.844629178513145,-117.91393477760653,53,1044
33.84364225006438,-117.87434934130901,62,991
33.832547055987845,-117.89695440243162,14,987
33.848737388267395,-117.94527047380627,50,983
33.8063760980117,-117.95728876159843,85,980
33.850449372921226,-117.82069326673961,60,970
33.87316162699005,-117.75775335721393,66,970
33.79767653134907,-117.89727827605397,81,958
33.85412669865306,-117.85391272326531,80,957
33.8258367065529,-117.90827150008532,51,956
33.842752580915494,-117.97338914110915,13,935
33.82075034146814,-117.92868452077562,41,928
33.812927313615816,-117.97500867457627,76,927
33.84828627376426,-117.76448479087452,61,918
33.84318459851649,-117.90495469848901,17,914
33.86832571739131,-117.80585173913043,42,908
33.85068403175299,-117.96148446945551,39,897
33.84886966501425,-117.9370050076923,82,891
33.86645187060811,-117.86062609949325,35,878
33.806826210045664,-117.88042374429223,89,877
33.86499864118896,-117.74228980891719,64,857
33.85205339760714,-117.80049781940477,95,854
33.87132962131579,-117.76747414959515,9,842
