tree_type,latitude,longitude,size
Honeylocust,35.09577094363637,-106.66267259393939,42
Honeylocust,35.112395561999996,-106.57799790666667,33
Honeylocust,35.14942101916667,-106.71444665,15
Honeylocust,35.054850335333334,-106.72746046,15
Honeylocust,35.169799634545456,-106.55430900909091,13
Honeylocust,35.10981987615385,-106.71234604615385,12
Honeylocust,35.06857673785714,-106.64261756904762,11
Honeylocust,35.16355116,-106.61161176666667,10
Honeylocust,35.183508595,-106.68157183000001,5
Honeylocust,35.105154282,-106.530428,3
Littleleaf linden,35.06353123142857,-106.57865182857142,7
Littleleaf linden,35.055765701666665,-106.71478283333333,6
Littleleaf linden,35.1123933875,-106.537563025,5
Littleleaf linden,35.12842873,-106.5610924,4
Littleleaf linden,35.10871227,-106.7130335,1
Littleleaf linden,35.13606075,-106.5237071,1
Littleleaf linden,35.047816866,-106.72121655999999,1
Littleleaf linden,35.1256619,-106.5831944,1
Littleleaf linden,35.13973693,-106.5546209,1
Littleleaf linden,35.134125,-106.5291747,1
Green ash,35.06951338571428,-106.55954305714286,7
Green ash,35.08892403,-106.66563925,3
Green ash,35.165422275,-106.56348489999999,2
Green ash,35.10937601333333,-106.71310163333334,2
Green ash,35.00745449,-106.7077172,1
Green ash,35.12492142,-106.582196,1
Green ash,35.1503977,-106.7066941,1
Green ash,35.08639698,-106.6304804,1
Green ash,35.06332934,-106.5788979,1
Green ash,35.09547266,-106.6514511,1
,35.06423962,-106.6479421,
,35.08646271,-106.6301079,
Crape myrtle,33.8019172754386,-117.8931605877193,721
Crape myrtle,33.86721027196721,-117.7543935409836,675
Crape myrtle,33.84756424163077,-117.9444080126154,325
Crape myrtle,33.856394128356165,-117.78860685662102,305
Crape myrtle,33.817106465464484,-117.93485683497266,219
Crape myrtle,33.84097244768889,-117.8920353531852,183
Crape myrtle,33.82296296906433,-117.99616220760234,183
Crape myrtle,33.85825076837607,-117.83051996923078,171
Crape myrtle,33.832939865311474,-117.96114147442623,117
Crape myrtle,33.83198925790569,-117.9160384959778,114
Red maple,33.84455,-117.7424,3
Red maple,33.84377,-117.971,3
Red maple,33.81359,-117.9531,2
Red maple,33.84404,-117.7429,1
Red maple,33.845145,-117.7424,1
Red maple,33.844363333333334,-117.74316666666668,1
Red maple,33.84501,-117.7429,1
Red maple,33.84518,-117.7427,1
Red maple,33.84512,-117.7425,1
Red maple,33.84408,-117.743,1
Honeylocust,39.685787045499616,-104.80753281340046,1587
Honeylocust,39.70884772935098,-104.84494519332074,1291
Honeylocust,39.64321986794038,-104.77942376910568,1158
Honeylocust,39.738750677924756,-104.81147407257282,1011
Honeylocust,39.736958616986186,-104.8672187492228,824
Honeylocust,39.64986908217606,-104.80912730445104,757
Honeylocust,39.593719142727274,-104.70240745681818,738
Honeylocust,39.68474564008368,-104.84850690767085,717
Honeylocust,39.683516461968296,-104.78002762021136,261
Honeylocust,39.74507404777778,-104.75694215249042,44
Littleleaf linden,39.67226025734694,-104.80787938163266,49
Littleleaf linden,39.73751585058824,-104.87679783529411,17
Littleleaf linden,39.719580424,-104.83851947999999,10
Littleleaf linden,39.672555813,-104.77556129,9
Littleleaf linden,39.63926176333334,-104.78395386666666,9
Littleleaf linden,39.74252355,-104.7687857,8
Littleleaf linden,39.7374632675,-104.813772125,5
Littleleaf linden,39.70080364125,-104.8509749,4
Littleleaf linden,39.70208375,-104.79676285,4
Littleleaf linden,39.745701947777775,-104.84556817777778,2
Green ash,39.68580649225197,-104.78242938220474,988
Green ash,39.73819945510135,-104.86525598766892,977
Green ash,39.64419054486842,-104.79129119291498,635
Green ash,39.718283849380164,-104.80711223181818,592
Green ash,39.69183331255874,-104.85420164386423,484
Green ash,39.71995586351074,-104.84253362958034,426
Green ash,39.74146876533333,-104.76886357190476,398
Green ash,39.75594660389447,-104.83244042638192,383
Green ash,39.66578273046949,-104.81407943051643,372
Green ash,39.64160437209677,-104.7565790717742,210
Norway maple,39.69106981654353,-104.80657987018469,793
Norway maple,39.711186872962294,-104.83803247091562,611
Norway maple,39.6329285428084,-104.79443042992126,590
Norway maple,39.65210569220736,-104.76540583311036,557
Norway maple,39.660828229936946,-104.8040378595208,381
Norway maple,39.74620858330033,-104.84559650726074,379
Norway maple,39.73487223973054,-104.80057514311378,367
Norway maple,39.68970805726678,-104.85070337381342,334
Norway maple,39.725706012728814,-104.86426566322035,303
Norway maple,39.68729160190736,-104.77077216948229,299
Pin oak,39.66042816888889,-104.79858077777777,9
Pin oak,39.73214761,-104.8396508,4
Pin oak,39.656382,-104.751492,2
Pin oak,39.691945,-104.852466,1
Pin oak,39.74951768,-104.81458814999999,1
Pin oak,39.63003457,-104.8180685,1
Pin oak,39.64851884,-104.7747153,1
Pin oak,39.63931587,-104.8064863,1
Pin oak,39.65937735,-104.8093356,1
Pin oak,39.660486605,-104.7975893,1
,39.75236382,-104.8255576,
,39.68498719,-104.8482161,
Red maple,39.31298736082898,-76.6371876376027,2575
Red maple,39.3295461865319,-76.55924626198562,1703
Red maple,39.2941222757563,-76.68809342886554,1400
Red maple,39.35893003117909,-76.57771442068965,1339
Red maple,39.35331707268581,-76.62477001353885,1184
Red maple,39.29116136620194,-76.5777980251301,1178
Red maple,39.34012176439728,-76.67987952050935,1113
Red maple,39.285582872700004,-76.63922810092858,899
Red maple,39.265232414227846,-76.60781747203798,790
Red maple,39.31948377828538,-76.60681044100411,714
Green ash,39.27953380615384,-76.6852482825641,165
Green ash,39.31508796733333,-76.59339738872727,153
Green ash,39.3405142,-76.64108939780488,123
Green ash,39.330780772178215,-76.54335916673267,117
Green ash,39.29137832300653,-76.63763536862746,110
Green ash,39.35948830768116,-76.58043442260869,101
Green ash,39.35799731627272,-76.67839265,97
Green ash,39.25855029258427,-76.611182027191,89
Green ash,39.31677883804124,-76.68240372701031,87
Green ash,39.29555535505747,-76.553156615977,69
Norway maple,39.29435177989362,-76.68613424414893,642
Norway maple,39.2916366660815,-76.57375712774295,519
Norway maple,39.3500918367147,-76.63665285224783,493
Norway maple,39.28384403471186,-76.62160668630509,411
Norway maple,39.3434985610219,-76.5599939120438,347
Norway maple,39.34267807405679,-76.68293991572008,319
Norway maple,39.30417703014019,-76.64434198964175,295
Norway maple,39.35887563771627,-76.6029546033218,289
Norway maple,39.23572851319327,-76.6062575784874,282
Norway maple,39.32420525578035,-76.60965124662813,119
Pin oak,39.288023618048044,-76.62965429897898,341
Pin oak,39.338825525625005,-76.55034601850961,333
Pin oak,39.32317055512,-76.5973548554,331
Pin oak,39.337521601782605,-76.67918047265216,313
Pin oak,39.25436482974441,-76.61980465226837,250
Pin oak,39.35886187935484,-76.60090694365591,230
Pin oak,39.28918598043478,-76.67630980118012,208
Pin oak,39.3309559844713,-76.62891862416919,186
Pin oak,39.284490504054055,-76.5425121531081,161
Pin oak,39.29144037196481,-76.58740848733139,74
London planetree,39.289815960506665,-76.60128655942667,898
London planetree,39.31932574207476,-76.66522557442991,897
London planetree,39.36194655992551,-76.61042824774675,750
London planetree,39.346428580829695,-76.68632049917031,702
London planetree,39.23253306994764,-76.6015743121466,687
London planetree,39.29111268342252,-76.56944286835005,630
London planetree,39.32497014501587,-76.6179483844762,537
London planetree,39.28972113613586,-76.63904675152561,535
London planetree,39.34434268690883,-76.56216835316239,206
London planetree,39.2873656834466,-76.69352245441748,191
Littleleaf linden,39.28720792329955,-76.57106312537162,1149
Littleleaf linden,39.31920107733038,-76.61151220346608,888
Littleleaf linden,39.33366652170329,-76.55145189120879,780
Littleleaf linden,39.28366253659011,-76.638134910106,678
Littleleaf linden,39.34372311691466,-76.68144918660832,566
Littleleaf linden,39.28347633430769,-76.60136800880768,467
Littleleaf linden,39.29231179393678,-76.68400835436782,457
Littleleaf linden,39.30773804786771,-76.63330535260226,418
Littleleaf linden,39.34610554818182,-76.62477579452154,348
Littleleaf linden,39.357914547087795,-76.58552983993576,182
Callery pear,39.34475648518248,-76.67472420204379,752
Callery pear,39.30256558413564,-76.58917721918883,737
Callery pear,39.31241150588874,-76.62101667943011,728
Callery pear,39.28485903087912,-76.63579637053572,640
Callery pear,39.34469711443709,-76.55265543821191,497
Callery pear,39.28563672282813,-76.56833547812501,391
Callery pear,39.23744582189655,-76.60288329603448,309
Callery pear,39.302703259967636,-76.67110110889968,302
Callery pear,39.276621783179074,-76.6062894438833,274
Callery pear,39.3481534202046,-76.6114366880307,116
Honeylocust,39.35473971,-76.54388785,12
Honeylocust,39.302935158333334,-76.63990941583333,9
Honeylocust,39.28710600375,-76.579107945,8
Honeylocust,39.34503320857142,-76.62870180285714,8
Honeylocust,39.241391934444444,-76.59155144111111,7
Honeylocust,39.30594663,-76.54490737,7
Honeylocust,39.279112768333334,-76.66513978,6
Honeylocust,39.32658541,-76.61422500142858,3
Honeylocust,39.334828646666665,-76.67886342000001,3
Honeylocust,39.32094872333334,-76.57405447000001,1
Live oak,39.315813065,-76.61830696,2
Live oak,39.30676848,-76.628096985,2
Live oak,39.30529738,-76.62387359,1
Live oak,39.3052694,-76.62631518,1
Live oak,39.31632157,-76.61559679,1
Live oak,39.30652635,-76.62437547,1
Live oak,39.30409773,-76.62585177,1
Live oak,39.30675693,-76.62834005,1
Live oak,39.30511807,-76.62366348,1
Live oak,39.3066334,-76.6285069,1
Norway maple,42.950898831108034,-78.89940279753463,1516
Norway maple,42.88445253871795,-78.81526212045787,1444
Norway maple,42.914576386674874,-78.8130070746798,1315
Norway maple,42.93682151888281,-78.87089212022656,1280
