NAME,tree_abundance
Arizona,214
California,1941933
Colorado,367875
District of Columbia,190991
Florida,128731
Georgia,41307
Hawaii,15440
Indiana,98942
Iowa,16875
Kansas,45148
Kentucky,32711
Louisiana,105813
Maryland,121296
Massachusetts,18787
Michigan,105324
Minnesota,190766
Missouri,83594
Nevada,39193
New Jersey,774
New Mexico,2502
New York,880839
North Carolina,22619
Ohio,151937
Oklahoma,10000
Oregon,218602
Pennsylvania,45703
Rhode Island,24525
South Dakota,63024
Tennessee,12059
Texas,271854
Virginia,3272
Washington,165623
Wisconsin,128302
