common_name,latitude_coordinate,longitude_coordinate
,35.06045584,-106.5683658
,35.13927167,-106.6550372
,35.05217585,-106.5811272
,35.05245023,-106.5750558
Honeylocust,35.14963169,-106.7165393
Honeylocust,35.14974424,-106.7166403
,35.15012146,-106.7164405
,35.15002222,-106.7163844
,35.14993063,-106.7163341
,35.14983483,-106.7162492
,35.14970982,-106.7161868
,35.14963007,-106.7161276
,35.1495365,-106.7160727
,35.14943452,-106.716013
,35.14934022,-106.7159372
,35.14924614,-106.7158683
,35.14914715,-106.7158158
,35.14903236,-106.7157384
,35.14893369,-106.7156784
,35.14886249,-106.7156225
,35.14869892,-106.7155232
,35.14861084,-106.7154591
,35.14849712,-106.7153987
Honeylocust,35.14805579,-106.7156455
Honeylocust,35.1481161,-106.7157306
Honeylocust,35.14821793,-106.7157562
Honeylocust,35.14807023,-106.7158885
Honeylocust,35.14813934,-106.7161358
Honeylocust,35.14818744,-106.7160979
Honeylocust,35.14825806,-106.7162644
Honeylocust,35.14841903,-106.7163722
,35.14822637,-106.7164951
Honeylocust,35.14992074,-106.7175804
,35.1508535,-106.7181649
,35.18844779,-106.5882217
,35.18850807,-106.5880776
,35.15912371,-106.6946815
,35.07497921,-106.6313876
,35.07603584,-106.6313766
,35.1259072,-106.5807131
,35.09883441,-106.5813853
,35.09990586,-106.5817139
,35.09985319,-106.5817206
,35.09985429,-106.5818037
,35.09990367,-106.5817729
,35.0999492,-106.5818118
,35.1236502,-106.5421285
,35.14871613,-106.5293913
,35.06992689,-106.6103411
,35.13576956,-106.5231612
Littleleaf linden,35.13606075,-106.5237071
,35.1154197,-106.7074297
,35.11545261,-106.7072064
,35.11558919,-106.7072191
,35.11553215,-106.7072124
,35.11545206,-106.7074739
,35.11551405,-106.7074753
,35.11557274,-106.7075182
,35.11561991,-106.7077227
,35.11554915,-106.7077804
,35.11558371,-106.7079185
,35.11549101,-106.7078307
,35.11552721,-106.7079735
Honeylocust,35.11539666,-106.7080801
,35.11555573,-106.7088378
,35.115621,-106.7088345
,35.11569889,-106.7088854
,35.11592488,-106.7088499
,35.11587716,-106.7089082
,35.11582999,-106.7087258
Honeylocust,35.1157872,-106.7088687
,35.11587222,-106.7090034
,35.11592762,-106.7087641
,35.11606804,-106.7086977
,35.11599893,-106.7085837
,35.11593749,-106.7085207
,35.11575484,-106.7085072
,35.11576636,-106.708408
,35.11548881,-106.708351
,35.11534236,-106.7086145
,35.11548827,-106.7087694
,35.11535937,-106.7083108
,35.11524912,-106.7084341
Honeylocust,35.10891907,-106.7133922
Honeylocust,35.10877261,-106.7133929
Honeylocust,35.1087364,-106.7133868
,35.10882691,-106.7133191
,35.10875341,-106.7130724
,35.10882582,-106.7131951
,35.10912533,-106.7133936
,35.10893169,-106.7133097
,35.10883788,-106.7131092
Littleleaf linden,35.10871227,-106.7130335
,35.10889548,-106.7132058
,35.10925149,-106.7133728
,35.10901013,-106.713295
,35.10888177,-106.7131186
,35.10872379,-106.7131595
,35.10900026,-106.7132125
,35.10872433,-106.7132829
,35.1093047,-106.7133701
,35.10895911,-106.7130985
Honeylocust,35.10908199,-106.71313
,35.10858555,-106.7132722
,35.10849723,-106.7132655
Green ash,35.1093804,-106.7132413
,35.10907541,-106.7127478
,35.1086799,-106.7132373
,35.10900245,-106.7127599
Green ash,35.10936724,-106.7130549
,35.10891962,-106.7127532
,35.10919005,-106.7127317
Green ash,35.1093804,-106.7130087
,35.10865961,-106.713362
,35.1088335,-106.7127639
,35.10929263,-106.7127552
Honeylocust,35.10876932,-106.7128055
,35.10861078,-106.7133942
Honeylocust,35.10839904,-106.71278
Honeylocust,35.10933487,-106.7128906
,35.10934913,-106.7127451
,35.10860365,-106.7133379
Honeylocust,35.10844567,-106.712774
Honeylocust,35.10840178,-106.7128471
,35.10940509,-106.7127525
Honeylocust,35.10921529,-106.7130891
,35.10843909,-106.7132226
Honeylocust,35.10839849,-106.7130616
,35.16495413,-106.5627687
,35.16483683,-106.5627654
,35.16483134,-106.5629987
,35.16492837,-106.5628103
,35.16471842,-106.563041
,35.1649333,-106.5628894
,35.16474364,-106.5626279
,35.16515422,-106.5628801
Green ash,35.16505226,-106.5629632
,35.16489822,-106.5625636
,35.16514161,-106.5630497
,35.16523864,-106.5627761
,35.16508076,-106.5631302
,35.16520081,-106.5627359
,35.16525124,-106.5627848
,35.16496729,-106.5625347
Honeylocust,35.1654908,-106.5615752
,35.16555987,-106.5615249
,35.16569197,-106.5615986
,35.16579777,-106.5616845
,35.16567224,-106.5616979
,35.16581038,-106.5615483
,35.16575118,-106.5617958
,35.16573309,-106.5618756
,35.16578461,-106.562005
,35.16574734,-106.5621599
,35.1657731,-106.5621143
,35.16575337,-106.5623081
,35.16562839,-106.5621478
,35.16537404,-106.5627781
,35.16541186,-106.5626098
,35.16567169,-106.5622967
,35.16544694,-106.5627607
,35.1657583,-106.5623959
,35.16583395,-106.562404
,35.1655056,-106.5627003
,35.16547709,-106.5628968
,35.16570349,-106.5626018
,35.16580654,-106.5625146
,35.16551711,-106.5627862
,35.16559604,-106.5629974
,35.16563442,-106.5625642
,35.16578571,-106.5626601
,35.16531045,-106.562929
,35.16582244,-106.5627681
,35.16564757,-106.5626695
,35.16560975,-106.5627808
,35.16558179,-106.5628874
,35.16572212,-106.5628244
,35.16569855,-106.5628485
,35.16569526,-106.5629055
,35.16578352,-106.5630363
,35.16575227,-106.562982
,35.16578736,-106.5631691
,35.16581202,-106.5633179
,35.16582025,-106.5635298
,35.16581422,-106.5633964
,35.16576817,-106.5635788
,35.16583614,-106.5636317
,35.16579339,-106.563957
Green ash,35.16579229,-106.5640066
,35.16578242,-106.5637739
,35.18307203,-106.6815564
Honeylocust,35.18313232,-106.6815839
,35.18337455,-106.6817864
Honeylocust,35.18304901,-106.6813935
,35.18316246,-106.681547
Honeylocust,35.18312958,-106.6816134
,35.18333509,-106.6818152
,35.18312355,-106.6814934
,35.18311752,-106.6813593
,35.18311478,-106.6814954
,35.18322055,-106.6809878
,35.18314876,-106.6810253
,35.18312519,-106.6811326
Honeylocust,35.18371544,-106.6816932
,35.18307806,-106.6814833
,35.18317178,-106.6810817
,35.18309779,-106.6814505
,35.18366447,-106.6813184
,35.18314054,-106.681195
,35.1203117,-106.6001641
,35.11999688,-106.6000286
,35.1199508,-106.6001607
,35.12016306,-106.6000313
,35.12035284,-106.6001507
,35.12028757,-106.600081
,35.1202585,-106.5999683
,35.12003911,-106.5999529
,35.12046034,-106.6001721
,35.12034022,-106.5998912
,35.12059033,-106.5999616
,35.1203479,-106.6000045
,35.12017294,-106.5998436
,35.12043072,-106.5999589
,35.12039562,-106.5995318
,35.12034022,-106.5993749
,35.12029634,-106.5997913
,35.12054316,-106.5999147
,35.12032103,-106.599285
,35.12043895,-106.5995921
,35.12034516,-106.5997175
,35.12028592,-106.5992314
,35.1204735,-106.599678
,35.12050422,-106.599802
,35.12039507,-106.599448
,35.12026344,-106.5991656
,35.12023162,-106.5991066
,35.1202031,-106.5990114
,35.12007531,-106.5987345
,35.11973251,-106.5983362
,35.11977474,-106.5983187
,35.12000565,-106.5985011
,35.11980491,-106.5986359
,35.12003691,-106.5986487
,35.11976871,-106.5983804
,35.1191407,-106.5996773
,35.11983837,-106.5981283
,35.11905568,-106.599621
,35.11986085,-106.5981109
,35.11979065,-106.5981431
,35.1190321,-106.5993809
,35.11972428,-106.5981819
,35.12001059,-106.5984026
,35.11893282,-106.5994815
,35.1194111,-106.5984294
,35.11889278,-106.5994493
,35.11964146,-106.5981846
,35.11924381,-106.5986969
,35.11936448,-106.5986748
,35.11885274,-106.5993997
,35.11949173,-106.5984622
,35.11908914,-106.5993232
,35.1189597,-106.5991878
,35.11914454,-106.5993856
,35.11930031,-106.5988129
,35.11942646,-106.5985715
,35.11925478,-106.5992528
,35.11901345,-106.599104
,35.11925862,-106.5986929
,35.11932773,-106.5987506
,35.11918183,-106.5992226
,35.11921858,-106.5987935
,35.11916812,-106.5989766
,35.11907104,-106.5991905
,35.11906281,-106.5989973
,35.18358281,-106.6812024
,35.18344799,-106.6818903
,35.18371751,-106.682196
,35.18347923,-106.6818783
,35.18353787,-106.6819024
,35.18384605,-106.6819642
,35.18354719,-106.681952
Honeylocust,35.18368859,-106.6816583
,35.18352965,-106.6810173
,35.18383456,-106.6818994
,35.18357295,-106.6819695
,35.18351047,-106.6809978
Honeylocust,35.18364639,-106.6814102
,35.18349677,-106.6809469
Honeylocust,35.18360419,-106.681264
,35.18352856,-106.6819949
Honeylocust,35.18360912,-106.6813405
,35.183391,-106.6807202
Honeylocust,35.18375966,-106.6819062
,35.18359049,-106.6820057
,35.18338058,-106.6806612
Honeylocust,35.18375165,-106.6818551
,35.18355596,-106.6820244
,35.15102929,-106.7066899
,35.15097229,-106.7065848
,35.15101487,-106.7066713
,35.15106659,-106.7064312
,35.15101615,-106.7067128
,35.15105507,-106.706387
,35.15105507,-106.7067524
,35.15100399,-106.7066268
,35.15103917,-106.7067149
,35.15096681,-106.7066528
,35.15070857,-106.7060886
,35.15108468,-106.7065814
,35.1510222,-106.7066478
,35.1510008,-106.706336
,35.15100573,-106.7065197
,35.15105453,-106.706446
,35.15090911,-106.7065025
,35.15089443,-106.7064393
,35.15104027,-106.7062093
,35.15085989,-106.7064017
,35.15086595,-106.7064868
,35.15095639,-106.7064855
,35.1509202,-106.7064057
,35.1510463,-106.706161
,35.15097941,-106.7063628
,35.15084525,-106.7065499
,35.15091252,-106.7063125
,35.15096022,-106.7064279
,35.15102108,-106.7063065
,35.15091307,-106.7062602
,35.15086647,-106.7063528
,35.15100354,-106.7061616
,35.15101999,-106.7062146
,35.15087963,-106.7062012
,35.15088785,-106.7060584
,35.15094049,-106.7062106
,35.15086976,-106.7061261
,35.15087908,-106.7061047
,35.15074146,-106.7060691
,35.15073598,-106.7062012
,35.1508725,-106.7062287
,35.15075133,-106.7061187
,35.15065429,-106.7062589
,35.15067787,-106.7061
,35.1506203,-106.7063279
,35.15038235,-106.7061932
,35.15065429,-106.7060986
,35.15056821,-106.7062555
,35.15055725,-106.7063293
,35.15031436,-106.706167
,35.15033574,-106.7064017
,35.1503489,-106.7064393
Green ash,35.1503977,-106.7066941
,35.15038838,-106.7064406
,35.15049036,-106.706684
,35.15042895,-106.7064795
,35.15039605,-106.7066129
,35.15044924,-106.7064755
,35.15043937,-106.7066377
,35.15062523,-106.7065828
,35.15045746,-106.7066129
,35.15056273,-106.7065305
,35.11415374,-106.57772
,35.11399686,-106.5776677
,35.1138888,-106.5778052
,35.11385095,-106.5777509
,35.11377581,-106.5777455
,35.11381914,-106.5776543
Honeylocust,35.11373302,-106.5777361
,35.11367104,-106.5777187
,35.11366007,-106.5778998
,35.11306766,-106.5776664
,35.11351581,-106.5777194
,35.11340665,-106.5776959
,35.11301062,-106.5776637
,35.11285209,-106.5777455
,35.11323112,-106.5776637
,35.112851,-106.5777589
,35.11282412,-106.57783
,35.11282083,-106.5780433
,35.11283674,-106.5780956
,35.11320096,-106.5776516
,35.11290201,-106.5783477
,35.1128126,-106.5781961
,35.11284167,-106.5781425
,35.11277969,-106.5771615
,35.11282083,-106.5782404
,35.11295193,-106.5783718
,35.11297387,-106.5783477
,35.11300294,-106.5776617
,35.11309783,-106.5782726
,35.11313458,-106.5782927
,35.1132037,-106.5783718
,35.11295851,-106.5776496
,35.11335783,-106.5782914
,35.11325965,-106.5783336
Honeylocust,35.11347028,-106.5783155
,35.11418555,-106.577663
,35.11419762,-106.5776624
,35.11421462,-106.5777261
,35.11444116,-106.5776979
,35.11430732,-106.5776939
,35.11413344,-106.5776744
,35.11447242,-106.5777482
,35.11448339,-106.5779393
,35.1140945,-106.5778153
,35.1142393,-106.5778421
,35.11440715,-106.5780064
,35.11413728,-106.5779293
,35.11430293,-106.5779876
,35.11404677,-106.5778669
,35.11422175,-106.5780768
,35.11416964,-106.5780158
,35.11365897,-106.5779132
,35.11399631,-106.5780017
,35.11358986,-106.5779916
,35.11406762,-106.5781505
,35.11393323,-106.5781237
,35.11387893,-106.5780868
,35.11388002,-106.5782015
,35.11380543,-106.5781143
,35.1135542,-106.5781881
,35.11373906,-106.5781499
,35.11361564,-106.578178
,35.1136129,-106.5783095
,35.11365897,-106.578288
,35.11337758,-106.5379697
,35.11337155,-106.5379576
,35.11341982,-106.5378584
,35.11346315,-106.5380428
,35.11340172,-106.5376411
,35.11347083,-106.5381427
,35.11345712,-106.5376948
,35.11291298,-106.538258
Littleleaf linden,35.11336935,-106.5381259
,35.11345931,-106.5376163
,35.11203314,-106.5381836
Honeylocust,35.11342475,-106.5382359
,35.11338197,-106.537497
,35.11207593,-106.5382265
,35.11335948,-106.5383043
,35.1131302,-106.5384196
,35.11342091,-106.5375359
,35.11212255,-106.538256
,35.11253559,-106.5386604
,35.11350264,-106.5374098
,35.1130545,-106.5382473
Honeylocust,35.11322509,-106.5383821
,35.11256741,-106.538596
,35.11339788,-106.5373374
,35.11304847,-106.5384042
,35.11352678,-106.5372683
,35.11305285,-106.5367305
,35.11298484,-106.5368076
,35.11298923,-106.5384894
,35.11268808,-106.5382782
,35.11295906,-106.5385055
,35.11298374,-106.5367909
,35.1129245,-106.5385149
,35.11289652,-106.5385102
,35.11347357,-106.5372737
,35.11288994,-106.5367976
,35.11289269,-106.5367493
,35.11351197,-106.5371771
,35.11251365,-106.537906
,35.11278956,-106.5366903
,35.11286416,-106.5385142
,35.11258332,-106.5378148
,35.11340994,-106.5370752
,35.11260142,-106.5376767
,35.1128329,-106.5367285
,35.11334302,-106.5370859
,35.11290585,-106.5384136
,35.1125142,-106.5376887
,35.11285209,-106.5369699
,35.11272429,-106.5370423
,35.11277146,-106.5366467
,35.11280437,-106.5384297
,35.11257948,-106.5375513
Littleleaf linden,35.11203479,-106.5375768
,35.11210774,-106.5375231
,35.11275226,-106.5369565
,35.11265682,-106.5369867
,35.11231728,-106.5377075
,35.11285319,-106.5383405
,35.11206496,-106.5374494
,35.11223171,-106.5375701
Littleleaf linden,35.1121061,-106.5373917
,35.11234909,-106.5370034
,35.11273361,-106.5384042
,35.1123085,-106.5375996
,35.11225475,-106.536872
,35.1125718,-106.5369478
,35.11187681,-106.5374976
,35.11223994,-106.5370115
,35.11243137,-106.536925
,35.11252901,-106.5382708
,35.11257838,-106.5367144
,35.11186419,-106.537393
,35.11193002,-106.5375768
,35.11235623,-106.5367594
,35.11270838,-106.5367895
,35.1125153,-106.5380877
,35.11179563,-106.5376606
,35.11282796,-106.536817
,35.11225859,-106.5366025
,35.11291901,-106.5368016
,35.11173913,-106.5376653
,35.1122926,-106.5384143
,35.11296674,-106.5367842
,35.11220867,-106.5366802
,35.11299361,-106.5368177
,35.11213901,-106.5368036
,35.112981,-106.5368807
,35.11174077,-106.5377632
,35.11294315,-106.5368418
,35.11209458,-106.5368787
,35.11229973,-106.5382554
,35.11194154,-106.5377109
,35.11203918,-106.5369873
,35.11298703,-106.536988
,35.11236884,-106.5382775
,35.11198816,-106.5379952
Littleleaf linden,35.11206331,-106.5371577
,35.11200955,-106.5379415
,35.11307973,-106.5368103
,35.11199584,-106.537096
,35.11206496,-106.5378839
Honeylocust,35.11237652,-106.5381226
,35.11312636,-106.5368157
,35.11205673,-106.5378416
,35.11221306,-106.5370316
,35.11321906,-106.5368868
,35.11198981,-106.5378812
,35.11239298,-106.5380602
,35.11211707,-106.5370759
,35.11213188,-106.537155
,35.11330518,-106.5369873
,35.11193715,-106.5380254
,35.11230631,-106.5380877
,35.11186968,-106.5378705
,35.11319383,-106.5370987
,35.11183512,-106.5379804
,35.11199639,-106.5372435
Honeylocust,35.11311539,-106.5370222
,35.11230576,-106.5379925
,35.11226407,-106.5379322
,35.11306986,-106.5371376
,35.11192892,-106.5371832
,35.11173693,-106.5378859
,35.11224433,-106.5380153
Littleleaf linden,35.12842873,-106.5610924
,35.05428638,-106.5734929
,35.05410194,-106.5735036
,35.05421667,-106.5734835
,35.05418318,-106.5736713
,35.05423368,-106.573853
,35.05410963,-106.5732763
,35.05439012,-106.573804
,35.05434841,-106.5731093
,35.05421996,-106.5731489
,35.05437036,-106.5740649
,35.0544291,-106.5738261
,35.0540734,-106.5728344
,35.05444227,-106.5733051
,35.05446917,-106.5740474
,35.05444556,-106.5731127
,35.05416726,-106.5729082
,35.05451144,-106.5741266
,35.054529,-106.5739911
,35.0544033,-106.5729826
,35.05410414,-106.5729967
,35.0546805,-106.5738845
,35.05438244,-106.5742238
,35.05431822,-106.5740642
,35.05439946,-106.5728619
,35.05394769,-106.5729062
,35.05464208,-106.573682
,35.06718058,-106.7345776
,35.06668937,-106.7345957
,35.06655985,-106.7348754
,35.06669486,-106.7347587
,35.06662241,-106.7346662
,35.06768002,-106.7352616
,35.06769538,-106.7351919
,35.06768056,-106.7351543
,35.06652033,-106.7352945
,35.06766575,-106.7353206
,35.06678926,-106.7346548
,35.067663,-106.735381
,35.06667894,-106.7351718
,35.0667964,-106.7345361
,35.06766355,-106.7349572
,35.06769429,-106.7350618
,35.06769922,-106.7349827
