common_name,latitude_coordinate,longitude_coordinate
,33.81019948,-117.9324813
,33.81001921,-117.9324927
,33.80984003,-117.9325308
,33.80967629,-117.9325717
,33.80948896,-117.9326255
,33.80930218,-117.9326807
,33.80911992,-117.9327423
,33.80894458,-117.9327794
,33.80876028,-117.9328019
,33.80857537,-117.9328084
,33.80836744,-117.9328002
,33.80815791,-117.9328019
,33.80796296,-117.9327995
,33.81034817,-117.9323192
,33.81023427,-117.9323305
,33.81014959,-117.9323413
,33.81000123,-117.9323545
,33.80988471,-117.9323694
,33.80978376,-117.9323932
,33.80964012,-117.9324225
,33.80956459,-117.932447
,33.80944435,-117.9324805
,33.80932302,-117.9325181
,33.80920073,-117.9325577
,33.80909191,-117.9326021
,33.80895812,-117.9326249
,33.80882701,-117.932647
,33.80868318,-117.9326493
,33.80853833,-117.9326512
,33.80843307,-117.9326613
,33.80828548,-117.9326604
,33.80811431,-117.9326514
,33.80798167,-117.9326481
,33.80784765,-117.9326459
,33.80753149,-117.9328047
,33.80717198,-117.9328039
,33.80698715,-117.9328015
,33.8077153,-117.9326435
,33.80759392,-117.9326426
,33.80751178,-117.9323674
,33.80752136,-117.9324765
,33.80721485,-117.9326342
,33.80705886,-117.9326361
,33.80633928,-117.9326301
,33.80617854,-117.932625
,33.80524788,-117.9327913
,33.80505297,-117.9327917
,33.80481499,-117.9327832
,33.80464692,-117.9327901
,33.80447547,-117.9327873
,33.80402957,-117.9326315
,33.80417942,-117.932495
,33.80421088,-117.9327847
,33.8039423,-117.9326279
,33.80381519,-117.932624
,33.80401981,-117.9327918
,33.80369866,-117.9326135
,33.80218407,-117.9323054
,33.8021807,-117.9324593
Crape myrtle,33.80184166,-117.9325711
Crape myrtle,33.80173379,-117.9325713
,33.80164396,-117.932568
Crape myrtle,33.80154405,-117.9325679
Crape myrtle,33.80144609,-117.9325672
,33.8009677,-117.93256
,33.80076898,-117.9325535
Crape myrtle,33.80061458,-117.9325489
Crape myrtle,33.80047358,-117.9325503
Crape myrtle,33.80028778,-117.9325483
Crape myrtle,33.80018362,-117.9325474
,33.80003923,-117.9325428
,33.79993738,-117.9325418
,33.79982728,-117.9325418
,33.79942843,-117.9325349
,33.79933996,-117.9325308
,33.79921854,-117.9325343
,33.79908671,-117.9322155
,33.7990502,-117.932763
,33.79891764,-117.932758
,33.79885251,-117.9327593
,33.7987836,-117.9327546
,33.79864945,-117.9327578
,33.79851999,-117.9327558
,33.79839902,-117.932754
,33.79876265,-117.9325301
,33.7989687,-117.9322256
,33.79896446,-117.9323585
,33.79852994,-117.9325235
,33.7984223,-117.9325204
,33.79827566,-117.9327449
,33.79814691,-117.9327433
,33.7980524,-117.9327389
,33.79796366,-117.9327408
,33.79808765,-117.9325156
,33.79772857,-117.9327374
,33.7976494,-117.9327364
,33.79755402,-117.932738
,33.79745646,-117.9327348
,33.79730782,-117.9327329
,33.79702885,-117.9327329
,33.79690663,-117.9327329
,33.79680336,-117.9327244
,33.79661546,-117.9327232
,33.79650713,-117.9327216
,33.79635523,-117.932712
,33.79801475,-117.9325134
,33.79790735,-117.9325113
,33.79755288,-117.9325075
,33.7972638,-117.9325028
,33.79713274,-117.9325005
,33.79702078,-117.932497
,33.79691672,-117.9324957
,33.79682661,-117.9324948
,33.79673702,-117.932492
,33.79663809,-117.9324908
,33.79608073,-117.9321033
,33.79519911,-117.9326938
,33.79511237,-117.9326908
,33.84075202,-117.8081166
,33.84070675,-117.808056
,33.84069563,-117.8081191
,33.84070769,-117.8081718
,33.84063737,-117.8081004
Crape myrtle,33.84795934,-117.8978343
Crape myrtle,33.84810182,-117.8978361
,33.84809703,-117.8980125
,33.84818782,-117.8980141
,33.84835252,-117.8980155
Crape myrtle,33.84831565,-117.8978354
,33.84840108,-117.897839
,33.84871647,-117.8978462
,33.84881811,-117.8978458
,33.8484947,-117.8979877
,33.84867047,-117.8980166
,33.84880225,-117.8980196
,33.84893041,-117.898021
,33.84904199,-117.8980233
,33.8491915,-117.8980279
,33.84937042,-117.8980313
,33.84956376,-117.8980326
,33.84964664,-117.8980347
,33.8497587,-117.8980344
,33.84982935,-117.8980358
,33.84988393,-117.8980367
,33.85003315,-117.8980395
,33.85024075,-117.8980409
,33.85041866,-117.898042
,33.85049525,-117.8980456
,33.85055288,-117.8980445
,33.85070314,-117.8980489
,33.85085345,-117.8983033
,33.85086044,-117.8982997
,33.85085404,-117.8982612
,33.85085454,-117.898149
,33.85084633,-117.8980885
,33.85086018,-117.8980871
,33.85187744,-117.898038
,33.85194996,-117.8980354
,33.85206613,-117.8980735
,33.85214565,-117.8980777
,33.85228023,-117.8980764
,33.85242122,-117.8984859
,33.85242065,-117.8983539
,33.85268916,-117.8980775
,33.85257001,-117.8981825
,33.85284942,-117.8980778
,33.85301543,-117.8980806
,33.85317438,-117.8980806
,33.85335353,-117.8980853
,33.85325206,-117.8978934
,33.85314246,-117.8976525
,33.85351235,-117.8980901
,33.85342615,-117.8978916
,33.85353142,-117.8978937
,33.85431428,-117.8979143
,33.85441805,-117.897916
,33.85451759,-117.8979159
,33.85464417,-117.8977792
,33.85464693,-117.8976929
,33.85491487,-117.8979252
,33.8549893,-117.8979246
,33.85480226,-117.89775
,33.85480326,-117.8976514
,33.85480561,-117.8975234
,33.85505141,-117.8979253
,33.85515411,-117.8979265
,33.85577527,-117.8977849
,33.85583125,-117.8981151
,33.85590497,-117.8981138
,33.82814283,-117.9849337
,33.82813864,-117.9851265
