common_name,latitude_coordinate,longitude_coordinate
,32.76356333,-97.103115
,32.69065377,-97.11181424
,32.65758365,-97.12918486
,32.65763388,-97.12915615
,32.65768356,-97.1291836
,32.65774634,-97.12915955
,32.65779559,-97.12917763
,32.65780693,-97.1290028
,32.65774785,-97.12896217
,32.65775339,-97.12889292
,32.65774376,-97.12856442
,32.65778139,-97.12852649
,32.65774585,-97.12848475
,32.6577371,-97.12819407
,32.65775381,-97.12813821
,32.65780322,-97.1281677
,32.65777839,-97.12810905
,32.65781811,-97.12807967
,32.65788118,-97.12801408
,32.65792172,-97.12801162
,32.65796102,-97.12801067
,32.65799812,-97.12800886
,32.65788884,-97.128076
,32.65796914,-97.12807664
,32.65804195,-97.12808917
,32.65810237,-97.12801719
,32.65811942,-97.12808088
,32.65813984,-97.12803855
,32.65816688,-97.12801621
,32.65821769,-97.12807207
,32.65820678,-97.12800752
,32.65826102,-97.12803432
,32.65825779,-97.12799478
,32.65830994,-97.12801298
,32.65832113,-97.12795329
,32.65835634,-97.12793002
,32.65838527,-97.12791235
,32.65845624,-97.12787316
,32.65838134,-97.12799376
,32.65843835,-97.1279339
,32.65851037,-97.12791082
,32.65851914,-97.12783248
,32.65855704,-97.12786679
,32.65855511,-97.12781458
,32.65861376,-97.12783757
,32.65859065,-97.12779614
,32.65866005,-97.12783399
,32.65868899,-97.12780141
,32.65872742,-97.12779798
,32.65877194,-97.12779695
,32.65877855,-97.12792286
,32.65862162,-97.12792439
,32.6586255,-97.1280501
,32.65857097,-97.12823886
,32.65841607,-97.12825736
,32.65828591,-97.12825015
,32.65825908,-97.12830496
,32.65814904,-97.12830481
,32.65812016,-97.1282715
,32.65808327,-97.12830784
,32.65797452,-97.12831273
,32.65794522,-97.12827359
,32.65790575,-97.12831347
,32.65792242,-97.12899268
,32.65795295,-97.12901715
,32.65798309,-97.12899278
,32.65809591,-97.12898805
,32.65812577,-97.12901362
,32.65816033,-97.12898475
,32.65831365,-97.12899602
,32.65831067,-97.12915532
,32.65826215,-97.12914559
,32.65869543,-97.12875505
,32.65862236,-97.12872659
,32.68874315,-97.11278439
,32.68876096,-97.1128924
,32.68875262,-97.1129924
,32.68877762,-97.11308073
,32.690675,-97.11306
,32.69067,-97.11301167
,32.69067333,-97.112945
,32.69066167,-97.112895
,32.69064667,-97.11283833
,32.69065833,-97.11271167
,32.69066667,-97.112655
,32.69067167,-97.11261167
,32.69064333,-97.11256333
,32.69068833,-97.11241667
,32.690635,-97.11234
,32.69063667,-97.11230667
,32.69065167,-97.11226667
,32.690685,-97.112225
,32.69064667,-97.11216333
,32.69062333,-97.11210167
,32.70004667,-97.10720667
,32.69991493,-97.1070778
,32.69977025,-97.10704037
,32.69963667,-97.107215
,32.69944762,-97.1072624
,32.69894841,-97.10748516
,32.69862429,-97.10760407
,32.69894362,-97.10795465
,32.69871929,-97.1079074
,32.69856096,-97.10793573
,32.69823596,-97.1078024
,32.69819429,-97.10778573
,32.69816929,-97.10770073
,32.69802596,-97.10774907
,32.69807922,-97.1078819
,32.69823596,-97.10795407
,32.69856313,-97.10815424
,32.69868889,-97.10829325
,32.69894096,-97.10852073
