common_name,latitude_coordinate,longitude_coordinate
,33.781598,-84.364212
,33.781604,-84.364123
,33.781615,-84.364015
,33.781627,-84.363899
,33.781638,-84.36377
,33.781847,-84.360974
,33.781853,-84.360906
,33.781854,-84.360836
,33.781864,-84.360772
,33.781868,-84.360701
,33.781878,-84.360607
,33.78188,-84.360524
,33.781886,-84.360447
,33.781893,-84.360386
,33.781894,-84.36033
,33.781917,-84.360071
,33.781829,-84.361232
,33.781836,-84.361182
,33.78184,-84.361129
,33.781841,-84.361088
,33.781844,-84.361038
,33.781922,-84.360034
,33.781923,-84.359999
,33.781928,-84.359959
,33.78193,-84.359919
,33.781931,-84.359875
,33.781936,-84.359822
,33.781937,-84.359775
,33.781939,-84.35972
,33.781944,-84.359664
,33.781945,-84.359608
,33.78195,-84.359558
,33.781954,-84.359504
,33.782041,-84.359378
,33.782037,-84.35931
,33.782042,-84.359247
,33.781917,-84.361852
,33.781939,-84.361658
,33.781987,-84.360954
,33.78197,-84.361321
,33.782007,-84.360761
,33.782027,-84.36042
,33.782057,-84.360026
,33.782086,-84.359669
,33.781521,-84.364232
,33.781525,-84.364141
,33.78154,-84.364039
,33.781548,-84.363942
,33.78156,-84.363841
,33.781575,-84.363744
,33.769079,-84.346986
,33.77,-84.347654
,33.770363,-84.348443
,33.770407,-84.348886
,33.770521,-84.348918
,33.770515,-84.34875
,33.7707,-84.348953
,33.770593,-84.348817
,33.770657,-84.348821
,33.770719,-84.348821
,33.770791,-84.348829
,33.770625,-84.348739
,33.770658,-84.348704
,33.770749,-84.348731
,33.770885,-84.348914
,33.770924,-84.348701
,33.770486,-84.348241
,33.771047,-84.348923
,33.770548,-84.348284
,33.770506,-84.348319
,33.770927,-84.348557
,33.771016,-84.347748
,33.771059,-84.347671
,33.770298,-84.346499
,33.77036,-84.346419
,33.770829,-84.346407
,33.770751,-84.34637
,33.770901,-84.346327
,33.770813,-84.346278
,33.770926,-84.346957
,33.770998,-84.346877
,33.771045,-84.346784
,33.770957,-84.346766
,33.770885,-84.346673
,33.770839,-84.346586
,33.77104,-84.346198
,33.770793,-84.346197
,33.770705,-84.346179
,33.770282,-84.346369
,33.770561,-84.346314
,33.770452,-84.346289
,33.770839,-84.3465
,33.770478,-84.346777
,33.770369,-84.346783
,33.77054,-84.346586
,33.770287,-84.346684
,33.770359,-84.346598
,33.770509,-84.346215
,33.770386,-84.346227
,33.770282,-84.346233
,33.770484,-84.346129
,33.770303,-84.346153
,33.770252,-84.346067
,33.770891,-84.346025
,33.770793,-84.345994
,33.770731,-84.345987
,33.77103,-84.34597
,33.770974,-84.345914
,33.770953,-84.34584
,33.770995,-84.345778
,33.770928,-84.345741
,33.770685,-84.345808
,33.770737,-84.345802
,33.770773,-84.345741
,33.770737,-84.345703
,33.770706,-84.34574
,33.770665,-84.345709
,33.770706,-84.345642
,33.770773,-84.345611
,33.770665,-84.345598
,33.770711,-84.345537
,33.771103,-84.348736
,33.771335,-84.348736
,33.771228,-84.348736
,33.771228,-84.348693
,33.77105,-84.348607
,33.771264,-84.348607
,33.770782,-84.348811
,33.770675,-84.348789
,33.7708,-84.348822
,33.770425,-84.3488
,33.770479,-84.348736
,33.770577,-84.348811
,33.770586,-84.348779
,33.770729,-84.348822
,33.770372,-84.348564
,33.770871,-84.347878
,33.770301,-84.347534
,33.770301,-84.348221
,33.770586,-84.348221
,33.771157,-84.348221
,33.770586,-84.347878
,33.76973,-84.347534
,33.771157,-84.347534
,33.770301,-84.347878
,33.770015,-84.347878
,33.771157,-84.347191
,33.770586,-84.347534
,33.76973,-84.347878
,33.770015,-84.347534
,33.771442,-84.347878
,33.76973,-84.348221
,33.770871,-84.348221
,33.770706,-84.34574
,33.770665,-84.345709
,33.770706,-84.345642
,33.770773,-84.345611
,33.770665,-84.345598
,33.770711,-84.345537
,33.771103,-84.348736
,33.771335,-84.348736
,33.771228,-84.348736
,33.771228,-84.348693
,33.77105,-84.348607
,33.771264,-84.348607
,33.770782,-84.348811
,33.770675,-84.348789
,33.7708,-84.348822
,33.770425,-84.3488
,33.770479,-84.348736
,33.770577,-84.348811
,33.770586,-84.348779
,33.770729,-84.348822
,33.770372,-84.348564
,33.770871,-84.347878
,33.770301,-84.347534
,33.770301,-84.348221
,33.770586,-84.348221
,33.771157,-84.348221
,33.770586,-84.347878
,33.76973,-84.347534
,33.771157,-84.347534
,33.770301,-84.347878
,33.770015,-84.347878
,33.771157,-84.347191
,33.770586,-84.347534
,33.76973,-84.347878
,33.770015,-84.347534
,33.771442,-84.347878
,33.76973,-84.348221
,33.770871,-84.348221
,33.763521,-84.311015
,33.763611,-84.311024
,33.763737,-84.311042
,33.763864,-84.31106
,33.759848,-84.303339
,33.75994,-84.303379
,33.752601,-84.359532
,33.75261,-84.359615
,33.752605,-84.359691
,33.75261,-84.359752
,33.752609,-84.359834
,33.752413,-84.362544
,33.752404,-84.362594
,33.752392,-84.362655
,33.752375,-84.3627
,33.752354,-84.362755
,33.752349,-84.362811
,33.752609,-84.3599
,33.752618,-84.359971
,33.752618,-84.360032
,33.752623,-84.360103
,33.752623,-84.360164
,33.752623,-84.360224
,33.752337,-84.362871
,33.752316,-84.362957
,33.752303,-84.363057
,33.752288,-84.363113
,33.752622,-84.360284
,33.752627,-84.36035
,33.752636,-84.360438
,33.75264,-84.360526
,33.75265,-84.360603
,33.752654,-84.360696
,33.752658,-84.360773
,33.752658,-84.360872
,33.752663,-84.360954
,33.752672,-84.361031
,33.752676,-84.361136
,33.752684,-84.361206
,33.75268,-84.361276
