common_name,latitude_coordinate,longitude_coordinate
,39.63095,-104.79458
,39.591515,-104.677087
,39.643276,-104.755265
,39.642947,-104.823611
,39.591587,-104.675852
Honeylocust,39.660326,-104.740602
,39.652514,-104.77898
,39.68288123,-104.8416976
,39.642571,-104.754926
,39.660485,-104.740745
Littleleaf linden,39.671116,-104.807987
,39.68554,-104.871401
,39.71140186,-104.8169291
,39.642921,-104.755654
,39.660001,-104.741545
Green ash,39.731236,-104.876205
,39.73506406,-104.7556818
,39.72384261,-104.862909
Honeylocust,39.74426605,-104.7669387
,39.660097,-104.741204
,39.63277444,-104.8033194
,39.643878,-104.797403
,39.628998,-104.771252
,39.660308,-104.742016
,39.65228554,-104.7779359
Honeylocust,39.68281319,-104.8455632
,39.660406,-104.741823
,39.59209715,-104.6759541
,39.592123,-104.675952
,39.59216324,-104.6761014
,39.660512,-104.740895
,39.642542,-104.755971
Honeylocust,39.62932716,-104.8167522
,39.642615,-104.755192
Green ash,39.689668,-104.843604
,39.703314,-104.830247
,39.70644,-104.839218
,39.731237,-104.875628
,39.660428,-104.741536
,39.592246,-104.676718
Norway maple,39.689459,-104.843604
,39.642629,-104.755997
,39.65999,-104.741729
,39.69145273,-104.7757843
,39.685426,-104.846623
,39.689578,-104.844025
,39.69562978,-104.7990445
,39.703417,-104.830085
,39.64308941,-104.7972471
,39.64342488,-104.7968313
,39.59153,-104.676062
,39.591586,-104.676041
,39.63272032,-104.8033947
,39.652524,-104.778867
,39.75864463,-104.8415117
Honeylocust,39.69148912,-104.7763794
,39.689879,-104.843968
,39.591213,-104.677372
,39.65206595,-104.7781425
,39.660336,-104.74206
,39.742019,-104.846669
,39.668791,-104.752265
,39.7369001,-104.8436447
,39.660309,-104.740643
,39.660411,-104.741013
,39.734996,-104.758147
,39.73504268,-104.7549862
,39.742141,-104.859494
,39.75877457,-104.8405669
,39.682851,-104.842824
Honeylocust,39.74361564,-104.8478775
,39.652504,-104.777812
,39.59217557,-104.6759408
,39.592195,-104.675716
,39.689571,-104.844018
,39.70326098,-104.8309104
,39.63060124,-104.7948047
,39.66241155,-104.753476
,39.75907115,-104.843621
,39.74212335,-104.8619528
,39.74768775,-104.8566579
,39.642566,-104.755006
,39.642879,-104.823561
Norway maple,39.75125583,-104.8595835
,39.63062475,-104.7948538
,39.69569019,-104.7989078
,39.689684,-104.843266
,39.703439,-104.830281
,39.703476,-104.8302079
Green ash,39.75115686,-104.8736215
,39.64815038,-104.8029149
,39.731391,-104.875746
,39.74233939,-104.7498558
,39.73513747,-104.8009988
,39.730582,-104.758309
,39.75889059,-104.8418251
,39.75891696,-104.8419737
,39.64820678,-104.8013805
,39.64817246,-104.794546
,39.68308325,-104.8464401
,39.682979,-104.846269
,39.64438536,-104.7972837
,39.735179,-104.755913
,39.7307601,-104.7586656
,39.63087767,-104.7945458
,39.660222,-104.741225
,39.629357,-104.77113
,39.629074,-104.771195
,39.66572566,-104.7811453
,39.660158,-104.740893
,39.591344,-104.67724
,39.642727,-104.796826
,39.642901,-104.755922
,39.642528,-104.756127
Honeylocust,39.75008157,-104.8631066
,39.731252,-104.87943
,39.730603,-104.758432
,39.63081079,-104.7947197
,39.642599,-104.755273
,39.642601,-104.755039
,39.64715944,-104.7627728
,39.73515523,-104.7593637
,39.69201095,-104.8525833
,39.642604,-104.755103
,39.64310045,-104.7970139
,39.591273,-104.677242
,39.660226,-104.74217
,39.629287,-104.770313
Green ash,39.68272298,-104.8429095
Littleleaf linden,39.671078,-104.807912
Pin oak,39.691945,-104.852466
,39.685579,-104.871027
,39.74547935,-104.8520475
,39.642577,-104.755173
,39.671116,-104.805319
,39.690387,-104.84298
,39.666025,-104.809564
,39.591084,-104.677262
,39.659994,-104.741943
,39.643016,-104.75591
,39.591312,-104.67629
,39.591302,-104.676513
,39.65228157,-104.7778271
,39.59190393,-104.6758231
,39.691868,-104.843894
,39.691886,-104.84296
Honeylocust,39.72311832,-104.8713495
,39.591136,-104.677294
Green ash,39.69192,-104.842892
,39.66091955,-104.749728
,39.65651555,-104.747275
,39.632385,-104.795664
