common_name,latitude_coordinate,longitude_coordinate
,30.27315066,-97.73690456
,30.27391038,-97.73657692
,30.27335967,-97.73659665
,30.27381596,-97.73631906
,30.27359805,-97.73616726
,30.27328994,-97.73605625
,30.27319048,-97.73648845
,30.27333063,-97.73648995
,30.27311879,-97.73682105
,30.27306578,-97.73677568
,30.27302805,-97.7365333
,30.27290503,-97.73645845
,30.27285182,-97.73614442
,30.27242725,-97.74530495
,30.27265455,-97.74534398
,30.27257318,-97.74519405
,30.27281227,-97.74565116
,30.27283741,-97.74577012
,30.27220111,-97.74564991
,30.27246317,-97.74577853
,30.27259138,-97.74584015
,30.27268239,-97.74590501
,30.2722192,-97.74613489
,30.27221224,-97.74600664
,30.27219164,-97.74584463
,30.2720343,-97.74546978
,30.2721732,-97.74547882
,30.27216217,-97.74533196
,30.27558886,-97.73534668
,30.27549035,-97.7353573
,30.27540461,-97.7353398
,30.27543797,-97.73508747
,30.27499341,-97.73538811
,30.27483003,-97.73528529
,30.2739058,-97.73520745
,30.27373161,-97.73523805
,30.27354412,-97.73532152
,30.27351573,-97.73529776
,30.27327491,-97.73517187
,30.27330764,-97.7352119
,30.27347511,-97.7351452
,30.27339103,-97.7351152
,30.27321869,-97.73528311
,30.27316329,-97.73542953
,30.27300084,-97.73539736
,30.27318916,-97.73567221
,30.27361965,-97.73556263
,30.27332307,-97.73595879
,30.27335839,-97.73597932
,30.27359656,-97.73610874
,30.27381426,-97.7360886
,30.27400762,-97.73610533
,30.27429501,-97.73593133
,30.27449259,-97.73578093
,30.27439677,-97.73563812
,30.27400705,-97.73642414
,30.27411309,-97.73638196
,30.26326656,-97.73732201
,30.26304123,-97.73766665
,30.26289104,-97.73813395
,30.2628106,-97.73834118
,30.26263492,-97.73827743
,30.26263721,-97.73816508
,30.26311859,-97.73711079
,30.26309737,-97.7371132
,30.26319378,-97.73703002
,30.26244148,-97.73705572
,30.26255689,-97.73720948
,30.26256783,-97.7373287
,30.26265094,-97.7375084
,30.2625717,-97.73751
,30.26265895,-97.73763213
,30.2622413,-97.7366049
,30.2626559,-97.73645877
,30.26276988,-97.73650256
,30.26297392,-97.73636002
,30.26312244,-97.73657567
,30.26313198,-97.73661019
,30.26984985,-97.7458058
,30.26981317,-97.74572361
,30.26977938,-97.74561819
,30.26975366,-97.74551925
,30.26972962,-97.74544116
,30.26789154,-97.73884514
,30.26787613,-97.73879234
,30.26991446,-97.74547466
,30.26990816,-97.74541119
,30.2698938,-97.74535432
,30.26987355,-97.74530319
,30.26985712,-97.74523423
,30.26984678,-97.74517697
,30.26983438,-97.74511521
,30.26982409,-97.74506338
,30.26900705,-97.74225507
,30.26858882,-97.74066542
,30.26854662,-97.74052939
,30.26850135,-97.7404227
,30.26847316,-97.74033633
,30.2684572,-97.74024725
,30.26774687,-97.73772391
,30.2676656,-97.73744955
,30.26764593,-97.73738445
,30.2674779,-97.73666544
,30.26746444,-97.73660592
,30.26745041,-97.73655391
,30.26743701,-97.73651296
,30.26887917,-97.74971664
,30.28211172,-97.74363771
,30.28197821,-97.74315115
,30.28195155,-97.74306098
,30.28193328,-97.7429982
,30.28191069,-97.7429185
,30.28177362,-97.74246194
,30.28175257,-97.74237825
,30.28060862,-97.73836278
,30.28063077,-97.73846202
,30.28065017,-97.7385322
,30.28067914,-97.73862472
,30.28069961,-97.73869409
,30.28070902,-97.73874507
,30.28072978,-97.73883737
,30.28075395,-97.73891038
,30.28077167,-97.7389643
,30.28078759,-97.73904295
,30.28083335,-97.73915872
,30.28084449,-97.73921728
,30.28086748,-97.73929671
,30.28090264,-97.73939467
,30.26963893,-97.7481064
,30.26967667,-97.74824017
,30.27156691,-97.73892074
,30.26756896,-97.74039735
,30.26751646,-97.74041996
,30.26748091,-97.74024734
,30.26752673,-97.74022889
,30.26730278,-97.74049094
,30.2672316,-97.74051457
,30.26727691,-97.74033086
,30.26693834,-97.74167169
,30.26699795,-97.74164732
,30.26734531,-97.74151859
,30.26740601,-97.74149865
,30.26745885,-97.74147232
,30.26751583,-97.74145698
,30.26726904,-97.74172507
,30.26733147,-97.74170283
,30.26738472,-97.74168061
,30.26744656,-97.74165794
,30.2675019,-97.74163913
,30.26785602,-97.74150103
,30.26792998,-97.74147781
,30.26780687,-97.7413482
,30.26786528,-97.74132625
,30.26792449,-97.74130615
,30.26798558,-97.74127948
,30.26804806,-97.74125999
,30.26821613,-97.74119447
,30.26827371,-97.74117555
,30.26833274,-97.74115086
,30.26838814,-97.74113293
,30.26844579,-97.74110828
,30.25568492,-97.73892987
,30.25573533,-97.73888967
,30.25581039,-97.73888631
,30.26277454,-97.73864377
,30.26281771,-97.73863392
