common_name,latitude_coordinate,longitude_coordinate
,39.37045186,-76.70568456
,39.37034711,-76.70576587
Red maple,39.36213277,-76.70419619
,39.36206055,-76.70382897
Red maple,39.36214655,-76.70410421
,39.3621621,-76.70835437
,39.36223853,-76.70675258
,39.36215479,-76.70799429
,39.36216514,-76.70814776
,39.36231399,-76.70642807
,39.36216594,-76.70781199
,39.36229439,-76.70652314
,39.36218346,-76.7073341
,39.36313629,-76.7048605
Green ash,39.36223166,-76.70683624
,39.36215818,-76.70849634
,39.37141143,-76.70282605
,39.37173573,-76.70505693
Norway maple,39.36891796,-76.7055513
,39.36445823,-76.70962155
,39.36464138,-76.70986256
,39.36465173,-76.70993774
,39.36499393,-76.7027208
Pin oak,39.37037144,-76.70578035
Red maple,39.3707731,-76.70022584
,39.3643029,-76.70976677
,39.3640702,-76.71006578
,39.36395021,-76.71021528
,39.36383113,-76.71037214
,39.36616352,-76.70217174
London planetree,39.36323802,-76.70712357
,39.36316801,-76.70827084
,39.36316856,-76.70845837
London planetree,39.3631658,-76.70859884
London planetree,39.36317242,-76.70931616
,39.36328488,-76.70999782
,39.36164561,-76.70203806
Green ash,39.36210575,-76.70432953
,39.36216594,-76.70869775
,39.36216355,-76.70883782
,39.36326579,-76.7062824
,39.36346315,-76.7065391
,39.36316746,-76.70902524
,39.36341608,-76.71023811
Littleleaf linden,39.36525665,-76.7085253
Red maple,39.36548156,-76.70822297
,39.36578999,-76.7078201
,39.36633353,-76.70712061
,39.36651489,-76.70689173
,39.37154665,-76.6973795
,39.37130136,-76.69737665
Red maple,39.3707066,-76.69843147
Red maple,39.37070439,-76.69880748
Red maple,39.37069153,-76.69935319
Red maple,39.37068491,-76.69973918
,39.37067279,-76.70044033
,39.36903839,-76.70571659
Red maple,39.37156128,-76.70406328
Red maple,39.37156018,-76.70415811
,39.37165112,-76.70354316
Norway maple,39.37165746,-76.70309893
Norway maple,39.37166297,-76.70300196
Norway maple,39.37165342,-76.70276327
,39.37166696,-76.70234099
,39.37168637,-76.70191182
Red maple,39.3719798,-76.70004137
,39.37171565,-76.6994272
,39.37172263,-76.69932936
Red maple,39.37172612,-76.69876186
Red maple,39.3717331,-76.69868509
Norway maple,39.37173078,-76.69858424
,39.37172961,-76.69844876
,39.37174939,-76.69811007
,39.3717459,-76.69804534
,39.37174241,-76.69799717
,39.37175754,-76.69779696
,39.3717535,-76.69753653
,39.37166074,-76.69780088
,39.37165964,-76.69762761
,39.37145403,-76.69747217
,39.37131127,-76.69747217
,39.36606761,-76.70207405
,39.36506155,-76.70264982
,39.36511153,-76.7025839
,39.36591025,-76.70210854
,39.36589555,-76.70210347
,39.36883117,-76.70545551
Norway maple,39.3686982,-76.70527115
,39.36734221,-76.70359234
,39.36731593,-76.70356866
,39.36678085,-76.70313196
,39.36813685,-76.70484887
,39.36692997,-76.70315722
Red maple,39.37079061,-76.69955844
Red maple,39.37077549,-76.69991171
Red maple,39.37076673,-76.70038033
,39.37048398,-76.70477764
Red maple,39.37081123,-76.70475498
,39.37169106,-76.70522052
,39.37168701,-76.7052999
,39.37168922,-76.70525379
,39.37168899,-76.70547576
,39.37168513,-76.70557487
,39.37166749,-76.70579449
Norway maple,39.3715815,-76.70613746
Red maple,39.37152528,-76.70629147
Red maple,39.37149662,-76.70635565
Red maple,39.37145528,-76.70644335
Red maple,39.37078169,-76.70742164
,39.36946771,-76.70827492
,39.36943244,-76.70823071
,39.37165203,-76.70849621
,39.37155569,-76.70838395
,39.37145043,-76.70824585
,39.37136285,-76.70813359
,39.37125537,-76.7080172
,39.37121681,-76.70293741
,39.37078168,-76.70205567
,39.37159234,-76.70222344
Callery pear,39.37160791,-76.70167712
Red maple,39.37087009,-76.70014075
,39.36441175,-76.70321006
,39.36431307,-76.70334197
,39.36418242,-76.70350098
,39.36309605,-76.70490684
,39.36305139,-76.7049703
,39.36298334,-76.70504145
Red maple,39.36808151,-76.70473078
,39.37067426,-76.70058104
Norway maple,39.36869252,-76.70527616
Red maple,39.36599396,-76.70756127
,39.3662332,-76.70724611
,39.36610311,-76.70743292
,39.36593878,-76.70212904
,39.37033377,-76.70575287
Red maple,39.3708058,-76.69848611
,39.37150651,-76.7028087
,39.37164078,-76.69869019
Red maple,39.37110383,-76.70001985
Red maple,39.37160632,-76.70158957
,39.37162694,-76.69940806
,39.37164298,-76.69846558
Callery pear,39.37159075,-76.70234086
Callery pear,39.37161136,-76.70153431
Red maple,39.37114937,-76.70015469
Red maple,39.3712583,-76.70002603
,39.37139709,-76.70818817
,39.36795678,-76.70021136
,39.35059932,-76.68863582
,39.35663549,-76.71074557
,39.36352864,-76.69185651
Pin oak,39.35797439,-76.68596958
Red maple,39.36594044,-76.69642717
Red maple,39.36526349,-76.69697574
Red maple,39.36549649,-76.69678987
Red maple,39.36745331,-76.69496989
,39.36680137,-76.69372398
London planetree,39.35767274,-76.68652449
Red maple,39.35855225,-76.68501199
Red maple,39.3653686,-76.69688875
Red maple,39.36753907,-76.69513943
London planetree,39.3579244,-76.68602535
,39.36562033,-76.69650823
Red maple,39.36787496,-76.69487513
Norway maple,39.36757066,-76.69494288
Red maple,39.36632154,-76.6961258
Red maple,39.36760228,-76.69508761
Red maple,39.3667084,-76.69359373
London planetree,39.35774919,-76.68638338
Red maple,39.36700644,-76.69405198
Red maple,39.36560638,-76.6966986
Littleleaf linden,39.36613472,-76.69308605
London planetree,39.35773679,-76.68656206
Red maple,39.35857853,-76.68496359
Red maple,39.35847327,-76.6850328
Red maple,39.36654645,-76.69594183
Red maple,39.36690109,-76.69565329
,39.35742747,-76.68698693
Red maple,39.36727986,-76.69460434
,39.36686936,-76.69382
,39.36661836,-76.69349105
Littleleaf linden,39.36579919,-76.69292775
Red maple,39.36643289,-76.69603833
,39.36204539,-76.69444202
,39.36185574,-76.69439021
Littleleaf linden,39.3612737,-76.69299075
,39.36317513,-76.68776935
,39.36211007,-76.69449669
,39.37158002,-76.70303597
,39.36505517,-76.69309285
,39.365039,-76.6930957
,39.36505995,-76.69308667
,39.36507281,-76.69308809
,39.36329362,-76.69409013
,39.36342592,-76.69394562
,39.36378241,-76.69360526
,39.36171045,-76.70978212
,39.36168003,-76.70937474
,39.36163713,-76.70969299
,39.35517141,-76.68770461
Norway maple,39.35942161,-76.69261142
Red maple,39.35874783,-76.69974565
,39.35843277,-76.7012422
London planetree,39.36282215,-76.69561937
,39.36143012,-76.7090244
,39.36173112,-76.70945365
,39.36018086,-76.70008379
,39.3590558,-76.70593293
,39.35771319,-76.70105669
Red maple,39.35900026,-76.70046371
,39.35784808,-76.70094783
,39.35766578,-76.7011104
,39.35818358,-76.70110388
Red maple,39.35895511,-76.70071606
Red maple,39.35720074,-76.70189041
Red maple,39.35888943,-76.70062358
,39.35705483,-76.7015377
,39.35758271,-76.70103434
Red maple,39.35710775,-76.7016361
,39.35971567,-76.69956942
,39.36440387,-76.70778117
London planetree,39.365434,-76.70721202
