common_name,latitude_coordinate,longitude_coordinate
,26.58540924,-82.01218472
,26.58546016,-82.01223146
,26.58534334,-82.01237541
,26.5853009,-82.01232756
,26.58532951,-82.01253931
,26.58547827,-82.01249528
,26.58553845,-82.01249362
,26.58549906,-82.012546
Live oak,26.5855511,-82.01254175
Live oak,26.58551544,-82.01259514
,26.58564344,-82.01275482
,26.5856425,-82.01272176
Live oak,26.58561532,-82.01283001
Live oak,26.58555509,-82.01289169
,26.58557507,-82.01284517
,26.58552544,-82.01280383
,26.58553096,-82.01282135
,26.58555169,-82.01279361
,26.58555776,-82.01281362
,26.5855764,-82.01280082
,26.58539428,-82.0127825
,26.58528222,-82.01277968
,26.585318,-82.01270867
,26.58530734,-82.01279243
,26.5852556,-82.01293523
,26.58534604,-82.012999
Live oak,26.58562534,-82.01315946
Live oak,26.58569009,-82.0132202
Live oak,26.58578928,-82.01326609
,26.58563618,-82.01319298
,26.58536388,-82.01321505
,26.58527993,-82.01325145
,26.58521161,-82.01381169
,26.58519291,-82.01413337
,26.58514277,-82.01436516
,26.58513238,-82.01381811
,26.58513772,-82.01374984
,26.58513382,-82.01351484
,26.58512193,-82.01312818
,26.58513528,-82.01309221
,26.58513376,-82.01305436
,26.58521389,-82.01257786
,26.58519808,-82.01253836
,26.58646965,-82.01275207
,26.58652533,-82.01274549
,26.58653795,-82.0127796
,26.58657777,-82.01279125
,26.58661159,-82.01284851
,26.58666068,-82.01292879
,26.58668351,-82.01300653
,26.58665386,-82.01303531
,26.58662278,-82.01307238
,26.58658846,-82.01309965
,26.58641677,-82.0132048
,26.58665401,-82.01366489
,26.58669137,-82.01370724
,26.58633923,-82.01343441
,26.58629435,-82.01343681
,26.58630669,-82.01347768
,26.58623417,-82.01347197
,26.58618421,-82.01349039
,26.58616214,-82.01349175
,26.58613124,-82.013473
,26.5861132,-82.01348784
,26.58608332,-82.0134897
,26.58606894,-82.01347544
,26.58605972,-82.01346237
,26.58613066,-82.01343937
,26.58593863,-82.01340265
,26.58585296,-82.01337659
,26.58590719,-82.01332395
,26.58595692,-82.01323244
,26.58596768,-82.01321213
,26.585995,-82.0132194
,26.58602387,-82.01325085
,26.58602426,-82.01327501
Live oak,26.58607309,-82.01330241
Live oak,26.58608148,-82.01334358
,26.58610536,-82.01331062
,26.58608857,-82.01315881
,26.58613702,-82.01314808
,26.5861795,-82.01318365
,26.58692801,-82.01283731
,26.58708963,-82.01255733
,26.58712663,-82.012408
,26.58716769,-82.01231826
,26.5872309,-82.01223527
,26.58732139,-82.0121362
,26.58718643,-82.01213321
Live oak,26.58706918,-82.0121653
,26.58700694,-82.01221552
,26.58701052,-82.01227842
,26.5869484,-82.01223286
,26.58690359,-82.0122055
,26.58691924,-82.01218158
,26.58690304,-82.01215709
,26.58693656,-82.01212734
,26.5869929,-82.01200277
,26.58693111,-82.01193858
,26.58691096,-82.01192011
,26.58689126,-82.01190229
,26.58687965,-82.01186744
,26.58686269,-82.01184778
,26.58685117,-82.01183435
,26.58683947,-82.01181711
,26.58681681,-82.01179291
,26.58679938,-82.01178154
,26.58677695,-82.01175622
,26.58672339,-82.0117233
,26.58670075,-82.01169665
,26.58659463,-82.01147121
,26.58655703,-82.01143321
,26.58649061,-82.01135604
,26.58645696,-82.01132047
,26.58641497,-82.01129219
,26.58634453,-82.01121744
,26.58646486,-82.01128211
,26.58650638,-82.01132289
,26.5865561,-82.0113656
,26.58660131,-82.011426
,26.58659475,-82.01141261
,26.58656982,-82.01125828
,26.58665095,-82.01126459
,26.58662502,-82.0113013
,26.5864873,-82.01122863
,26.58651893,-82.01122214
,26.58654177,-82.01123239
,26.58664254,-82.01122345
,26.58671963,-82.0112324
,26.58681545,-82.01145086
,26.58684696,-82.01146855
,26.58686621,-82.01147597
,26.58694323,-82.01144697
,26.58695185,-82.01150218
,26.58699371,-82.01158033
Live oak,26.58714415,-82.01176476
Live oak,26.5871599,-82.0118139
Live oak,26.58718565,-82.01178304
Live oak,26.58720735,-82.01176075
Live oak,26.58722663,-82.01178811
Live oak,26.58721595,-82.01180771
Live oak,26.58724779,-82.01181509
Live oak,26.58722523,-82.01185095
Live oak,26.587105,-82.01187388
,26.5862703,-82.01184473
,26.58627902,-82.0118651
,26.58625871,-82.01185859
,26.58627955,-82.01176847
,26.58624245,-82.01178275
,26.58621635,-82.0118119
,26.58619547,-82.01188078
Live oak,26.58614491,-82.0118975
,26.58611221,-82.01193032
Live oak,26.58608543,-82.0119774
,26.58613536,-82.01178196
,26.58601502,-82.01220783
,26.58603534,-82.01218252
,26.58606841,-82.01216202
,26.58605773,-82.0121437
,26.58605974,-82.01204168
,26.58605849,-82.01201202
,26.58602891,-82.01179637
,26.58602101,-82.01159551
,26.58598299,-82.01154267
,26.58613271,-82.01140628
,26.58611987,-82.01138309
,26.58615792,-82.01142667
,26.58627389,-82.0112004
,26.58618715,-82.01118662
,26.58619321,-82.01120535
,26.58618008,-82.01123348
,26.5862542,-82.01127582
,26.58627992,-82.01129684
,26.58630919,-82.01134888
,26.58636072,-82.0113824
Live oak,26.58645893,-82.01141066
,26.58646847,-82.0114551
,26.58637494,-82.01152603
,26.58654491,-82.01162473
,26.58657297,-82.01156473
,26.58653121,-82.01166579
,26.58648614,-82.01167734
,26.58649447,-82.01171571
,26.58646264,-82.01171349
,26.58595431,-82.0116481
,26.58591021,-82.01171516
,26.58586753,-82.01168378
Live oak,26.58582251,-82.01168966
,26.58574978,-82.01163687
,26.58568424,-82.01161485
,26.58567656,-82.01157857
,26.585653,-82.011593
,26.5856484,-82.01173869
,26.58559733,-82.01170009
,26.58543773,-82.01156284
,26.585496,-82.01154897
,26.58551953,-82.01152704
,26.5856385,-82.01141779
,26.58559664,-82.01141601
,26.58556648,-82.01139196
,26.58555444,-82.01140611
,26.58553229,-82.01143625
,26.58550046,-82.0114496
,26.58552717,-82.01138435
,26.58551643,-82.0113589
,26.58547884,-82.01137458
,26.58547584,-82.01134934
,26.58544054,-82.01138893
,26.58539572,-82.01137995
,26.58541701,-82.01139102
,26.5854205,-82.01143116
,26.58535531,-82.01147185
,26.58531468,-82.01151218
,26.58526298,-82.01150594
,26.58528949,-82.01157845
,26.58542705,-82.01167389
Live oak,26.58517701,-82.01141328
Live oak,26.5851035,-82.01147496
Live oak,26.58498887,-82.01148556
Live oak,26.58489231,-82.01147705
,26.58480128,-82.01147314
,26.58479169,-82.01159315
,26.58506378,-82.01166154
,26.58509679,-82.01163342
,26.58511957,-82.01164977
,26.58512055,-82.01165494
,26.58523085,-82.01174556
,26.5851902,-82.01173213
,26.58517655,-82.01176474
,26.58513358,-82.01183805
,26.58529499,-82.01183637
,26.58534258,-82.01181844
,26.58536353,-82.01181324
,26.5854161,-82.01184218
Live oak,26.58553339,-82.01189791
,26.58553928,-82.01197898
,26.58569968,-82.01193432
,26.58571568,-82.01189459
,26.58575115,-82.01185367
Live oak,26.58583647,-82.01187716
,26.58580557,-82.01187128
,26.58586154,-82.011907
,26.5858663,-82.01197789
,26.58582272,-82.01201306
,26.5857633,-82.01201853
,26.58565771,-82.0121995
Live oak,26.58564337,-82.01241804
,26.58566925,-82.01239309
,26.58566739,-82.01230775
,26.58571669,-82.01224323
,26.58575764,-82.01223713
,26.58576585,-82.01227187
,26.58578719,-82.01230321
,26.58577436,-82.01230549
,26.58580838,-82.01230756
,26.58580428,-82.01227059
,26.58584166,-82.01223634
,26.58586978,-82.01224348
,26.58541011,-82.01199112
,26.58534553,-82.01196834
,26.58526353,-82.01197481
,26.58527344,-82.01198148
,26.58525793,-82.01201883
,26.58524381,-82.012038
,26.58529126,-82.01205305
,26.58517357,-82.01219857
,26.58512631,-82.01222723
,26.58512483,-82.01231342
,26.58512967,-82.01238552
,26.58512547,-82.01241881
,26.58514655,-82.01239571
,26.58516284,-82.01242165
,26.58523585,-82.01246478
,26.58520484,-82.01245662
,26.58518079,-82.01251173
,26.66682758,-82.00383085
,26.66674705,-82.00370039
,26.66684091,-82.00365101
,26.66673472,-82.00355348
,26.66673244,-82.00352626
,26.66673129,-82.00348871
,26.66672077,-82.00336866
,26.66671854,-82.00332673
,26.66672032,-82.00328303
,26.6667155,-82.00320084
,26.66671837,-82.00316477
,26.66671693,-82.003132
,26.66671839,-82.00309867
,26.66671638,-82.00306531
,26.66671849,-82.00302932
,26.6667175,-82.00295996
,26.66671801,-82.00288849
,26.66671632,-82.00284823
,26.66671652,-82.00278526
,26.66671009,-82.00275147
,26.66671216,-82.00271717
,26.66671749,-82.00264176
,26.66671574,-82.00261459
,26.66680649,-82.00263369
,26.66680794,-82.00275014
,26.66680501,-82.00278033
,26.66680785,-82.00285197
,26.66681166,-82.00287412
,26.66681251,-82.0029392
,26.66681288,-82.00301002
,26.66681292,-82.00303839
,26.66681329,-82.0031757
,26.66681417,-82.00324571
,26.66681512,-82.00328032
,26.66681683,-82.00331874
,26.66681826,-82.00334985
,26.66681843,-82.00339426
,26.6668176,-82.00344227
,26.66681954,-82.00347768
,26.66682137,-82.0035547
,26.66682002,-82.0035891
,26.66687071,-82.00343621
,26.66687791,-82.00340907
,26.66687333,-82.00333666
,26.66687948,-82.00321031
,26.66687673,-82.00304013
,26.66687966,-82.00292753
,26.66684619,-82.00283291
,26.66672296,-82.00258119
,26.66667014,-82.00273902
,26.66667071,-82.00263777
,26.66663061,-82.0026142
