common_name,latitude_coordinate,longitude_coordinate
,38.97748074,-104.7840228
Littleleaf linden,38.82980603,-104.8002572
,38.87799126,-104.6970253
,38.95543703,-104.773209
Green ash,38.85193193,-104.8228788
Norway maple,38.83898486,-104.802073
,38.86320662,-104.8344888
,38.78700262,-104.7205673
Green ash,38.85792253,-104.820245
,38.87972816,-104.8822775
,38.93307703,-104.8325717
,38.86489053,-104.8270432
,38.80209695,-104.8132707
,38.82932271,-104.8326656
,38.85431905,-104.8151739
,38.79448126,-104.7483583
,38.8561731,-104.8308508
,38.78627117,-104.7205437
,38.86211512,-104.829287
,38.79871112,-104.7530239
,38.87718318,-104.881781
,38.84100245,-104.8304892
,38.7593265,-104.8303126
,38.79696161,-104.7453877
,38.90540337,-104.7535626
,38.83093005,-104.8325321
,38.88849969,-104.8050973
Green ash,38.83913779,-104.8019898
,38.87920787,-104.8824383
,38.87217995,-104.8719894
,38.85204288,-104.8333573
,38.8782996,-104.8812843
,38.80438798,-104.7431114
,38.85801358,-104.8257096
,38.81107804,-104.8301837
,38.85893497,-104.8238592
,38.88357158,-104.7516981
,38.89832442,-104.7006872
,38.8723136,-104.8716071
,38.85339175,-104.8206967
,38.8594703,-104.7778407
,38.88469327,-104.7541927
Green ash,38.89831632,-104.7350621
,38.95232725,-104.7744185
,38.852369,-104.8207626
,38.85714968,-104.8240883
,38.85194999,-104.8290413
,38.83904818,-104.8020228
,38.84956742,-104.8556556
,38.87965769,-104.8819668
,38.84468918,-104.8625927
Littleleaf linden,38.85926913,-104.8169006
Honeylocust,38.85114363,-104.82668
,38.9300663,-104.8724243
,38.92972059,-104.8721962
,38.79576836,-104.7483462
,38.82694993,-104.7967048
,38.79187446,-104.7839067
,38.87920953,-104.8831362
Honeylocust,38.79163024,-104.7465856
,38.86263851,-104.8285432
,38.83233257,-104.8032495
,38.85711384,-104.8312793
,38.88396897,-104.7535006
,38.83485355,-104.7640172
,38.92827105,-104.7530218
,38.85438197,-104.8109856
,38.86888007,-104.759362
,38.8460862,-104.834827
,38.8239192,-104.8005556
,38.84185099,-104.8305577
,39.01081541,-104.8058382
,38.93526892,-104.8760435
,38.85187577,-104.8292184
Green ash,38.82488284,-104.7946838
,38.79047653,-104.7496516
,38.86230877,-104.8262674
,38.85094839,-104.8793259
,38.88281524,-104.8021175
,38.85641266,-104.8246184
,38.85724961,-104.8343599
,38.87282067,-104.8718873
,38.94816477,-104.7245477
,38.80417104,-104.733979
,38.79489727,-104.7473189
,38.87784129,-104.8822762
,38.79934179,-104.7384467
,38.86278689,-104.8277828
,38.92462393,-104.7829402
,38.87034053,-104.7600772
,38.83848946,-104.827826
,38.85201777,-104.8197458
,38.79984396,-104.749677
,38.8891049,-104.8269443
,38.79231857,-104.7461685
Norway maple,38.85808709,-104.8149555
,38.83390005,-104.8275133
,38.86698096,-104.7820621
,38.89891561,-104.6993017
,38.85283607,-104.8206735
,38.82844967,-104.7973347
Red maple,38.80527324,-104.7441932
,38.91377743,-104.7814375
,38.85077845,-104.7681087
,38.83309158,-104.80153
,38.89312964,-104.7698928
,38.84009768,-104.8007565
,38.95293559,-104.7820953
,38.84960871,-104.856581
,38.86437584,-104.8341478
Littleleaf linden,38.84310219,-104.7891907
Green ash,38.79702435,-104.7532758
,38.81385136,-104.7661481
,38.83998946,-104.8142281
,38.83958707,-104.8130827
,38.78796944,-104.7238098
,38.85374337,-104.81813
,38.8279283,-104.8023771
Green ash,38.91086918,-104.7249109
Honeylocust,38.79150888,-104.7506651
