common_name,latitude_coordinate,longitude_coordinate
,42.31362369,-83.13143134
,42.39731176,-83.08505058
,42.3970701,-83.08571577
,42.43785703,-83.17429841
,42.31570624,-83.09243202
,42.43308626,-83.00450385
,42.39492686,-83.08539391
,42.3128085,-83.13082248
,42.43966626,-83.17416966
,42.31319527,-83.13110948
,42.31354832,-83.13136697
,42.39745041,-83.08434784
,42.42743213,-83.00423563
,42.3964719,-83.08687449
,42.39826252,-83.08256686
,42.39507344,-83.08497548
,42.39598462,-83.08862329
,42.39602424,-83.08852673
,42.39605197,-83.08840334
,42.39497043,-83.08807075
,42.39549734,-83.08675647
,42.39506155,-83.08749676
,42.39602028,-83.08534563
,42.39607574,-83.08517933
,42.3940117,-83.08777034
,42.39391661,-83.08767915
,42.39608366,-83.08233619
,42.39396812,-83.08752358
,42.39443164,-83.08632731
,42.40878336,-83.22399974
,42.40919925,-83.22387099
,42.39593312,-83.08537245
,42.39664621,-83.08643997
,42.395739,-83.08876276
,42.39564392,-83.08638096
,42.4388824,-83.17421258
,42.44030364,-83.26401293
,42.44036698,-83.26419532
,42.44046991,-83.26405048
,42.44054908,-83.26418996
,42.44064014,-83.26403439
,42.4407114,-83.26420605
,42.44132105,-83.26408803
,42.44149524,-83.26410413
,42.44163379,-83.26423824
,42.44161796,-83.2640934
,42.44190299,-83.26415777
,42.44196237,-83.26424897
,42.44201383,-83.26436698
London planetree,42.44072327,-83.0749172
,42.44098455,-83.07494938
,42.4409608,-83.07510495
London planetree,42.44107561,-83.07494402
,42.44113895,-83.07509959
,42.44124979,-83.07510495
,42.44170109,-83.07513714
London planetree,42.44312622,-83.07524443
,42.4436171,-83.07528198
,42.44392191,-83.07531416
,42.44402087,-83.0751586
,42.44427027,-83.07531953
,42.4445157,-83.07518542
Red maple,42.44184361,-83.07514787
Littleleaf linden,42.43334874,-83.26687619
,42.43322772,-83.26687473
,42.44464237,-83.07535708
,42.44476509,-83.07520688
,42.44476905,-83.07536244
,42.44487989,-83.07536244
,42.44516094,-83.07522833
,42.44515698,-83.0753839
,42.44528761,-83.0752337
,42.4452797,-83.07539463
,42.44552513,-83.07524443
,42.44553304,-83.07541609
,42.44576659,-83.07542145
,42.44589327,-83.07526588
London planetree,42.44588535,-83.07543218
,42.44603973,-83.07545364
