common_name,latitude_coordinate,longitude_coordinate
,36.00505754,-78.89805391
,35.98862431,-78.87823176
,36.00655796,-78.90029222
,35.99445078,-78.90202895
,35.99425222,-78.90166953
,35.99464284,-78.90237361
,35.99932469,-78.91454145
,35.99355886,-78.90042901
,35.99837424,-78.91456157
,35.99375526,-78.90076697
,35.99362288,-78.90054166
,35.99369016,-78.90065432
,35.98455051,-78.90597763
,35.99799123,-78.91857147
,35.99381385,-78.90087023
,35.99793047,-78.9190878
,36.01049382,-78.92332971
,36.01330609,-78.90963745
,35.99781437,-78.91931981
,35.997682,-78.91931713
,35.99783325,-78.92129374
,36.01415486,-78.90820849
,35.99777267,-78.92308325
,35.99776281,-78.92290491
,36.01541555,-78.90822887
,36.0152767,-78.90835628
,36.01055132,-78.92613597
,35.99562828,-78.90421423
,35.99595682,-78.90481979
,35.99843821,-78.91454291
,35.99851437,-78.91451114
,36.01055783,-78.92634183
,36.01493859,-78.90542829
,35.99912071,-78.91430005
,35.99921728,-78.91426921
,35.99812577,-78.91490489
,36.00441249,-78.90863029
,36.02391639,-78.87710586
,35.99946357,-78.91520396
,36.02408234,-78.87720779
,36.02450031,-78.87716156
,35.98291956,-78.87602687
,35.98447339,-78.92561775
,35.98435796,-78.92562765
,35.98430509,-78.92563033
,35.98373939,-78.92571527
,35.98337921,-78.92572358
,36.02120147,-78.88308853
,36.02114165,-78.88324201
,36.02091078,-78.88383016
,36.02086522,-78.88394549
,36.02112663,-78.88362899
,36.0211993,-78.88344124
Red maple,35.98729436,-78.88401181
Red maple,35.98933095,-78.88344193
,36.02605244,-78.87845117
,36.02639043,-78.87836516
,36.02549871,-78.87810802
,36.02668254,-78.87878007
,36.02544573,-78.87760878
,36.0267776,-78.87893409
,35.98095427,-78.92593962
,35.9886829,-78.88408902
,35.9801614,-78.92605281
,35.99811054,-78.91684574
,35.99811818,-78.91646795
,35.97675376,-78.92602667
,35.97664853,-78.92598331
,36.01983418,-78.8862552
Green ash,35.99270166,-78.87693554
Green ash,36.00259423,-78.89024265
,36.01979739,-78.88623667
Green ash,36.00231784,-78.89034491
Green ash,35.98710463,-78.91859293
Green ash,36.00254567,-78.8896881
Green ash,35.96910205,-78.93964559
,36.01965498,-78.88615251
,36.01561732,-78.91795859
,36.01819894,-78.91660309
,36.02142917,-78.89743286
,36.00598513,-78.91223878
,36.01428956,-78.91561434
,35.9842528,-78.87926504
Red maple,35.98451635,-78.88043461
Red maple,35.98465677,-78.88042307
,35.98398841,-78.88041856
,35.99153856,-78.88192482
,35.99175563,-78.88179852
,36.0117891,-78.91820133
,36.01673244,-78.91667938
,36.01693868,-78.91680104
,36.0155121,-78.91322583
,36.00232245,-78.90854403
,36.02037916,-78.89133143
,36.00556636,-78.90104592
,36.00555833,-78.90095955
,36.01357415,-78.91836762
,36.01822684,-78.89597321
,36.00915079,-78.90126988
,36.01461089,-78.90837467
,35.98666623,-78.92347991
,35.99439674,-78.92159867
,35.99583069,-78.90355211
,35.97498037,-78.90982479
,36.02895442,-78.89265195
,35.99585564,-78.90199576
,35.98256965,-78.96538675
,35.99438707,-78.8981486
,36.00095758,-78.90033782
,36.00106304,-78.9004696
,36.00075275,-78.90095353
,36.01334081,-78.92918146
,36.01566071,-78.92905355
,36.01722817,-78.91893893
,36.00556013,-78.90350215
,35.98520559,-78.87795746
,35.98071391,-78.91668454
,35.98318361,-78.9259452
,36.00651064,-78.89610189
,36.01701407,-78.93427897
,36.0007558,-78.90137255
,36.01208092,-78.91817451
,36.00093588,-78.90016884
,36.0006885,-78.90135035
London planetree,36.00040533,-78.90136912
,35.99658505,-78.89454558
,35.99877623,-78.89187813
,35.99889937,-78.89187008
,36.01339678,-78.91661212
,36.01859605,-78.89692789
,36.01346512,-78.91838908
