common_name,latitude_coordinate,longitude_coordinate
,33.79952299,-117.9583899
,33.79951624,-117.9583146
,33.79610896,-117.9581684
,33.79606164,-117.9582717
,33.79602919,-117.9583837
,33.76268821,-117.954456
Crape myrtle,33.76952336,-117.9544779
Crape myrtle,33.76952534,-117.9543669
,33.790757,-117.9582366
,33.79950927,-117.9581554
,33.79106932,-117.9578249
,33.79103132,-117.957824
,33.79279845,-117.9582325
,33.79320851,-117.9581752
,33.79318847,-117.9581897
Crape myrtle,33.79074301,-117.9579491
,33.79263527,-117.9582551
,33.79130461,-117.9578126
,33.79190632,-117.9578964
,33.79199161,-117.957816
,33.79128676,-117.9576915
,33.79589196,-117.9581754
,33.79595855,-117.9580028
,33.79602041,-117.9579065
,33.79605955,-117.9577897
,33.79252665,-117.9579557
,33.79626502,-117.9578151
,33.79107228,-117.9576886
,33.80217959,-117.9580025
,33.80221549,-117.9579714
,33.7844491,-117.9575526
,33.79191839,-117.957646
,33.7918444,-117.9576184
,33.78142565,-117.9576836
,33.78141976,-117.9575962
,33.79084277,-117.9574192
,33.79085075,-117.957567
,33.78121624,-117.9574282
,33.78121624,-117.9574282
,33.75766673,-117.9536137
,33.77049091,-117.9537367
,33.77049155,-117.9537447
,33.77048974,-117.9537155
,33.77049105,-117.9536564
,33.75535189,-117.9536269
,33.78144449,-117.9569331
,33.76522037,-117.9537662
,33.76520855,-117.9537401
,33.76521333,-117.9536657
,33.76527501,-117.9535645
,33.76521148,-117.9537935
,33.76521845,-117.9537026
,33.76536304,-117.9535463
,33.76542213,-117.9535787
,33.76549687,-117.9535689
,33.76552796,-117.9535666
,33.7963644,-117.9574508
,33.7645617,-117.9535608
,33.76462186,-117.9535618
,33.76459451,-117.9535612
,33.76452814,-117.9535624
,33.76734632,-117.9535696
,33.7669775,-117.9535866
,33.76700017,-117.953588
,33.7670371,-117.9535869
,33.76705707,-117.9535918
,33.76708446,-117.9535889
,33.76714562,-117.9535836
,33.76728288,-117.9535927
,33.7626957,-117.9536619
,33.76294936,-117.953549
,33.76269026,-117.9539261
,33.76301615,-117.9535526
,33.76282128,-117.9535477
,33.76269565,-117.9537569
,33.78847605,-117.9573234
,33.79075429,-117.9574397
Crape myrtle,33.79255254,-117.9555551
Crape myrtle,33.75943213,-117.9535683
,33.7889691,-117.9571818
,33.80184043,-117.9573283
,33.80183977,-117.9573374
,33.80184225,-117.9573659
,33.77416713,-117.9571476
,33.77417213,-117.9560335
,33.77417068,-117.9561549
,33.77417185,-117.9562881
,33.77417222,-117.956727
,33.77416398,-117.9568479
,33.75540831,-117.9534878
,33.79087778,-117.9571134
