common_name,latitude_coordinate,longitude_coordinate
,36.044337,-79.465496
,36.044663,-79.46597
,36.042078,-79.481886
,36.042139,-79.481805
,36.042157,-79.481805
,36.042259,-79.481791
,36.042277,-79.481786
,36.042333,-79.481845
,36.042309,-79.481579
,36.042318,-79.481537
,36.042244,-79.481534
,36.042111,-79.48154
,36.042105,-79.48154
,36.042096,-79.481545
,36.041877,-79.481747
,36.042211,-79.481279
,36.042196,-79.481197
,36.042193,-79.481134
,36.041283,-79.481954
,36.041301,-79.481593
,36.041245,-79.481056
,36.041229,-79.481058
,36.041264,-79.481124
,36.04127,-79.481133
,36.041066,-79.481139
,36.041067,-79.481122
,36.041131,-79.481071
,36.040989,-79.481187
,36.040999,-79.481227
,36.040572,-79.481112
,36.040573,-79.481125
,36.040573,-79.48114
,36.040572,-79.481156
,36.040573,-79.481172
,36.040573,-79.48119
,36.040582,-79.481269
,36.040658,-79.481283
,36.040693,-79.48139
,36.040684,-79.481393
,36.04067,-79.481392
,36.040624,-79.481458
,36.035979,-79.481369
,36.041431,-79.480984
,36.041448,-79.480986
,36.041464,-79.480983
,36.041464,-79.480995
,36.041106,-79.480697
,36.04109,-79.480703
,36.04108,-79.4807
,36.041074,-79.480581
,36.041144,-79.480567
,36.041145,-79.480459
,36.040682,-79.481774
,36.040556,-79.481715
,36.040223,-79.481648
,36.040215,-79.481651
,36.040063,-79.481589
,36.040042,-79.4816
,36.04004,-79.481585
,36.04001,-79.481588
,36.040286,-79.481074
,36.04027,-79.481072
,36.040252,-79.481071
,36.040238,-79.481074
,36.040248,-79.481192
,36.040255,-79.481204
,36.040264,-79.481223
,36.041505,-79.480408
,36.041479,-79.480416
,36.041464,-79.480416
,36.041448,-79.480419
,36.041397,-79.480649
,36.041394,-79.480736
,36.040574,-79.480989
,36.04058,-79.48101
,36.040587,-79.481011
,36.040594,-79.481012
,36.040597,-79.481026
,36.042272,-79.480802
,36.040799,-79.480892
,36.0408,-79.480902
,36.040799,-79.480912
,36.040791,-79.480926
,36.040266,-79.481263
,36.040274,-79.481311
,36.040258,-79.481313
,36.040235,-79.481313
,36.040223,-79.481312
,36.040171,-79.48107
,36.040126,-79.481076
,36.040032,-79.481156
,36.041486,-79.480992
,36.041509,-79.480987
,36.041557,-79.480951
,36.041628,-79.480964
,36.041959,-79.480947
,36.041979,-79.480813
,36.040153,-79.480621
,36.040151,-79.480607
