common_name,latitude_coordinate,longitude_coordinate
,21.37008053,-157.7305771
,21.29199034,-157.8543587
,21.29191911,-157.8543909
,21.4049919,-157.7842765
,21.38687848,-157.7331993
,21.38128633,-157.7297551
,21.3042164,-157.8237903
,21.28940934,-157.8456348
,21.41126078,-157.8088591
,21.28525004,-157.8476498
,21.28530128,-157.8476894
,21.28535876,-157.8476445
,21.28546872,-157.847503
,21.2910113,-157.8581802
,21.37644071,-157.7310109
,21.42287152,-157.8076964
,21.41845348,-157.8018276
,21.2690247,-157.7943382
,21.26897596,-157.794241
,21.26892347,-157.7941371
,21.2688816,-157.7938478
,21.40870498,-157.8212965
,21.40959209,-157.8208479
,21.40977625,-157.8209102
,21.30296422,-157.7930347
,21.30931701,-157.788147
,21.31182145,-157.7875704
,21.3111075,-157.8069501
,21.3110369,-157.8070628
,21.32039865,-157.8012625
,21.41606179,-157.7518956
,21.37429132,-157.7212627
,21.37495608,-157.7231116
,21.40402777,-157.7426031
,21.39356593,-157.7453135
,21.39448372,-157.7459773
,21.39510556,-157.7455066
,21.39463731,-157.7462804
,21.39458986,-157.7463448
,21.39382503,-157.7416281
,21.39408601,-157.7419353
,21.39285542,-157.7323665
,21.39766721,-157.7337546
,21.38395958,-157.7510717
,21.40644361,-157.812218
,21.40643223,-157.812079
,21.40654216,-157.8120871
,21.40691588,-157.8120114
,21.40663807,-157.8120458
,21.40956593,-157.8123119
,21.40959141,-157.8123375
,21.40960827,-157.8123612
,21.27935359,-157.7927919
,21.29147739,-157.8500618
,21.29150863,-157.8500397
,21.29155612,-157.8500658
,21.29152863,-157.8501108
,21.29148614,-157.8501329
,21.29247517,-157.8539141
,21.34495915,-157.8700107
,21.28703511,-157.8068554
,21.3754833,-157.7324842
,21.37515559,-157.732659
,21.38387561,-157.7282753
,21.39471422,-157.724164
,21.37166658,-157.7667308
,21.37158396,-157.766968
,21.38957254,-157.7359352
,21.29903571,-157.8463087
,21.30358863,-157.844569
,21.39134947,-157.80254
,21.31023117,-157.8055018
,21.31028593,-157.8054138
,21.30278454,-157.8361972
,21.3808896,-157.7296375
,21.39182352,-157.7266532
,21.37221326,-157.7235494
,21.40717034,-157.7447406
,21.26545566,-157.7951811
,21.26548999,-157.795246
,21.26558966,-157.795386
,21.42403848,-157.8033136
,21.42358717,-157.803386
,21.40907789,-157.8197949
,21.42602898,-157.7395285
,21.42600963,-157.7395432
,21.42598092,-157.739568
,21.42594222,-157.7395915
,21.36912663,-157.7221806
,21.3750821,-157.7338577
,21.3761896,-157.7332093
,21.37627692,-157.7332737
,21.36323396,-157.7356381
,21.39459635,-157.7189729
,21.39456888,-157.71894
,21.39454515,-157.7189085
,21.39321037,-157.7171505
,21.39094119,-157.7159098
,21.38651998,-157.7383505
,21.40800141,-157.7432254
,21.40808382,-157.7432723
,21.40236461,-157.7468115
,21.40728098,-157.7529846
,21.38498542,-157.7332789
,21.39587038,-157.7424972
,21.40922562,-157.8120577
,21.40919299,-157.8121189
,21.40957528,-157.8124321
,21.29810067,-157.825899
,21.29464002,-157.8038889
,21.43207891,-157.8085217
,21.4280767,-157.7451765
,21.42572794,-157.7395381
,21.39355958,-157.7176372
,21.33000888,-157.8049239
,21.37907446,-157.7363319
,21.30747474,-157.7912738
,21.31851491,-157.8060963
,21.39914001,-157.7453256
,21.38104157,-157.729562
,21.36720539,-157.7697792
,21.43133036,-157.8377065
,21.40594423,-157.804471
,21.39364397,-157.7393442
,21.40932803,-157.8120734
,21.40962407,-157.8126716
,21.31651847,-157.8085667
,21.31658427,-157.8092127
,21.38840728,-157.7150763
,21.3872506,-157.7344314
,21.38546046,-157.7320766
,21.38545896,-157.732025
