common_name,latitude_coordinate,longitude_coordinate
,33.66109356,-118.0063177
,33.66114916,-118.0062624
,33.66123149,-118.0061646
,33.66125353,-118.0061386
,33.66170356,-118.0058521
,33.661739,-118.0058131
,33.6616046,-118.0056983
,33.66165412,-118.0056286
,33.66170724,-118.0055911
,33.66175931,-118.0055389
,33.66182666,-118.005465
,33.66195009,-118.0055878
,33.66188266,-118.0054035
,33.66191041,-118.0053705
,33.66204804,-118.005512
,33.66193954,-118.0053508
,33.66207178,-118.0054968
,33.66201406,-118.005271
,33.66205933,-118.0052347
,33.66209836,-118.0054493
,33.66218806,-118.0053367
,33.66210767,-118.005182
,33.66214447,-118.0051475
,33.66217299,-118.0051113
,33.6622533,-118.0052689
,33.66230235,-118.005229
,33.66249241,-118.0053157
,33.66256364,-118.0054048
,33.66220488,-118.0050668
,33.66222993,-118.005031
,33.662205,-118.0049094
,33.66224329,-118.0049549
,33.66256674,-118.0047183
,33.66259994,-118.0046776
,33.66263782,-118.0046441
,33.66277551,-118.0044955
,33.66285812,-118.004411
,33.66291304,-118.0043507
,33.66269039,-118.0048365
,33.66282789,-118.0046924
,33.66303693,-118.0044852
,33.66330369,-118.0043662
,33.66335965,-118.004437
,33.66340133,-118.0044937
,33.66295241,-118.0043192
,33.66342938,-118.0040857
,33.66342866,-118.0042332
,33.66349462,-118.0043347
,33.66349783,-118.0040038
,33.6635621,-118.0039594
,33.66341255,-118.0038244
,33.66343646,-118.0038017
,33.66350781,-118.0037266
,33.66358677,-118.0039184
,33.66354501,-118.0036868
,33.66361969,-118.0038835
,33.66364884,-118.0038561
,33.66374894,-118.0037379
,33.66360144,-118.0036225
,33.66368479,-118.0035478
,33.66377942,-118.0037072
,33.66384372,-118.0036442
,33.66378687,-118.0034426
,33.66389318,-118.003597
,33.66383766,-118.0033924
,33.66395351,-118.0035468
,33.66390922,-118.0033116
,33.66399827,-118.0034877
,33.66405225,-118.0034261
,33.66423702,-118.0035351
,33.66398131,-118.0032483
,33.66426846,-118.0032038
,33.66430996,-118.0031659
Crape myrtle,33.66430969,-118.0033816
Crape myrtle,33.66435163,-118.0034631
Crape myrtle,33.66442618,-118.0035464
,33.66419155,-118.0030319
,33.66390801,-118.0028625
,33.66392946,-118.0028916
,33.66394708,-118.0029183
,33.66399307,-118.0029435
,33.66405041,-118.0030325
,33.6642521,-118.0029719
,33.66434066,-118.0031231
,33.66428395,-118.0029505
,33.66436997,-118.0030852
,33.66440221,-118.0030473
,33.66433506,-118.002902
,33.66443151,-118.0030274
,33.66439846,-118.0028295
,33.66449471,-118.0029343
,33.66447011,-118.0027417
,33.66455444,-118.0029047
,33.66460351,-118.0028613
,33.6645407,-118.0026587
,33.6646547,-118.002822
,33.66459837,-118.0026009
,33.66469836,-118.0027716
,33.66473783,-118.0027314
,33.66476572,-118.002696
,33.66480536,-118.0026667
,33.66471349,-118.0024898
,33.66487611,-118.0025871
,33.66491653,-118.0025521
,33.66510812,-118.0026735
,33.66517091,-118.002758
,33.66482495,-118.0023408
,33.66467126,-118.0020785
,33.66474242,-118.0021784
,33.6648123,-118.0022739
,33.66512239,-118.0023166
Crape myrtle,33.66513339,-118.0024696
Crape myrtle,33.66519844,-118.0025488
Crape myrtle,33.66526203,-118.0026258
,33.66518484,-118.0022597
,33.66523537,-118.0021773
,33.6652969,-118.0021356
,33.66519518,-118.0019999
,33.66533942,-118.0020847
,33.66537837,-118.0020603
,33.66541559,-118.002015
,33.66522344,-118.0019735
,33.66528237,-118.0019029
,33.6654594,-118.0019726
,33.6654957,-118.0019346
,33.66533499,-118.0018597
,33.66555388,-118.0018799
,33.66560086,-118.0018391
,33.66540721,-118.0017761
,33.66547622,-118.0017094
,33.66566042,-118.0017542
,33.66555898,-118.0016128
,33.66570692,-118.0017094
,33.66557541,-118.0015887
,33.66576475,-118.0016759
,33.6658281,-118.0016404
,33.66563118,-118.0015089
,33.66552709,-118.0011872
,33.66560021,-118.0012709
,33.66566688,-118.0013897
,33.66600368,-118.0014463
,33.66596066,-118.0015363
,33.66596443,-118.0015566
,33.66598033,-118.0015868
,33.66600573,-118.0016393
,33.66602806,-118.0016624
,33.66604511,-118.0016901
