common_name,latitude_coordinate,longitude_coordinate
,35.94941483,-83.87668071
,35.9481577,-83.87590619
,35.86455343,-84.08310585
,35.8644049,-84.0832945
,35.86417086,-84.08361324
,35.86402196,-84.0835578
,36.03246643,-83.91008442
,36.03246752,-83.91014879
,35.97590205,-83.89177059
,35.97384927,-83.89084148
,35.93292798,-83.96536548
,35.9312566,-83.99876197
,35.98336533,-83.94944314
,35.98339567,-83.94948765
,35.96770426,-83.93878025
,35.96774215,-83.93881748
,35.96777545,-83.9388586
,35.96780566,-83.93889983
,35.96781645,-83.93907713
,35.96778458,-83.93903024
,35.96775125,-83.93898717
,35.96771343,-83.93895378
,35.96765948,-83.93888455
,35.96794327,-83.93923234
,35.96793125,-83.93921679
,35.96791156,-83.93919307
,35.96802084,-83.93932007
,35.96797826,-83.93928107
,35.9680907,-83.93941183
,35.9680573,-83.93936495
,35.96817188,-83.93950135
,35.96813233,-83.93945655
,35.96828442,-83.93964916
,35.96823133,-83.9395862
,35.9684011,-83.9397988
,35.96839414,-83.93978965
,35.96833558,-83.93972435
,35.9684971,-83.93991109
,35.96844339,-83.9398552
,35.96859182,-83.94003222
,35.96853365,-83.93995978
,35.96867965,-83.94014695
,35.96871001,-83.94018359
,35.96864309,-83.94009634
,35.96860497,-83.94004577
,35.96873759,-83.94021672
,35.96867525,-83.94050103
,35.96870171,-83.94045339
,35.96873037,-83.94040703
,36.02289562,-83.89439107
,36.02325819,-83.89524897
,36.02236978,-83.8936111
,36.02328414,-83.89515413
,36.02305897,-83.89453862
,36.02327981,-83.89516982
,36.02299253,-83.89448055
,36.02327496,-83.89518835
,36.02280365,-83.89436934
,36.02275201,-83.89430283
,36.02271226,-83.89422105
,36.0227407,-83.89413745
,36.0227926,-83.89405782
,36.0226555,-83.89396827
,36.02271508,-83.8940081
,36.02348419,-83.89437774
,36.02345716,-83.89432899
,36.02147791,-83.89323656
,36.02142322,-83.89331624
,36.02192843,-83.89345013
,36.02187577,-83.89337905
,36.02161937,-83.89320174
,36.02154091,-83.89320498
,36.02138354,-83.89339899
,36.02133805,-83.89347037
,36.02118039,-83.89412119
,36.02121773,-83.89417197
,36.02127943,-83.89422556
,36.02151502,-83.89444253
,36.02358118,-83.89441891
,36.02354454,-83.89440835
,36.02341472,-83.89430709
,36.02232983,-83.89378474
,36.02219005,-83.89380915
,36.02223814,-83.89367326
,36.0222791,-83.89361004
,36.02231866,-83.89357865
,36.02237052,-83.89378528
,35.90650557,-84.02654037
,35.9065959,-84.02658357
,35.90663608,-84.02663433
,35.90667777,-84.02665423
,35.90673611,-84.02669768
,35.90679897,-84.0267402
,35.90684618,-84.02677575
,35.90691037,-84.02682706
,35.90695545,-84.02687884
,35.90699549,-84.02691459
,35.90702234,-84.02694771
,35.90706519,-84.02700984
,35.9070861,-84.02704606
,35.90654397,-84.02781035
,35.90680696,-84.02802865
,35.90687478,-84.0280828
,35.90678312,-84.02817912
,35.90684671,-84.0282657
,35.90669165,-84.02828718
,35.90675103,-84.02833565
,35.90681317,-84.02840759
,35.9067192,-84.02843637
,35.90675353,-84.02848842
,35.90678683,-84.02855076
,35.90654144,-84.02864059
,35.90616369,-84.0291501
,35.90602717,-84.02944571
,35.90608176,-84.02957467
,35.90660594,-84.02917074
,35.90611897,-84.0305075
,35.90602667,-84.03044723
,35.90593599,-84.03040779
