common_name,latitude_coordinate,longitude_coordinate
,36.2931653,-115.260232
,36.2931303,-115.2602166
,36.22303228,-115.3092334
,36.2931519,-115.2601823
,36.2931172,-115.2601411
,36.2931309,-115.2600768
,36.2931841,-115.2601102
,36.2931936,-115.2600422
,36.2932131,-115.2599759
,36.2932535,-115.2599396
,36.293243,-115.259926
,36.179241,-115.106627
,36.2933491,-115.2598595
,36.293337,-115.259798
,36.2933875,-115.2597677
,36.293394,-115.25984
,36.179369,-115.10669
,36.2945042,-115.2594306
,36.294393,-115.259437
,36.179361,-115.1058076
,36.2946882,-115.2603881
,36.294545,-115.2603432
,36.20350106,-115.227987
,36.294532,-115.260418
,36.20349481,-115.2281058
,36.294472,-115.260472
,36.294399,-115.260471
,36.294246,-115.260502
,36.2941616,-115.2604831
,36.294178,-115.259598
,36.22321989,-115.3093171
,36.193627,-115.146123
,36.29509632,-115.2603325
,36.29522614,-115.2604976
,36.29513594,-115.2605279
,36.29506104,-115.26052
,36.22310802,-115.30938
,36.29493112,-115.2605233
,36.295104,-115.260274
,36.2950323,-115.2603146
,36.2949522,-115.2604092
,36.2950453,-115.2604283
,36.2950817,-115.2604327
,36.2951623,-115.2604454
,36.2952906,-115.2603943
,36.29464,-115.2598365
,36.294681,-115.259826
,36.294725,-115.259851
,36.2947611,-115.2598643
,36.2948203,-115.2598893
,36.2949388,-115.259927
,36.294933,-115.2600362
,36.2949432,-115.2601061
,36.2949603,-115.2601943
,36.2950482,-115.2600901
,36.294878,-115.259899
,36.294356,-115.259434
,36.2945042,-115.2594306
,36.294393,-115.259437
,36.294356,-115.259434
,36.232291,-115.251919
,36.232345,-115.251936
,36.22314816,-115.3093372
,36.19348923,-115.153085
,36.1937465,-115.1540547
,36.1936966,-115.154118
,36.193635,-115.1541948
,36.19440696,-115.1546557
,36.19391883,-115.1544833
,36.1931592,-115.1549706
,36.1933984,-115.1553531
,36.1935112,-115.1553859
,36.1932015,-115.1553283
,36.1931132,-115.155938
,36.1936229,-115.155631
,36.1938596,-115.1556228
,36.1942492,-115.1552878
,36.1945502,-115.15442
,36.1945014,-115.1544578
,36.1944404,-115.154467
,36.19392186,-115.1535656
,36.19427018,-115.1545977
,36.1942141,-115.1545701
,36.19415435,-115.1545329
,36.19395882,-115.1544714
,36.19388822,-115.1544779
,36.1937342,-115.1545006
,36.1936658,-115.1544799
,36.1935807,-115.1544811
,36.1934701,-115.1544828
,36.1933865,-115.1544802
,36.1932879,-115.1544922
,36.1932454,-115.1545282
,36.1932105,-115.1545762
,36.1931608,-115.1546664
,36.1931501,-115.1547697
,36.1931547,-115.1548319
,36.1932813,-115.1552782
,36.1933334,-115.1553002
,36.1935792,-115.1554011
,36.1936258,-115.1554256
,36.1931895,-115.1552946
,36.1931491,-115.1552701
,36.1931365,-115.1553747
,36.1931643,-115.1560229
,36.1932262,-115.1560255
,36.1932378,-115.1560494
,36.1934754,-115.1560897
,36.1935708,-115.1560928
,36.1935722,-115.1560507
,36.1935459,-115.1559552
,36.1936048,-115.1559945
,36.1936536,-115.156044
,36.1936621,-115.1556553
,36.19371,-115.1556922
,36.1937424,-115.1557623
,36.1938494,-115.1555701
,36.1938659,-115.1555207
,36.1939688,-115.1554593
,36.1939988,-115.1554667
,36.1940342,-115.1554567
,36.1940452,-115.1554191
,36.1939944,-115.155408
,36.1939217,-115.1554385
,36.1938439,-115.1557459
,36.193896,-115.1557289
,36.19399,-115.1557193
,36.194055,-115.1557161
,36.1941,-115.1557114
,36.1941895,-115.1557072
,36.1941826,-115.1555955
,36.1941272,-115.1555127
,36.1941026,-115.1554496
,36.19416,-115.1554442
,36.1941813,-115.1554807
,36.1941983,-115.1554481
,36.19419213,-115.155378
,36.1942171,-115.155388
,36.1942447,-115.1555127
,36.1943133,-115.1555557
,36.1943549,-115.1554547
,36.1942968,-115.1553799
,36.1942812,-115.1552613
,36.1943208,-115.1552978
,36.1943358,-115.15524
,36.1944318,-115.1550713
,36.19443957,-115.1550073
,36.198919,-115.252723
,36.199468,-115.252547
,36.18055672,-115.1056588
,36.18047259,-115.1053047
,36.18012677,-115.1059921
,36.1807399,-115.105353
,36.1806567,-115.1053237
,36.1805836,-115.1052257
,36.180181,-115.1052584
,36.17832507,-115.1051203
,36.17893722,-115.1051791
,36.17861376,-115.1057345
,36.1786565,-115.106414
,36.1788797,-115.1065856
,36.1789611,-115.1065159
,36.1792639,-115.10679
,36.17972,-115.106792
,36.179111,-115.106557
,36.179403,-115.103413
,36.1777063,-115.1035682
,36.1780701,-115.1036887
,36.1785849,-115.1037462
,36.17996173,-115.1012548
,36.18033475,-115.1006222
,36.18051843,-115.1006161
,36.18035014,-115.1017048
,36.18026103,-115.1006471
,36.18076952,-115.1001524
,36.1807867,-115.1004502
,36.18078096,-115.100584
,36.18080119,-115.1008652
,36.18019301,-115.101065
,36.18004014,-115.100934
,36.18077244,-115.0999907
,36.180661,-115.10298
,36.1799776,-115.1021824
,36.179804,-115.10148
,36.179798,-115.101047
,36.1798069,-115.1016412
,36.180529,-115.101236
,36.180331,-115.101105
,36.179806,-115.103018
,36.179856,-115.10127
,36.179798,-115.101367
,36.179792,-115.100977
,36.18013525,-115.0984809
,36.1807469,-115.0985832
,36.18074726,-115.0986223
,36.18074934,-115.0986748
,36.18075129,-115.0989101
,36.180727,-115.099197
,36.17266647,-115.0907701
,36.17179638,-115.0894741
