common_name,latitude_coordinate,longitude_coordinate
,38.22745406,-85.80093692
,38.22775172,-85.80124824
,38.22747901,-85.8012857
,38.22762779,-85.80031326
,38.22749262,-85.80145917
,38.22756167,-85.79919549
,38.22746738,-85.80111097
,38.22772982,-85.80090396
,38.22792385,-85.79915087
,38.22740864,-85.79920985
,38.22730667,-85.79923817
,38.2274772,-85.79920122
,38.2277649,-85.80142201
,38.22782151,-85.7993799
,38.22774112,-85.80107661
,38.22763334,-85.79922752
Green ash,38.22771554,-85.80043344
Pin oak,38.22765205,-85.80004493
Green ash,38.22733388,-85.80034742
,38.22810909,-85.80076068
,38.22754034,-85.80229552
,38.22717786,-85.8018725
,38.22724032,-85.80305268
,38.22729662,-85.80374453
,38.22850451,-85.80141509
,38.22726263,-85.8033062
,38.22831708,-85.79971601
,38.22854499,-85.80228364
,38.22732981,-85.80390776
,38.22730277,-85.8039555
,38.22704138,-85.80022173
,38.227279,-85.80290406
,38.22719412,-85.80214422
,38.22737414,-85.80466719
,38.22714315,-85.80172461
,38.22721453,-85.80251991
,38.22838926,-85.79989539
,38.22725404,-85.80345354
,38.22866917,-85.8038027
,38.22727433,-85.80345036
,38.22861659,-85.80367656
,38.22723662,-85.80319114
,38.22710413,-85.79989025
,38.22720334,-85.80240126
Pin oak,38.2270721,-85.80070542
,38.22708164,-85.80086606
,38.22733683,-85.80439759
,38.22741118,-85.80440102
,38.22713513,-85.80147009
,38.22868291,-85.80402661
,38.2271966,-85.80236181
,38.22871367,-85.80445804
,38.22721593,-85.80249256
,38.22709043,-85.80104385
,38.22714741,-85.8016925
,38.22731048,-85.80407973
,38.22729419,-85.8037688
,38.22713077,-85.80125677
,38.22735519,-85.80453702
,38.22835536,-85.79993686
,38.2271791,-85.80213513
,38.22735262,-85.80457037
,38.22730428,-85.80402855
,38.2283616,-85.79978824
,38.22708785,-85.80081662
,38.22709203,-85.80095111
,38.22732936,-85.80428428
,38.2271424,-85.80174701
,38.22716347,-85.80175381
,38.22728877,-85.80392318
Pin oak,38.22860497,-85.80350144
,38.22731347,-85.80400758
,38.22709677,-85.79996485
,38.22710213,-85.80100195
,38.2271974,-85.80211118
,38.22733392,-85.8042451
,38.22719432,-85.80250797
,38.22724467,-85.80246641
