common_name,latitude_coordinate,longitude_coordinate
,43.04754156,-89.39295536
,43.06651274,-89.3935603
,43.06988145,-89.3836246
,43.0743709,-89.39066223
,43.07788671,-89.36918072
,43.06810018,-89.42131737
,43.06977378,-89.4335779
,43.0723218,-89.43128821
,43.07397103,-89.43893492
,43.04177855,-89.47528326
,43.04156578,-89.49627137
,43.04581018,-89.49090155
,43.02941146,-89.49071448
,43.03086572,-89.4944376
Norway maple,43.01760233,-89.51076408
Norway maple,43.07698213,-89.50523209
Norway maple,43.0788223,-89.50462055
Norway maple,43.06363554,-89.51973956
Norway maple,43.04779425,-89.51581658
,43.14826316,-89.37403728
Red maple,43.14619511,-89.37664202
,43.13068507,-89.3768031
,43.12284487,-89.36741796
Green ash,43.09923346,-89.35385058
,43.06635008,-89.40747883
,43.06071602,-89.42864226
,43.06263319,-89.41070149
,43.06537499,-89.40867469
Green ash,43.09502169,-89.3265974
,43.0598753,-89.440494
,43.05462116,-89.45094733
,43.05293874,-89.43837738
,43.04816505,-89.44175099
,43.06623931,-89.44305924
,43.03939789,-89.44509913
,43.05714684,-89.46301766
,43.05363107,-89.4603785
,43.11374401,-89.31548572
,43.10638985,-89.29133452
,43.08326693,-89.4713093
Green ash,43.08871278,-89.28936619
,43.0902886,-89.29865452
,43.06567403,-89.4850652
Green ash,43.03863431,-89.48729718
,43.03350663,-89.47702066
,43.03367563,-89.47332663
,43.03903372,-89.46693894
,43.028,-89.44733794
,43.03912603,-89.48081074
,43.03205044,-89.55235186
Norway maple,43.03272184,-89.53796042
,43.07001346,-89.55093297
,43.07873213,-89.55859229
Norway maple,43.08062925,-89.54969971
Norway maple,43.0438968,-89.51491597
Green ash,43.03679726,-89.40415328
,43.01121939,-89.51409361
,43.0989131,-89.27097641
,43.09213612,-89.26655574
Norway maple,43.01501553,-89.49185017
Norway maple,43.03275896,-89.3585274
,43.06316487,-89.41612246
Green ash,43.03460016,-89.28946538
Green ash,43.11260934,-89.33470404
Green ash,43.12204845,-89.34955753
,43.05117804,-89.40049319
,43.09541684,-89.34617389
,43.07941683,-89.38150421
,43.05969932,-89.45113091
,43.13829079,-89.30907154
,43.06658839,-89.39419074
,43.06236875,-89.5029125
,43.06862739,-89.42129974
,43.06870917,-89.41409441
,43.13511206,-89.38325147
,43.094089,-89.25830489
,43.05105494,-89.44892328
,43.0996333,-89.313081
,43.03455712,-89.46558047
,43.06877049,-89.47030766
Norway maple,43.05668215,-89.51351479
Norway maple,43.05682747,-89.5134468
Norway maple,43.05702999,-89.51333343
Norway maple,43.05716342,-89.51326218
Norway maple,43.05732781,-89.51317149
,43.05745183,-89.51295083
,43.05744259,-89.51258383
,43.05743797,-89.51241169
,43.05743113,-89.51201871
,43.05756686,-89.5120384
,43.05756674,-89.51219753
,43.05757374,-89.51238266
,43.0575712,-89.51258077
,43.05757582,-89.51276265
,43.05758504,-89.51314264
,43.05760143,-89.51349991
,43.05763461,-89.51369482
,43.05767495,-89.51388
Green ash,43.0577987,-89.51400035
Green ash,43.05792021,-89.51393233
Green ash,43.0580417,-89.51389354
Green ash,43.05817034,-89.51384826
Green ash,43.05831328,-89.51378352
Green ash,43.05843239,-89.51374148
Green ash,43.05856819,-89.51367023
Green ash,43.05867781,-89.5135892
Green ash,43.05884701,-89.5134498
Green ash,43.05897331,-89.51335255
Green ash,43.0590877,-89.51325529
Green ash,43.05921639,-89.51314505
Green ash,43.05932601,-89.51305103
Green ash,43.05944516,-89.51296351
Green ash,43.05956908,-89.51285652
Green ash,43.05977641,-89.51268469
Green ash,43.05988839,-89.51262639
Green ash,43.0600075,-89.51258435
Norway maple,43.05982343,-89.31164774
Norway maple,43.0596851,-89.31163928
Norway maple,43.05887982,-89.31400991
Norway maple,43.05901072,-89.3140126
Norway maple,43.05909226,-89.31400661
Green ash,43.05919956,-89.31401227
