common_name,latitude_coordinate,longitude_coordinate
,43.29916197,-87.99796445
,43.30046594,-88.0039726
,43.29835467,-88.00358576
,43.29835467,-88.00358576
,43.29835467,-88.00358576
,43.29867718,-88.00293821
,43.29875837,-88.00207996
,43.29819455,-88.00324965
,43.29821057,-88.00324951
,43.29418424,-87.99653471
,43.05123849,-87.96434551
,43.15182965,-87.94688702
Honeylocust,43.05227337,-87.96642423
Green ash,43.15115456,-87.95452327
,43.15092561,-87.95457423
,42.93706788,-88.03182989
,43.15585561,-87.95705661
Norway maple,43.15226601,-87.95319021
,43.07162016,-87.87202388
,43.04524123,-87.89089392
,43.15354378,-87.95634985
,43.04121564,-87.974541
,42.95038,-87.91998982
,42.95040061,-87.920077
,43.06581823,-87.87232161
,42.94837551,-88.01885337
,43.05745416,-87.87699525
,43.10261226,-87.91105807
,43.0555094,-87.87979428
,42.9902775,-87.99674124
,43.1350929,-87.92905569
Norway maple,43.1510665,-87.95453131
,42.9893024,-87.90174276
,42.98919645,-87.89921343
,42.95669243,-87.84718528
,43.00414204,-88.06378707
,43.098337,-87.90333867
Red maple,42.99302711,-87.87988946
Green ash,43.1094358,-87.95007355
,43.1528051,-87.95523539
,43.16886895,-88.06100965
,43.10219708,-87.92810082
,43.10404478,-87.922609
,43.15709319,-87.95549959
Honeylocust,43.04204243,-87.91335806
Honeylocust,43.04245213,-87.91360751
,43.04188855,-87.91321456
Green ash,42.9979051,-87.91275591
,43.06402326,-87.87293181
Green ash,43.15509838,-87.95201674
,43.15390968,-87.95040607
,43.06007847,-87.87782148
,42.9977668,-88.06254521
,42.94899983,-88.02265942
,42.99028142,-87.99628526
,43.04393899,-87.8889057
,43.06813926,-87.87038237
,43.10287859,-87.91212827
,43.07081877,-87.86782756
,43.10005654,-87.90761143
,43.10412605,-87.92259961
,43.1039547,-87.92230055
,43.05535241,-88.02532017
,43.1692915,-87.88492531
Red maple,43.10022105,-87.90700793
Green ash,42.98957121,-87.89921667
,43.15542808,-87.95141727
,43.04552677,-87.89120436
Honeylocust,42.9585612,-87.84707531
,43.00427542,-88.06477949
Green ash,43.15213393,-87.95441732
,43.04137004,-87.89890364
,42.92181234,-87.94334382
,42.97711923,-87.91215241
,43.06465915,-87.87174225
Green ash,42.99881042,-88.06470171
,43.06873543,-87.87199169
,43.02436483,-87.94683874
,42.9033511,-87.89619662
,43.08576899,-88.00991893
Green ash,43.00389783,-87.92288393
,42.99880454,-88.06426987
,42.95262589,-88.03317904
Green ash,43.15207229,-87.95479953
,43.15274542,-87.94579804
,43.1099046,-87.94738305
,43.15271216,-87.94587851
,43.15306242,-87.94621915
,43.05540043,-88.02250251
,43.05178239,-88.0188708
Green ash,43.15207621,-87.95098007
