common_name,latitude_coordinate,longitude_coordinate
,37.8163804,-122.2666373
,37.7984799,-122.2718594
,37.8175425,-122.2644745
,37.8131434,-122.2661467
,37.8321364,-122.2539009
,37.8140836,-122.2558797
,37.809062,-122.249835
,37.809062,-122.249835
,37.804361,-122.271274
,37.8156502,-122.2676204
,41.330195,-105.581434
,37.8111016,-122.2656217
,37.7969169,-122.2663035
,37.8240888,-122.2589473
,37.8046584,-122.278613
,37.8024113,-122.2766516
,37.8163804,-122.2666373
,37.8085428,-122.2750967
,37.8024113,-122.2766516
,37.7975581,-122.2709525
,37.8111303,-122.2707502
,37.8078778,-122.3052198
,37.812389,-122.2652596
,37.812389,-122.2652596
,37.8255298,-122.2515919
,37.8000598,-122.2655204
,37.8080399,-122.273948
,37.8172904,-122.2633035
,37.8039991,-122.2783792
,37.8196508,-122.2571882
,37.8080399,-122.273948
,37.8095313,-122.2751182
,37.8138843,-122.2649607
,37.8173384,-122.2562887
,37.8033194,-122.2660469
,37.815316,-122.2649777
,37.8070804,-122.2731177
,37.8036587,-122.2639356
,41.330304,-105.57335
,41.330195,-105.581434
,37.7961292,-122.2719682
,37.811632,-122.266091
,37.799859,-122.272597
,37.8107938,-122.2550056
,37.815316,-122.2649777
,37.8040252,-122.2776284
,37.8164201,-122.2536602
,37.8108134,-122.2717604
,37.8199229,-122.2680996
,37.763227,-122.1691412
,37.8504512,-122.2608904
,37.8152152,-122.2898439
,37.8063099,-122.2770329
,37.8027356,-122.2731254
,37.8193906,-122.2623997
,37.8337917,-122.2632932
,37.8157631,-122.2686819
,37.8216152,-122.2653164
,37.804822,-122.272457
,37.8177658,-122.2685712
,37.8070366,-122.2710746
,37.8047874,-122.2767248
,37.7986541,-122.2769772
,37.8168178,-122.2571157
,37.8063099,-122.2770329
,37.8071705,-122.2654431
,37.8240888,-122.2589473
,37.8170717,-122.2551325
,37.8216152,-122.2653164
,41.330746,-105.579939
,37.8074833,-122.2755315
,37.8027356,-122.2731254
,37.8092783,-122.249767
,37.8060821,-122.2679852
,37.7936093,-122.2533483
,37.8061524,-122.276398
,37.819283,-122.2648284
,37.8116583,-122.2624746
,37.8194057,-122.2664664
,37.8068501,-122.2703909
,37.8093156,-122.2534523
,37.823185,-122.2594828
,37.8136588,-122.2707228
,37.8159959,-122.2596199
,37.819283,-122.2648284
,37.8065669,-122.2655909
,37.8199326,-122.2575382
,37.8199326,-122.2575382
,37.819283,-122.2648284
,37.8142841,-122.2686088
,37.8155421,-122.2598322
,37.8107165,-122.252823
,37.7994675,-122.2791579
,37.8180855,-122.2639038
,37.8173609,-122.2688815
,37.8104553,-122.2691261
,41.330304,-105.57335
,37.8069722,-122.2717941
,37.8108547,-122.2673504
,37.8261104,-122.2587799
,37.7966466,-122.274175
,37.8149818,-122.2553749
,37.8025679,-122.2671065
,37.8117875,-122.262907
,37.821359,-122.224588
,37.819283,-122.2648284
,37.8166436,-122.2641406
,37.8053923,-122.2817387
,37.8045982,-122.2690938
,37.8194391,-122.2575802
,37.8048226,-122.2749411
,37.8017983,-122.2724448
,37.8070686,-122.2692593
,37.8017983,-122.2724448
,37.8048226,-122.2749411
,37.8017983,-122.2724448
,41.33095,-105.574607
,41.330742,-105.584705
,37.8048226,-122.2749411
,37.8043229,-122.2639785
,37.8053923,-122.2817387
,37.8053923,-122.2817387
,37.8113286,-122.2627818
,37.8053923,-122.2817387
,37.76398,-122.180951
,37.811868,-122.272828
,37.7967416,-122.2683123
,37.8147799,-122.2546545
,37.8030235,-122.2672077
,37.7999731,-122.2734613
,37.7944813,-122.269744
,37.7961292,-122.2719682
,37.8028298,-122.2665541
,37.7984298,-122.2688598
,37.8155628,-122.259146
,37.8055441,-122.2627703
,37.7973997,-122.2662005
,37.8018106,-122.2634759
,37.8083428,-122.2668293
,37.8043229,-122.2639785
,37.8085591,-122.2646362
,41.330304,-105.57335
,37.804088,-122.2672901
,37.8109668,-122.2649178
,37.8055441,-122.2627703
,37.7994704,-122.2728428
,37.7940237,-122.2662504
,37.8007808,-122.2748525
,37.8086404,-122.2752622
,37.794238,-122.2526447
,37.7480839,-122.1671898
,37.809629,-122.264659
,37.809629,-122.264659
,37.8126327,-122.2631265
,37.8101203,-122.2533725
,37.8058056,-122.2650848
,37.810101,-122.2626357
,37.8018629,-122.2739699
,37.8033194,-122.2660469
,37.8090916,-122.2577376
,37.79911,-122.2682721
,37.8025547,-122.2661674
,37.8104505,-122.2503738
,37.8101203,-122.2533725
,37.8183814,-122.2573941
,37.8177959,-122.2533824
,37.7977562,-122.2799085
,37.8133004,-122.2555699
,37.804496,-122.2625679
,37.8105415,-122.251778
,37.80233,-122.2653929
,37.8058056,-122.2650848
,37.7939006,-122.2690401
,37.8108991,-122.2504472
,37.7916425,-122.199934
,37.8139498,-122.2627489
,37.8044557,-122.2713563
,37.7946161,-122.2722118
,37.8166287,-122.2585722
,37.8097679,-122.258618
,37.8020243,-122.2648277
,37.811176,-122.258845
,37.7953604,-122.2734842
,37.8169848,-122.2536285
,37.8090916,-122.2577376
,37.7983266,-122.2801224
,37.7967775,-122.2755837
,37.8176824,-122.2630552
,37.7997757,-122.2644287
,37.8074176,-122.266402
,37.818881,-122.260212
,37.816199,-122.262383
,37.7983266,-122.2801224
,37.7946161,-122.2722118
,37.7989603,-122.2776844
,37.8065994,-122.2663404
,37.816199,-122.262383
,37.8149977,-122.2542823
,37.8045938,-122.2618716
,37.8046584,-122.278613
,37.7996433,-122.2678058
,37.7974244,-122.279632
,37.8140337,-122.2531353
,37.7947293,-122.2735752
,37.7955637,-122.2709676
,37.8122861,-122.2622255
,37.7978298,-122.2814257
,37.8033197,-122.2682121
,37.7967187,-122.2776979
,37.800405,-122.2666585
,37.7969169,-122.2663035
,37.8047998,-122.2654122
,37.7969169,-122.2663035
,37.822839,-122.256022
,37.8090719,-122.2553096
,37.8009666,-122.2637032
,37.7975581,-122.2709525
,37.8047998,-122.2654122
,37.7969169,-122.2663035
,37.807443,-122.267864
,37.8013093,-122.263036
,37.7974244,-122.279632
,37.8094865,-122.2415784
,37.7652435,-122.1688971
,37.8371744,-122.2555596
,37.8125209,-122.2531313
,37.8025477,-122.2718856
,37.7904814,-122.2607432
,37.8147276,-122.2528015
,37.8137091,-122.2614913
,37.8115656,-122.2548508
,37.8118737,-122.2603239
,37.8128971,-122.2571082
,37.8213616,-122.2657016
,37.7997852,-122.2763096
,37.82004,-122.2610378
,37.7885758,-122.2528341
,37.7987229,-122.2825255
,37.8103369,-122.2653534
,37.7997852,-122.2763096
,37.7940048,-122.2685751
,37.8052581,-122.2653809
,37.8206874,-122.2548009
,37.7885758,-122.2528341
,37.8032709,-122.269577
,37.8032709,-122.269577
,37.7790246,-122.1893903
,37.8140858,-122.2443596
,37.8141501,-122.2576338
,37.7934228,-122.2657035
,37.8018953,-122.2660681
,41.330655,-105.586197
,37.8107291,-122.2506894
,37.8013375,-122.2738022
,37.8141501,-122.2576338
,37.799942,-122.266388
,37.8009865,-122.2716596
,37.8018953,-122.2660681
,37.8210637,-122.2614597
,37.7938974,-122.2704352
,37.8078102,-122.2557865
,37.8043526,-122.2625625
,37.7973997,-122.2662005
,37.8142864,-122.2566381
,37.7978369,-122.277468
,37.7938974,-122.2704352
,37.7938974,-122.2704352
,37.8223648,-122.2653123
,37.8194393,-122.2614304
,37.8002475,-122.2771592
,37.811077,-122.2601718
,37.7983945,-122.2795223
,37.7951062,-122.2779395
,37.7986189,-122.2635418
,37.8231,-122.256448
,37.8231,-122.256448
,37.7977562,-122.2799085
,37.8227188,-122.2664434
,37.7956103,-122.2791209
,37.8017983,-122.2724448
,37.8217013,-122.2675179
,37.8121806,-122.2528366
,37.79862,-122.272345
,37.8206441,-122.2594526
,37.8150782,-122.2560712
,37.8150782,-122.2560712
,37.8223121,-122.2642864
,37.8000488,-122.2750704
,37.7970315,-122.2759648
,37.8205201,-122.2547286
,37.7986189,-122.2635418
,37.8135692,-122.2569829
,37.7957886,-122.2746851
,37.8227188,-122.2664434
,37.8221748,-122.2676513
,37.7986189,-122.2635418
,37.8418971,-122.2546419
,37.7988894,-122.2156833
,37.796993,-122.2778492
,37.8027356,-122.2731254
,37.8019759,-122.2712873
,37.8116321,-122.2526518
,37.8101262,-122.2594479
,37.8117199,-122.2521308
,37.8084878,-122.2535596
,37.8107062,-122.2510736
,37.8045938,-122.2618716
,37.8223393,-122.2644582
,37.7885758,-122.2528341
,37.822289,-122.255317
,37.7982311,-122.2760085
,37.8217365,-122.2677654
,37.8145621,-122.2533238
,37.7902607,-122.2602584
,37.7956054,-122.276927
,37.8047874,-122.2767248
,37.809109,-122.2505319
,37.8019759,-122.2712873
,37.7992897,-122.2785227
,37.8046584,-122.278613
