common_name,latitude_coordinate,longitude_coordinate
,35.48433368,-97.52822704
,35.48428336,-97.52814516
,35.48422549,-97.52806637
,35.4841714,-97.52798603
,35.48436764,-97.52831819
,35.4843689,-97.52841861
,35.48439154,-97.52850049
,35.48437896,-97.52822395
,35.48440161,-97.52827184
,35.48442173,-97.528329
,35.48443306,-97.52857619
,35.48464062,-97.52867197
,35.48487712,-97.52842479
,35.48483184,-97.52816988
,35.48444752,-97.52843406
,35.48447268,-97.52852212
,35.48476579,-97.52853757
,35.48481485,-97.52846032
,35.48483372,-97.52837999
,35.48480856,-97.52826257
,35.48477334,-97.52818069
,35.48469534,-97.52812198
,35.48463622,-97.5281019
,35.48457332,-97.52809572
,35.4845142,-97.52807564
,35.48477208,-97.52810499
,35.48471044,-97.52805246
,35.48462364,-97.52804319
,35.48453684,-97.52802002
,35.48453055,-97.52857001
,35.48459596,-97.52861172
,35.48468277,-97.52859782
,35.48411793,-97.52791877
,35.48406839,-97.52784461
,35.48418915,-97.52764877
,35.48410709,-97.52778757
,35.48404981,-97.52770771
,35.48401265,-97.52776856
,35.48396775,-97.5276906
,35.48391665,-97.52761074
,35.4838702,-97.52753278
,35.48380518,-97.52746623
,35.48385317,-97.52740538
,35.48388414,-97.52731221
,35.48373241,-97.52742059
,35.48362804,-97.52688162
,35.48369974,-97.52683837
,35.48380919,-97.52684146
,35.48382177,-97.52685691
,35.48384441,-97.52687699
,35.48387209,-97.52689244
,35.48390605,-97.52690943
,35.48395134,-97.5270701
,35.48388089,-97.527118
,35.48372868,-97.52725704
,35.48366703,-97.52732965
,35.4835903,-97.52725858
,35.48352614,-97.52714735
,35.48357143,-97.5272385
,35.48355633,-97.52721996
,35.48355256,-97.52717979
,35.48353117,-97.52705157
,35.48398908,-97.5271628
,35.48400166,-97.52727249
,35.48403437,-97.52734973
,35.48409611,-97.52743494
,35.48413946,-97.52750529
,35.48420139,-97.52758325
,35.48426487,-97.52765551
,35.48430512,-97.52773727
,35.48435777,-97.52780572
,35.48441196,-97.52787227
,35.48447234,-97.52796354
,35.48502546,-97.52782936
,35.48502983,-97.52767648
,35.48502983,-97.52757455
,35.48503201,-97.52745117
,35.4850342,-97.5273117
,35.48503201,-97.52718295
,35.48501236,-97.52684231
,35.48496868,-97.52675916
,35.48503201,-97.52664115
,35.4849512,-97.52658482
,35.48499488,-97.52651508
,35.48502109,-97.52644803
,35.48498396,-97.52639439
,35.46863825,-97.52209511
,35.46863552,-97.52219703
,35.46863661,-97.52229627
,35.46863006,-97.52242904
,35.46863934,-97.52151709
,35.4686246,-97.52164047
,35.46862896,-97.52175178
,35.46863443,-97.52186041
,35.46863115,-97.52196368
,35.46939244,-97.52235662
,35.46939681,-97.52246391
,35.46939462,-97.52225202
,35.46940609,-97.52213467
