common_name,latitude_coordinate,longitude_coordinate
,34.077823,-117.628604
,34.077583,-117.624957
,34.077583,-117.624957
Crape myrtle,34.077578,-117.622593
,34.07758,-117.622328
,34.07758,-117.622328
,34.077559,-117.621067
,34.077561,-117.621203
,34.077556,-117.620639
,34.077556,-117.620639
,34.077554,-117.620265
,34.077554,-117.620265
,34.077552,-117.619992
,34.077551,-117.61991
,34.077541,-117.616133
,34.077541,-117.61607
,34.077541,-117.61607
,34.077539,-117.615753
,34.077539,-117.615711
,34.077538,-117.615648
,34.077538,-117.615584
,34.077679,-117.613608
,34.077679,-117.613608
,34.077679,-117.613608
,34.077679,-117.613608
,34.077679,-117.613608
,34.077679,-117.613608
,34.077679,-117.613608
,34.077679,-117.613608
,34.077679,-117.613608
,34.077679,-117.613608
,34.077515,-117.612101
,34.077515,-117.612101
,34.077515,-117.612101
,34.077515,-117.612101
,34.077521,-117.612535
,34.077521,-117.612535
,34.077527,-117.613026
,34.077527,-117.613026
,34.077529,-117.613441
,34.077529,-117.613575
,34.077535,-117.614582
,34.077535,-117.615006
,34.077536,-117.615207
,34.077536,-117.615207
,34.077612,-117.615436
,34.077537,-117.615521
,34.077692,-117.616326
,34.077692,-117.616326
,34.077692,-117.616326
,34.077692,-117.616326
,34.077695,-117.616696
,34.077695,-117.616696
,34.077697,-117.616855
,34.077698,-117.617077
,34.077698,-117.617077
,34.077698,-117.617077
,34.077698,-117.617077
,34.077698,-117.617077
,34.077625,-117.61729
,34.077655,-117.62227
,34.077655,-117.62227
,34.07773,-117.622321
,34.077728,-117.622721
,34.077726,-117.622863
,34.081939,-117.626699
,34.081939,-117.626468
,34.081939,-117.626468
,34.081941,-117.626352
,34.081941,-117.626352
,34.081941,-117.626352
,34.081943,-117.62616
,34.081944,-117.626082
,34.081945,-117.62578
,34.081944,-117.625625
,34.081941,-117.625023
,34.081941,-117.625023
,34.081939,-117.624499
,34.081939,-117.624499
,34.081939,-117.624499
,34.081939,-117.624499
Crape myrtle,34.081939,-117.624499
,34.081939,-117.62406
,34.081939,-117.62406
,34.081939,-117.62406
,34.081939,-117.623919
,34.081939,-117.623835
,34.081939,-117.623751
,34.081939,-117.623415
,34.081939,-117.623415
,34.081939,-117.623331
,34.081939,-117.623331
,34.081939,-117.623331
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.082089,-117.623345
,34.082089,-117.623345
,34.082089,-117.623428
,34.082089,-117.623733
,34.082089,-117.623733
,34.082089,-117.623816
,34.082089,-117.623927
,34.082089,-117.623927
,34.082089,-117.624038
,34.082089,-117.624038
,34.0894392,-117.6251181
,34.0894392,-117.6251181
,34.0894392,-117.6251181
,34.0894392,-117.6251181
,34.0894392,-117.6251181
,34.08209,-117.624986
,34.082091,-117.625143
,34.082091,-117.625143
,34.082094,-117.625597
,34.082094,-117.625597
,34.082094,-117.625597
,34.082095,-117.625754
,34.082095,-117.625754
,34.082093,-117.626181
,34.082093,-117.626181
,34.08209,-117.626377
,34.08209,-117.626377
,34.082089,-117.626569
,34.082089,-117.626569
,34.082662,-117.626534
,34.082661,-117.626339
,34.082661,-117.626339
,34.08266,-117.626221
,34.082659,-117.625765
,34.082658,-117.625608
,34.082658,-117.625608
,34.0894392,-117.6251181
,34.0894392,-117.6251181
,34.082655,-117.624161
,34.082658,-117.623914
,34.082662,-117.623558
,34.082662,-117.623558
,34.082662,-117.623558
,34.082662,-117.623558
,34.082662,-117.623237
,34.082664,-117.622188
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0383137,-117.6214073
,34.0749298,-117.6212008
,34.0749298,-117.6212008
,34.0749298,-117.6212008
,34.0749298,-117.6212008
,34.0749298,-117.6212008
,34.0749298,-117.6212008
,34.0749298,-117.6212008
,34.0749298,-117.6212008
,34.0749298,-117.6212008
,34.0749298,-117.6212008
