common_name,latitude_coordinate,longitude_coordinate
Green ash,38.972979,-94.683892
,38.941584,-94.718633
,38.941356,-94.718441
Green ash,38.941584,-94.718633
Green ash,38.941584,-94.718633
Green ash,38.9415846,-94.7188605
Green ash,38.9415851,-94.719088
Green ash,38.9415851,-94.719088
Green ash,38.9415857,-94.7193155
Green ash,38.9403386,-94.7205971
Green ash,38.9403386,-94.7205971
Green ash,38.9399064,-94.7202701
Green ash,38.9399064,-94.7202701
Pin oak,38.9396741,-94.7197755
Green ash,38.939629,-94.7195041
Green ash,38.939629,-94.7195041
Green ash,38.9393335,-94.7193829
Green ash,38.9398118,-94.7195562
,38.9398118,-94.7195562
Green ash,38.9398653,-94.7197824
Green ash,38.9398653,-94.7197824
Green ash,38.9399554,-94.7199966
Green ash,38.94085,-94.720376
Green ash,38.9411591,-94.7201418
Green ash,38.9413185,-94.7198737
Green ash,38.9413185,-94.7198737
,38.9414028,-94.7195731
,38.9414151,-94.7192601
Green ash,38.9414171,-94.7189466
Green ash,38.941419,-94.718633
Green ash,38.941419,-94.718633
,38.941419,-94.718633
,38.9383938,-94.7194066
,38.937331,-94.73191
,38.937331,-94.73191
,38.9394844,-94.71913
,38.9394844,-94.71913
,38.939765,-94.71798
,38.939765,-94.71798
Red maple,38.939765,-94.71798
,38.939765,-94.71798
,38.941924,-94.718258
,38.9398699,-94.71903
,38.9398699,-94.71903
,38.9400696,-94.718976
,38.9400696,-94.718976
,38.9402691,-94.7189214
,38.939804,-94.719263
,38.939804,-94.719263
,38.9398118,-94.7195562
,38.9384164,-94.7196173
,38.9383387,-94.7196374
,38.9381831,-94.7196777
,38.9381053,-94.7196978
,38.9380276,-94.719718
,38.9379498,-94.7197381
,38.937872,-94.7197582
Green ash,38.937872,-94.7197582
Green ash,38.937872,-94.7197582
Green ash,38.9414028,-94.7195731
Green ash,38.9413185,-94.7198737
Green ash,38.941369,-94.7201846
Red maple,38.9412323,-94.7203655
Green ash,38.940898,-94.720577
Green ash,38.940732,-94.720633
Green ash,38.9399554,-94.7199966
Green ash,38.9400936,-94.7201833
Green ash,38.9400936,-94.7201833
Green ash,38.9402759,-94.7203256
Green ash,38.9402759,-94.7203256
Green ash,38.940489,-94.720417
,38.941421,-94.718635
,38.941421,-94.718635
,38.941421,-94.718635
,38.94065,-94.71901
,38.939804,-94.719263
,38.939956,-94.7192235
,38.939804,-94.719263
Red maple,38.939804,-94.719263
,38.939804,-94.719263
,38.940603,-94.718808
,38.940603,-94.718808
,38.9412208,-94.7185147
,38.9412658,-94.7184901
Red maple,38.9413109,-94.7184656
,38.941356,-94.718441
,38.9417157,-94.7182637
,38.9417157,-94.7182637
,38.9398118,-94.7195562
,38.9393335,-94.7193829
,38.9393335,-94.7193829
,38.9392198,-94.7194114
,38.938976,-94.719476
,38.938976,-94.719476
,38.938796,-94.71952
,38.938572,-94.719577
,38.9384942,-94.7195971
Green ash,38.937388,-94.658212
Norway maple,38.937388,-94.658212
,38.937882,-94.7195347
,38.9379551,-94.7195164
,38.9380282,-94.7194981
,38.9381013,-94.7194798
Red maple,38.9381745,-94.7194615
,38.9382476,-94.7194432
Honeylocust,38.9383207,-94.7194249
,38.9398699,-94.71903
,38.9398699,-94.71903
,38.9400194,-94.716919
,38.9400194,-94.716919
,38.9399143,-94.7169293
,38.9398088,-94.7169276
,38.9398088,-94.7169276
,38.9397033,-94.7169249
,38.9397033,-94.7169249
,38.9395991,-94.7169079
,38.9394956,-94.7168881
,38.9393951,-94.7168559
,38.9393951,-94.7168559
,38.9392946,-94.7168237
,38.939194,-94.7167914
,38.938993,-94.716727
,38.938993,-94.716727
,38.938993,-94.716727
,38.939628,-94.717936
,38.939691,-94.717894
,38.939698,-94.717902
,38.939698,-94.717902
,38.939717,-94.717924
,38.939723,-94.717932
,38.939765,-94.71798
,38.939748,-94.71796
,38.93974,-94.71795
,38.93974,-94.71795
,38.939748,-94.71796
,38.939735,-94.717945
Green ash,38.939728,-94.717937
,38.939722,-94.71793
,38.939709,-94.717915
,38.939709,-94.717915
,38.939628,-94.717936
,38.939628,-94.717936
,38.939628,-94.717936
,38.939628,-94.717936
,38.9391279,-94.716551
Green ash,38.9393217,-94.7166089
,38.9394186,-94.7166379
,38.9395155,-94.7166669
,38.9395155,-94.7166669
,38.9396143,-94.7166875
,38.939714,-94.7167043
,38.939714,-94.7167043
,38.939815,-94.7167097
,38.939815,-94.7167097
,38.9399159,-94.7167125
,38.9399159,-94.7167125
,38.9400194,-94.716919
,38.9400164,-94.7167005
,38.9400164,-94.7167005
,38.9400194,-94.716919
Green ash,38.937331,-94.73191
Green ash,38.937331,-94.73191
Green ash,38.937331,-94.73191
,38.937331,-94.73191
Green ash,38.937331,-94.73191
Green ash,38.937331,-94.73191
Green ash,38.937331,-94.73191
Green ash,38.937331,-94.73191
Green ash,38.9394844,-94.71913
Green ash,38.937331,-94.73191
Green ash,38.937331,-94.73191
Green ash,38.937331,-94.73191
Green ash,38.937331,-94.73191
Green ash,38.937331,-94.73191
Green ash,38.937331,-94.73191
Green ash,38.937331,-94.73191
Green ash,38.937331,-94.73191
Red maple,38.937331,-94.73191
Callery pear,38.937331,-94.73191
Callery pear,38.937331,-94.73191
,38.938753,-94.716653
,38.938753,-94.716653
,38.938753,-94.716653
,38.937711,-94.718544
,38.937693,-94.718529
,38.937684,-94.718522
,38.937675,-94.718515
Red maple,38.937675,-94.718515
,38.937675,-94.718515
,38.937648,-94.718493
,38.937648,-94.718493
,38.937639,-94.718486
,38.937675,-94.718515
,38.937675,-94.718515
Littleleaf linden,38.937639,-94.718486
,38.93763,-94.718478
Littleleaf linden,38.937621,-94.718471
,38.937612,-94.718464
,38.937603,-94.718456
,38.937388,-94.658212
,38.937388,-94.658212
,38.937388,-94.658212
Green ash,38.937388,-94.658212
Green ash,38.937388,-94.658212
Green ash,38.937388,-94.658212
,38.937623,-94.718473
,38.93765,-94.718495
Littleleaf linden,38.937668,-94.718509
Littleleaf linden,38.937686,-94.718524
,38.937695,-94.718531
,38.937704,-94.718539
,38.937713,-94.718546
,38.937713,-94.718546
,38.937713,-94.718546
,38.937713,-94.718546
,38.9365194,-94.7165155
,38.936664,-94.7165153
,38.9365917,-94.7165154
Callery pear,38.9367363,-94.7165152
,38.9367363,-94.7165152
Green ash,38.936881,-94.716515
Green ash,38.937388,-94.658212
Green ash,38.937388,-94.658212
Green ash,38.937388,-94.658212
