common_name,latitude_coordinate,longitude_coordinate
,40.45816863,-79.88972391
Littleleaf linden,40.42926879,-80.06786821
Red maple,40.42679667,-79.96503491
,40.45550338,-79.99927602
Norway maple,40.47666673,-79.92410638
Pin oak,40.47749586,-79.92456803
,40.47840283,-79.92598467
Norway maple,40.47840377,-79.92612638
Norway maple,40.4783138,-79.92616099
Norway maple,40.48523963,-79.93638956
,40.45321254,-80.06724511
,40.45599747,-80.07040834
Norway maple,40.4534458,-80.0700943
Red maple,40.45321893,-80.07011237
,40.45529959,-80.00031459
,40.44619189,-80.03528994
Norway maple,40.45698324,-80.05754439
Littleleaf linden,40.45754455,-80.05753551
Norway maple,40.4535338,-80.05201943
Red maple,40.45572292,-80.05031582
Red maple,40.45390535,-80.04901865
Red maple,40.45563734,-80.05275226
,40.45546953,-80.05259534
Red maple,40.4547808,-80.05083398
Red maple,40.45472999,-80.0507794
,40.455979,-79.99652576
Littleleaf linden,40.45464823,-80.05194276
Norway maple,40.45498332,-80.0522652
Littleleaf linden,40.45829046,-80.05435119
Littleleaf linden,40.45785087,-80.05516499
,40.45904976,-80.05614424
,40.45899137,-80.05622884
London planetree,40.47283207,-79.92706339
Littleleaf linden,40.45692768,-80.05297294
,40.48209517,-79.94479199
,40.48227863,-79.94456715
Littleleaf linden,40.45521851,-80.00016963
London planetree,40.47459773,-79.92701582
,40.48070677,-79.94613077
Norway maple,40.47362968,-79.92929515
,40.47307764,-79.92566587
,40.47381598,-79.92735091
,40.47467229,-79.92801071
,40.47336717,-79.92566744
,40.47447184,-79.92663714
,40.47452475,-79.92682735
,40.4751083,-79.92772285
,40.45524487,-80.0006017
,40.46426621,-79.95748474
Red maple,40.46305614,-79.95530414
,40.46294377,-79.95699819
,40.46296329,-79.95693416
,40.46349343,-79.95388949
,40.46327519,-79.95356034
,40.46334114,-79.9533637
,40.46338936,-79.95342515
,40.46346537,-79.95327674
,40.4627983,-79.93212358
,40.45514928,-80.00054556
,40.46539606,-79.93852532
Littleleaf linden,40.46525381,-79.93939346
Littleleaf linden,40.46540261,-79.9404545
,40.46522334,-79.94110832
,40.46532277,-79.94109749
Littleleaf linden,40.46547667,-79.94118027
Red maple,40.46428454,-79.95066071
Callery pear,40.46263108,-79.95068255
,40.46340762,-79.95151048
