common_name,latitude_coordinate,longitude_coordinate
,41.855221,-71.397057
,41.804213,-71.42287
,41.855221,-71.397057
,41.854416,-71.396864
,41.855462,-71.400009
,41.854222,-71.393307
,41.854162,-71.39391
,41.854088,-71.394656
,41.854045,-71.395078
,41.854031,-71.395271
,41.854688,-71.397679
,41.855211,-71.399228
,41.854841,-71.398132
,41.854125,-71.394285
,41.854936,-71.398415
,41.854472,-71.397033
,41.854208,-71.393453
,41.854176,-71.393767
,41.855109,-71.396739
,41.855267,-71.399392
,41.854478,-71.397051
,41.854125,-71.394285
,41.854192,-71.393605
,41.855026,-71.396496
,41.855109,-71.396739
,41.854359,-71.396696
,41.832465,-71.439146
,41.820235,-71.460211
,41.844499,-71.446965
,41.854836,-71.393301
,41.854901,-71.396132
,41.855229,-71.395036
,41.854736,-71.394286
,41.854841,-71.393257
,41.854973,-71.396343
,41.855201,-71.395315
,41.854796,-71.393689
,41.854945,-71.396261
,41.85478,-71.393842
,41.854721,-71.394434
,41.854856,-71.393112
,41.855199,-71.395342
,41.854751,-71.394132
,41.854886,-71.392818
,41.854825,-71.393412
,41.854794,-71.393706
,41.855233,-71.394995
,41.855199,-71.395342
,41.854692,-71.394726
,41.854874,-71.392936
,41.854888,-71.392797
,41.854973,-71.396343
,41.854721,-71.394434
,41.854874,-71.392936
,41.855201,-71.395315
,41.854857,-71.393101
,41.832754,-71.449291
,41.850632,-71.4006
,41.855457,-71.392809
,41.855475,-71.392644
,41.855441,-71.392958
,41.850787,-71.401082
,41.855319,-71.39412
,41.855457,-71.392809
,41.850407,-71.399933
,41.850523,-71.400274
,41.850735,-71.40092
,41.855362,-71.393693
,41.855319,-71.39412
,41.855399,-71.393343
,41.850675,-71.400734
,41.855458,-71.392796
,41.850523,-71.400274
,41.85047,-71.400117
,41.855411,-71.393232
,41.855345,-71.393857
,41.85532,-71.394113
,41.855362,-71.393693
,41.850523,-71.400274
,41.850735,-71.40092
,41.823689,-71.442969
,41.8341,-71.405424
,41.845741,-71.457771
,41.851584,-71.401358
,41.850139,-71.399145
,41.849971,-71.398862
,41.850295,-71.399604
,41.85148,-71.40104
,41.850129,-71.399118
,41.851545,-71.401239
,41.851273,-71.400406
,41.850185,-71.399282
,41.851422,-71.400862
,41.849971,-71.398862
,41.851243,-71.400315
,41.849971,-71.398862
,41.851243,-71.400315
,41.850298,-71.399612
,41.851103,-71.399896
,41.851243,-71.400315
,41.851584,-71.401358
,41.851081,-71.399831
,41.851367,-71.400694
,41.851243,-71.400315
,41.850069,-71.398987
,41.850405,-71.399928
,41.850182,-71.399272
,41.814516,-71.42827
,41.832165,-71.38131
,41.850319,-71.397605
,41.850992,-71.399569
,41.850932,-71.399393
,41.850176,-71.397212
,41.851103,-71.399896
,41.849626,-71.395775
,41.850152,-71.397148
,41.851103,-71.399896
,41.850766,-71.398906
,41.85071,-71.398741
,41.850584,-71.39837
,41.850766,-71.398906
,41.851043,-71.39972
,41.850262,-71.397449
,41.850169,-71.397193
,41.849991,-71.396716
,41.850262,-71.397449
,41.85071,-71.398741
,41.849991,-71.396716
,41.850584,-71.39837
,41.851103,-71.399896
,41.849795,-71.396202
,41.850208,-71.397301
,41.850794,-71.398989
,41.850319,-71.397605
,41.850377,-71.397769
,41.850169,-71.397193
,41.850365,-71.397731
,41.859291,-71.444856
,41.812559,-71.434317
,41.848462,-71.391841
,41.849361,-71.395074
,41.851376,-71.398571
,41.850738,-71.39676
,41.848576,-71.392256
,41.848547,-71.392152
,41.851148,-71.397881
,41.850638,-71.396502
,41.850972,-71.397389
,41.850792,-71.396905
,41.851907,-71.400174
,41.848533,-71.3921
,41.851089,-71.397716
,41.850972,-71.397389
,41.848672,-71.392613
,41.848758,-71.39293
,41.851326,-71.398417
,41.852016,-71.400501
,41.848576,-71.392256
,41.850738,-71.39676
,41.848931,-71.393566
,41.849082,-71.394113
,41.848774,-71.392991
,41.849496,-71.395433
,41.849238,-71.391963
,41.845359,-71.446998
,41.8496,-71.393322
,41.850162,-71.395204
,41.849555,-71.393152
,41.850454,-71.396007
,41.849188,-71.391776
,41.850638,-71.396502
,41.849507,-71.392973
,41.850454,-71.396007
,41.849238,-71.391963
,41.849511,-71.392989
,41.849765,-71.393939
,41.849685,-71.393638
,41.849238,-71.391963
,41.850106,-71.39505
,41.850627,-71.396475
,41.850165,-71.395212
,41.850106,-71.39505
,41.850563,-71.396302
,41.850572,-71.396326
,41.849557,-71.39316
,41.850503,-71.396139
,41.850511,-71.396161
,41.850443,-71.395978
,41.850097,-71.395025
,41.850298,-71.395581
,41.851053,-71.39558
,41.851243,-71.396048
,41.851365,-71.396368
,41.851053,-71.39558
,41.852463,-71.399676
,41.852567,-71.399977
,41.850386,-71.393524
,41.851386,-71.396425
,41.850952,-71.395307
,41.852572,-71.39999
,41.851247,-71.396058
,41.85274,-71.400475
,41.852597,-71.400064
,41.852689,-71.400329
,41.850326,-71.393305
,41.850385,-71.39352
,41.852505,-71.399796
,41.851178,-71.395887
,41.852648,-71.40021
,41.851247,-71.396058
,41.85118,-71.395894
