common_name,latitude_coordinate,longitude_coordinate
Crape myrtle,34.15870066,-117.6357523
,34.15872101,-117.6357494
Crape myrtle,34.15863415,-117.63572
,34.15877908,-117.6357068
,34.15861778,-117.6357032
,34.15859445,-117.6356834
,34.15853836,-117.6356324
Crape myrtle,34.15851756,-117.6356241
,34.15823515,-117.6356109
,34.15879997,-117.6356034
,34.15827237,-117.6356013
,34.15844956,-117.6355983
,34.15878883,-117.6355664
,34.15730314,-117.6355534
,34.15710773,-117.6355096
,34.15651959,-117.6354444
,34.15500606,-117.6353869
,34.1553415,-117.6353836
,34.15493953,-117.6353807
,34.15522954,-117.6353744
,34.15134708,-117.6344731
,34.14985638,-117.6344632
,34.14989209,-117.6344616
,34.14991126,-117.6344576
,34.14982138,-117.6344572
,34.15115206,-117.6344569
,34.14993793,-117.6344536
,34.1497622,-117.6344521
,34.14978012,-117.6344516
,34.15072773,-117.6344495
,34.15097121,-117.6344468
,34.15050272,-117.6344465
,34.15102455,-117.6344448
,34.15064273,-117.6344445
,34.15033937,-117.6344445
,34.1503877,-117.6344424
,34.15008628,-117.6344414
,34.15565201,-117.6343822
Crape myrtle,34.15815615,-117.6343733
Crape myrtle,34.15794565,-117.6343688
,34.15818196,-117.6343675
,34.15785673,-117.6343644
,34.15811895,-117.6343644
,34.15803547,-117.6343634
,34.15799283,-117.6343623
Crape myrtle,34.15806904,-117.634359
Crape myrtle,34.15780252,-117.6343574
,34.15287724,-117.6343467
,34.15447691,-117.6343396
,34.15441549,-117.634337
,34.15436873,-117.6343353
,34.15492573,-117.6343349
,34.15025963,-117.6343277
Crape myrtle,34.15373861,-117.6343259
,34.15315913,-117.6343257
,34.15308401,-117.6343248
Crape myrtle,34.15408725,-117.6343245
Crape myrtle,34.15404618,-117.6343243
,34.15311068,-117.6343241
,34.15313042,-117.6343241
,34.15309734,-117.6343238
,34.15305067,-117.6343229
Crape myrtle,34.15278453,-117.6343229
Crape myrtle,34.15370538,-117.6343218
,34.15301946,-117.6343212
,34.15346722,-117.6343209
Crape myrtle,34.15341461,-117.6343201
Crape myrtle,34.15337238,-117.6343193
,34.15295783,-117.6343191
,34.15300026,-117.6343186
,34.15296931,-117.6343174
,34.15298452,-117.6343174
,34.15226392,-117.6343142
Crape myrtle,34.15266646,-117.6343141
,34.15034765,-117.6343123
,34.15237583,-117.6343114
,34.15221532,-117.6343096
,34.15216671,-117.6343078
,34.15200188,-117.6343078
,34.15049027,-117.6343071
,34.1524417,-117.6343066
,34.15212797,-117.634306
,34.15089623,-117.6343024
,34.15098737,-117.6342968
,34.15083546,-117.634295
,34.1507859,-117.6342938
Crape myrtle,34.15718844,-117.6342434
Crape myrtle,34.15720292,-117.6342213
,34.1547743,-117.6342204
Crape myrtle,34.157191,-117.6341956
,34.15144006,-117.6341714
,34.15719015,-117.6341698
Crape myrtle,34.15719185,-117.6341426
Crape myrtle,34.15468192,-117.6341347
,34.15477843,-117.6341332
Crape myrtle,34.15720079,-117.6341277
Crape myrtle,34.15718995,-117.6341081
Crape myrtle,34.1515329,-117.634106
,34.14989866,-117.6340961
,34.14987651,-117.6340587
Crape myrtle,34.15468192,-117.6340583
,34.15477637,-117.6340486
,34.15144373,-117.6340268
Crape myrtle,34.15154379,-117.6340031
,34.14989108,-117.6339675
Crape myrtle,34.15468846,-117.6339583
Crape myrtle,34.15154861,-117.6339052
Crape myrtle,34.15469051,-117.6338843
,34.14989606,-117.6338476
,34.14989329,-117.6337868
Crape myrtle,34.15468492,-117.6337794
Crape myrtle,34.15156792,-117.6337769
,34.14978802,-117.6337607
,34.1498766,-117.6337515
,34.14978929,-117.6337136
,34.1514742,-117.6337006
,34.15149449,-117.6336204
