common_name,latitude_coordinate,longitude_coordinate
,38.5546016,-121.4752847
,38.6293552,-121.4430947
,38.6348858,-121.4398228
,38.6293552,-121.4430947
,38.665648,-121.4359908
,38.531915,-121.438736
,38.6262842,-121.4253681
,38.531968,-121.414305
,38.6293552,-121.4430947
,38.554767,-121.4803478
,38.531984,-121.421153
,38.626432,-121.42501
,38.633908,-121.441672
,38.577001,-121.463259
,38.644354,-121.43152
,38.6501756,-121.4478473
,38.6348858,-121.4398228
,38.6290859,-121.4233521
,38.5486929,-121.4697424
,38.665648,-121.4359908
,38.4843541,-121.5393215
,38.6297148,-121.4221357
,38.665648,-121.4359908
,38.5506822,-121.5099972
,38.6044396,-121.4493368
,38.5217904,-121.4906501
,38.626432,-121.42501
,38.626432,-121.42501
,38.6367652,-121.4329255
,38.626432,-121.42501
,38.6321694,-121.4275739
,38.6348858,-121.4398228
,38.6262842,-121.4253681
,38.628683,-121.438657
,38.5486929,-121.4697424
,38.5444756,-121.480925
,38.446846,-121.432101
,38.577001,-121.463259
,38.6348858,-121.4398228
,38.577001,-121.463259
,38.53198,-121.419273
,38.6297983,-121.4436434
,38.6348858,-121.4398228
,38.5616475,-121.4829098
,38.6348858,-121.4398228
,38.6304813,-121.4411425
,38.577001,-121.463259
,38.638289,-121.4293204
,38.6202652,-121.4400723
,38.4843541,-121.5393215
,38.6262842,-121.4253681
,38.4843541,-121.5393215
,38.665648,-121.4359908
,38.4843541,-121.5393215
,38.577001,-121.463259
,38.577001,-121.463259
,38.522134,-121.487565
,38.5568537,-121.4747561
,38.6510933,-121.4326206
,38.6348858,-121.4398228
,38.6348858,-121.4398228
,38.622469,-121.4275815
,38.5568537,-121.4747561
,38.6348858,-121.4398228
,38.626432,-121.42501
,38.6373291,-121.4428563
,38.5486929,-121.4697424
,38.4843541,-121.5393215
,38.539264,-121.46626
,38.6510758,-121.431064
,38.6283779,-121.4425806
,38.626432,-121.42501
,38.6348858,-121.4398228
,38.6282803,-121.4407858
,38.6348858,-121.4398228
,38.6501756,-121.4478473
,38.5501165,-121.4667286
,38.531915,-121.438736
,38.5217904,-121.4906501
,38.577001,-121.463259
,38.6348858,-121.4398228
,38.6348858,-121.4398228
,38.6510758,-121.431064
,38.531915,-121.438736
,38.4843541,-121.5393215
,38.6348858,-121.4398228
,38.6370056,-121.4394253
,38.626432,-121.42501
,38.4993384,-121.4806975
,38.6321694,-121.4275739
,38.6285619,-121.4395945
,38.665648,-121.4359908
,38.6321694,-121.4275739
,38.4843541,-121.5393215
,38.4843541,-121.5393215
,38.6386769,-121.4161865
,38.4843541,-121.5393215
,38.6293552,-121.4430947
,38.6510933,-121.4326206
,38.531915,-121.438736
,38.4843541,-121.5393215
,38.577001,-121.463259
,38.5568537,-121.4747561
,38.6321694,-121.4275739
,38.531968,-121.414305
,38.5616475,-121.4829098
,38.5727759,-121.4933021
,38.5480699,-121.4628094
,38.506486,-121.483011
,38.544807,-121.409048
,38.582576,-121.4695852
,38.5629265,-121.4838469
,38.5608244,-121.4470397
,38.55341,-121.443304
,38.5505943,-121.5099988
,38.5505292,-121.5100001
,38.5483617,-121.4607991
,38.506486,-121.483011
,38.5502569,-121.4629685
,38.5622419,-121.4812831
,38.6049118,-121.4514716
,38.506486,-121.483011
,38.5592989,-121.4800778
,38.5656777,-121.4922102
,38.5671246,-121.4989168
,38.5557045,-121.4948622
,38.562811,-121.48276
,38.5730758,-121.4898531
,38.506486,-121.483011
,38.5460349,-121.4330548
,38.449236,-121.414598
,38.5717221,-121.4801578
,38.5828138,-121.4750752
,38.6372719,-121.4267403
,38.544685,-121.409155
,38.581753,-121.468644
,38.544807,-121.409048
,38.5523907,-121.5044359
,38.5609184,-121.4894754
,38.57534,-121.47762
,38.5825495,-121.4772447
,38.5530126,-121.4407796
,38.6088657,-121.4604498
,38.5823746,-121.4694827
,38.5711273,-121.4857709
,38.552388,-121.4472949
,38.5848762,-121.492886
,38.497918,-121.482862
,38.5730758,-121.4898531
,38.552743,-121.472245
,38.5790427,-121.4941251
,38.5630825,-121.4837789
,38.561967,-121.47569
,38.5572741,-121.5017898
,38.562811,-121.48276
,38.497918,-121.482862
,38.5774103,-121.4917753
,38.5809933,-121.4865583
,38.58207,-121.472941
,38.5716001,-121.4513476
,38.544685,-121.409155
,38.5713956,-121.4748433
,38.552422,-121.442662
,38.6787169,-121.495851
,38.4953663,-121.4825062
,38.5547434,-121.4484712
,38.5729073,-121.5012229
,38.5522622,-121.4879098
,38.4744294,-121.4945031
,38.5515918,-121.4459075
,38.5465726,-121.4579009
,38.5057849,-121.5448094
,38.544807,-121.409048
,38.5568537,-121.4747561
,38.5749974,-121.4830796
,38.5498691,-121.5086905
,38.5520362,-121.4240992
,38.5494348,-121.460553
,38.4757056,-121.4910019
,38.5546444,-121.4777303
,38.558346,-121.461272
,38.5482061,-121.4792588
,38.561198,-121.482028
,38.5814464,-121.474534
,38.4849232,-121.5184769
,38.5659923,-121.4855107
,38.659925,-121.549067
,38.555127,-121.444074
,38.5773064,-121.4816484
,38.5498649,-121.4615075
,38.559663,-121.466689
,38.5747465,-121.4540125
,38.5841687,-121.4809967
,38.57429,-121.494411
,38.557169,-121.4590692
,38.561637,-121.474616
,38.5734939,-121.4739353
,38.4765683,-121.4954052
,38.5489011,-121.4825396
,38.5498691,-121.5086905
,38.5733144,-121.4886735
,38.637225,-121.4220549
,38.6367096,-121.4276568
,38.497918,-121.482862
,38.5650892,-121.5012514
,38.497918,-121.482862
,38.5783486,-121.4818862
,38.6094784,-121.4559507
,38.6084874,-121.4566638
,38.56306,-121.4836941
,38.6039586,-121.4545129
,38.474889,-121.495152
,38.5748468,-121.4772493
,38.4757056,-121.4910019
,38.5325027,-121.4284881
,38.548189,-121.4568029
,38.5547013,-121.4483181
,38.5529616,-121.455231
,38.5040698,-121.5462071
,38.5815857,-121.4894333
,38.5502569,-121.4629685
,38.571617,-121.482213
,38.5790427,-121.4941251
,38.559509,-121.456966
,38.4743571,-121.4446492
,38.5250432,-121.4157987
,38.5489102,-121.4628577
,38.506486,-121.483011
,38.6091366,-121.4604486
,38.5671653,-121.4870953
,38.555859,-121.487232
,38.5719273,-121.4865144
,38.497918,-121.482862
,38.5755697,-121.4992146
,38.6117119,-121.4479013
,38.6333251,-121.4209503
,38.5547268,-121.4439345
,38.5731519,-121.494716
,38.5716724,-121.4845885
,38.5107472,-121.4358978
,38.6128563,-121.4455417
,38.544685,-121.409155
,38.5716835,-121.4846304
,38.506486,-121.483011
,38.4743571,-121.4446492
,38.5834832,-121.4913278
,38.5650892,-121.5012514
,38.5729073,-121.5012229
,38.559404,-121.458429
,38.6418917,-121.4176109
,38.582786,-121.489526
,38.5576287,-121.4768583
,38.5716946,-121.4846723
,38.6351208,-121.4278701
,38.5548977,-121.4490326
,38.5712007,-121.4749279
,38.5663391,-121.4914073
,38.56168,-121.4818186
,38.567043,-121.485673
,38.5494232,-121.4605097
,38.5594007,-121.4406042
,38.544685,-121.409155
,38.572805,-121.488839
,38.5505292,-121.5100001
,38.4744456,-121.4885605
,38.5488786,-121.4620854
,38.506486,-121.483011
,38.5463257,-121.470113
,38.6322066,-121.4196661
,38.5510402,-121.4815194
,38.5594007,-121.4406042
,38.543855,-121.480156
,38.5713469,-121.4748644
,38.497918,-121.482862
,38.55826,-121.480308
,38.609272,-121.460448
,38.6063848,-121.4617687
,38.544685,-121.409155
,38.5549474,-121.4485808
,38.4741932,-121.4447622
,38.5674109,-121.4942035
,38.5828,-121.4750234
,38.563445,-121.478284
,38.496036,-121.4039824
,38.558346,-121.461272
,38.5742791,-121.4899616
,38.5505292,-121.5100001
,38.5832151,-121.4857336
,38.577098,-121.479612
,38.6056998,-121.451872
,38.552034,-121.440235
,38.5500437,-121.4621747
,38.581009,-121.479627
,38.544807,-121.409048
,38.5397807,-121.4638565
,38.5779101,-121.4847801
,38.5834832,-121.4913278
,38.5488451,-121.4619589
,38.6383806,-121.4220488
,38.5409422,-121.4494296
,38.5715942,-121.4851794
,38.5499597,-121.5058464
,38.570971,-121.506288
,38.57008,-121.483189
,38.552388,-121.4472949
,38.577662,-121.479312
,38.5556949,-121.4437301
,38.544685,-121.409155
,38.575088,-121.4792122
,38.5715315,-121.4658565
,38.631798,-121.444859
,38.6128563,-121.4455417
,38.5712007,-121.4749279
,38.5520471,-121.4435237
,38.497918,-121.482862
,38.6385346,-121.4231723
,38.6370383,-121.4396352
,38.5549958,-121.4493898
,38.571059,-121.50625
,38.5502396,-121.4629043
,38.544685,-121.409155
,38.5527489,-121.4783957
,38.5621409,-121.4923227
,38.5681191,-121.4934877
,38.572589,-121.47405
,38.5529616,-121.455231
,38.4492741,-121.4145968
,38.5590135,-121.4460397
,38.5702645,-121.479304
,38.6369718,-121.4338296
,38.560063,-121.481017
,38.575088,-121.4792122
,38.571706,-121.4517403
,38.548921,-121.480376
,38.5716001,-121.4513476
,38.5470117,-121.4750947
,38.496036,-121.4039824
,38.5571866,-121.4567279
,38.5498529,-121.4621127
,38.5801405,-121.4995008
,38.6777135,-121.525475
