common_name,latitude_coordinate,longitude_coordinate
,43.50783569,-96.75460129
,43.56179432,-96.73985939
,43.56177513,-96.73987222
,43.5617949,-96.73988587
,43.56184514,-96.7399296
,43.56184063,-96.73996026
,43.5615656,-96.73965053
,43.56154019,-96.73966325
,43.53323936,-96.7018042
,43.53312799,-96.70162678
,43.51014902,-96.65373071
,43.51007423,-96.6547442
,43.50996527,-96.65484536
,43.51231938,-96.65517747
,43.51177268,-96.65552895
,43.51091931,-96.65734061
,43.51090284,-96.65746329
,43.51257269,-96.65940017
,43.49710382,-96.80374349
,43.49717081,-96.80371499
,43.53365055,-96.76358634
,43.53242133,-96.72308595
,43.56124939,-96.7400029
,43.56117838,-96.74027039
,43.56121603,-96.74116653
,43.56196431,-96.76345375
,43.56203258,-96.76356599
,43.56212067,-96.76358695
,43.56167458,-96.74014953
,43.56164969,-96.74029994
,43.56160415,-96.74033834
,43.56155655,-96.74029263
,43.56165238,-96.74017788
,43.56155326,-96.73983439
,43.56163959,-96.74012656
,43.50775566,-96.6606232
,43.50786679,-96.66070036
,43.50943533,-96.65719915
,43.5127691,-96.6598841
,43.50822594,-96.65561001
,43.50813743,-96.65554798
,43.50479597,-96.74279304
,43.50448068,-96.74259289
,43.50514996,-96.74194884
,43.50728579,-96.73628808
,43.50695178,-96.73601506
,43.5065394,-96.73574655
,43.50616155,-96.73546785
,43.50596354,-96.73534495
,43.50577899,-96.73519699
,43.50557746,-96.73506819
,43.50586112,-96.73416329
,43.50712165,-96.73617261
,43.50768595,-96.73548953
,43.50626009,-96.73443728
,43.50662918,-96.73473321
,43.50709627,-96.7350626
,43.50749445,-96.73535413
,43.5078925,-96.7345473
,43.50771455,-96.73441629
,43.5075114,-96.73427763
,43.50799112,-96.73352932
,43.50901188,-96.72769513
,43.5090055,-96.72557045
,43.50880487,-96.72530914
,43.50899279,-96.72468257
,43.51100665,-96.71531597
,43.51091886,-96.7154696
,43.50189279,-96.70151462
,43.50197904,-96.70151495
,43.50186391,-96.70172304
,43.5018712,-96.70291299
,43.50187201,-96.70309557
,43.5129046,-96.65583229
,43.52352479,-96.69727336
,43.50729692,-96.73521192
,43.5351629,-96.76291862
,43.52349309,-96.6969742
,43.52310171,-96.69720781
,43.52312388,-96.69698826
,43.52299729,-96.69695426
,43.52267298,-96.69698727
,43.52255514,-96.69699308
,43.52228813,-96.6985645
,43.52224374,-96.69871093
,43.52223155,-96.69916349
,43.52241985,-96.69943591
,43.52104278,-96.69977787
,43.5209943,-96.699132
,43.52230427,-96.68007847
,43.522306,-96.67996618
,43.56823414,-96.71097258
,43.56814076,-96.71100052
,43.56805907,-96.71098639
,43.56794059,-96.71101737
,43.58081943,-96.70887235
,43.58092647,-96.70886829
,43.58103208,-96.70886843
,43.58113734,-96.70900744
,43.56166069,-96.74011502
,43.54296649,-96.81112542
,43.53481362,-96.73945071
,43.53480376,-96.73960454
,43.53480447,-96.73969953
,43.53407779,-96.73883355
,43.53414743,-96.73893209
,43.53401371,-96.73891966
,43.53401419,-96.73912895
,43.53401158,-96.73930487
,43.53401239,-96.73946894
,43.53400758,-96.73962289
,43.53400671,-96.73979734
,43.5341043,-96.73992765
,43.53422245,-96.73992659
,43.53436254,-96.73992638
,43.53447108,-96.73993237
,43.53457456,-96.7399285
,43.53473521,-96.73992082
,43.53466709,-96.73980873
,43.5345945,-96.73970683
,43.53469118,-96.73956926
,43.53424922,-96.73976961
,43.53425017,-96.73950892
,43.53414985,-96.73970492
,43.53414795,-96.73979374
,43.53408688,-96.73945037
,43.53434034,-96.73911174
,43.53433983,-96.73896273
,43.53408955,-96.7638352
,43.53401245,-96.76396528
,43.53399602,-96.76399293
Honeylocust,43.53310581,-96.76385291
Honeylocust,43.53310703,-96.76396481
Honeylocust,43.53310411,-96.76408276
Honeylocust,43.53310337,-96.76419698
Honeylocust,43.53310206,-96.76431622
Honeylocust,43.53310346,-96.76442171
Honeylocust,43.53311326,-96.76466882
Honeylocust,43.53311171,-96.76479785
Honeylocust,43.53332636,-96.7648922
Honeylocust,43.53324664,-96.76493113
,43.53327203,-96.76461291
,43.53328146,-96.76452095
,43.5332864,-96.76444991
,43.53321221,-96.76428608
,43.53322135,-96.76406979
,43.53322663,-96.76400135
,43.53318934,-96.76386049
,43.53324794,-96.76358513
,43.53323118,-96.76322395
,43.53326012,-96.76297811
,43.53333501,-96.76297454
,43.53330097,-96.76309155
,43.5333645,-96.76317504
,43.53336911,-96.76328681
,43.5333931,-96.7633969
,43.53331862,-96.76340662
,43.53330353,-96.76350246
,43.53339307,-96.76359305
,43.53336034,-96.76379806
,43.53331013,-96.76384003
,43.5332822,-96.76389903
,43.53338121,-96.76394707
,43.5334075,-96.76400967
,43.51112231,-96.71812272
,43.50921736,-96.72778744
,43.51130364,-96.7181037
,43.51168643,-96.71841521
,43.5119453,-96.71817534
,43.51186455,-96.71780919
,43.51192358,-96.71741643
,43.51215179,-96.71708584
,43.51223028,-96.71683018
,43.51179956,-96.71703021
,43.511592,-96.71752047
,43.51139869,-96.71711187
,43.51129893,-96.7176367
,43.51109266,-96.7177378
,43.50913855,-96.72770622
,43.50916169,-96.72757572
,43.50913494,-96.72749339
,43.50928684,-96.72746076
,43.50927278,-96.72755965
,43.50926158,-96.72766962
,43.5093347,-96.72769549
,43.50935799,-96.72760371
,43.50935698,-96.7275221
,43.5096494,-96.72743873
,43.50953709,-96.72745978
,43.50944483,-96.72753395
,43.50944531,-96.72768124
,43.50938998,-96.72778285
,43.49492936,-96.71367755
,43.49484469,-96.71384241
,43.49483885,-96.71414472
,43.49495227,-96.71458139
,43.49500829,-96.71473594
,43.49494923,-96.71480847
,43.49487387,-96.71464786
,43.49488961,-96.71473298
,43.49490789,-96.71481281
,43.49494346,-96.71489892
,43.49497426,-96.71497341
,43.49500087,-96.71451014
,43.49515682,-96.71472776
,43.50718151,-96.73702075
,43.50715251,-96.7370907
,43.50712331,-96.73715022
,43.5070976,-96.73723257
,43.50707189,-96.73731491
,43.50704319,-96.73739946
,43.50702495,-96.73747526
,43.50699009,-96.73755586
,43.50694047,-96.73714921
,43.50684695,-96.73707708
,43.50673913,-96.73700181
,43.50664211,-96.73693449
,43.50654505,-96.73686508
,43.50644187,-96.73679381
,43.50634944,-96.73672841
,43.5062448,-96.73664796
,43.50615679,-96.73658361
,43.50589231,-96.73639899
,43.50580024,-96.73633447
,43.50570855,-96.73626221
,43.50561349,-96.73619653
,43.50551351,-96.73611975
,43.50542338,-96.73606676
,43.50532816,-96.73599303
,43.53125814,-96.75143858
,43.50523426,-96.7359273
,43.50513324,-96.73585701
,43.50503814,-96.73578971
,43.50494181,-96.73571924
,43.53333094,-96.76407189
,43.53336192,-96.76413329
,43.53330437,-96.76414008
,43.53333583,-96.76428618
,43.53327481,-96.7642891
,43.53309377,-96.76509603
,43.53306067,-96.76511391
,43.53319187,-96.76512971
,43.53325356,-96.7651225
,43.53599514,-96.76391495
,43.53622637,-96.76395677
,43.53643992,-96.76401951
,43.53659172,-96.76404788
,43.5365998,-96.7639403
,43.53661392,-96.76384449
,43.50244334,-96.76504186
,43.50246165,-96.76512119
,43.50246524,-96.76515101
,43.50244738,-96.76518189
,43.50243536,-96.76519434
,43.50235828,-96.76512061
,43.50235182,-96.76519742
,43.50237165,-96.76519395
,43.50243437,-96.76529919
,43.50248609,-96.76529728
,43.50246904,-96.76534167
,43.5025409,-96.76545387
,43.50289453,-96.76571587
,43.50288117,-96.76573399
,43.50266568,-96.76570684
,43.50264287,-96.76563766
,43.50262119,-96.76568582
,43.50240004,-96.76553198
,43.50235617,-96.76548447
,43.50234766,-96.7655799
,43.50239066,-96.76563437
,43.5047608,-96.76558874
,43.50471832,-96.76565781
,43.50460965,-96.76564763
,43.50466321,-96.765745
,43.50508098,-96.76545964
,43.50505199,-96.76561838
,43.5018299,-96.76376165
,43.50182838,-96.76381013
,43.50186451,-96.76397166
,43.50190303,-96.76403332
,43.5020055,-96.76399011
,43.50192649,-96.76386875
,43.50290334,-96.75821792
