common_name,latitude_coordinate,longitude_coordinate
,38.65367804,-90.28169995
,38.65368153,-90.28175737
Callery pear,38.64842951,-90.28514266
,38.64814906,-90.28073138
London planetree,38.71747637,-90.23876331
,38.71412056,-90.23305755
,38.71409725,-90.23879335
,38.65311846,-90.27608176
Red maple,38.64847508,-90.28423078
Red maple,38.64847096,-90.28411403
,38.71783382,-90.24004126
,38.65241566,-90.27196459
,38.65122503,-90.284058
,38.6511979,-90.28384728
,38.65111617,-90.28292594
,38.65411783,-90.28738074
,38.59332745,-90.24292561
,38.59319366,-90.24308756
Green ash,38.65257803,-90.27240784
Green ash,38.65258992,-90.27254708
,38.65111622,-90.28404593
,38.65115648,-90.28333294
,38.65111728,-90.29356511
Littleleaf linden,38.60253834,-90.26118433
,38.57989401,-90.24591635
Pin oak,38.58017344,-90.24596341
Littleleaf linden,38.58078201,-90.24546884
,38.59611913,-90.25892432
,38.65429495,-90.28814311
,38.65430129,-90.28822211
Green ash,38.6044633,-90.26064333
,38.60446739,-90.26048435
,38.60270826,-90.2497231
,38.60262137,-90.24974698
Green ash,38.58017367,-90.24756041
,38.5802937,-90.24910426
Green ash,38.58157128,-90.24773282
,38.58574821,-90.25349721
,38.59519379,-90.25117534
Pin oak,38.72549523,-90.22704867
,38.72423155,-90.22719653
Pin oak,38.72578906,-90.23247742
,38.72646099,-90.22823474
,38.72644906,-90.22830311
,38.72132508,-90.23150045
,38.7214852,-90.23503714
Red maple,38.65832428,-90.29331743
,38.71617128,-90.2400702
Pin oak,38.71627898,-90.2400488
,38.71479272,-90.23692494
,38.65358166,-90.2807258
,38.65359024,-90.2808033
,38.6031307,-90.25676337
Red maple,38.60312756,-90.25665449
,38.72056512,-90.24032476
,38.71354755,-90.2402323
Littleleaf linden,38.64856628,-90.28366456
,38.65041936,-90.28483533
,38.65059471,-90.28478762
Littleleaf linden,38.65372896,-90.2834837
,38.64886982,-90.28901512
,38.65051644,-90.29110478
Callery pear,38.65073456,-90.29154386
,38.65018301,-90.29401564
