common_name,latitude_coordinate,longitude_coordinate
Red maple,35.101521,-117.994548
Red maple,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
,35.101521,-117.994548
Red maple,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
Red maple,35.101521,-117.994548
Red maple,35.101521,-117.994548
Red maple,35.101521,-117.994548
,35.101521,-117.994548
Red maple,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
Red maple,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
Red maple,35.101521,-117.994548
,37.9578312,-121.3098255
,35.101521,-117.994548
,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
,37.9798029,-121.300466
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
,37.9596902,-121.2930548
Crape myrtle,35.101521,-117.994548
Crape myrtle,35.101521,-117.994548
,37.9550219,-121.3425173
,37.9550219,-121.3425173
,37.9550219,-121.3425173
,37.9550219,-121.3425173
,37.9550219,-121.3425173
,37.9550219,-121.3425173
,37.9550219,-121.3425173
,37.9550219,-121.3425173
,37.9550219,-121.3425173
,37.9550219,-121.3425173
,37.9550219,-121.3425173
,37.9550219,-121.3425173
,37.9550219,-121.3425173
,37.9550219,-121.3425173
