common_name,latitude_coordinate,longitude_coordinate
Live oak,27.94302574,-82.5044368
,27.8981948,-82.49650102
,27.97886193,-82.47000239
,28.00507092,-82.46053642
,27.99294553,-82.43992804
,27.99305485,-82.43993151
,28.05639233,-82.40361372
,28.05643066,-82.40363821
,28.0566552,-82.40374448
,28.05644774,-82.40366223
,28.05666441,-82.40385112
,28.05671708,-82.40369825
,28.05673732,-82.40371411
,28.05645494,-82.40368056
,28.0688796,-82.41201277
,28.05635795,-82.40376578
,28.05730646,-82.40416276
,28.05672022,-82.40372012
,28.05634094,-82.40376025
,28.05635057,-82.40375661
,28.0566518,-82.40379379
,28.05663711,-82.40380875
,28.05709761,-82.40397361
,28.05733861,-82.4043642
,28.05633656,-82.4038244
,28.05711626,-82.40399157
,28.06888161,-82.41187333
,28.05732966,-82.40422953
,28.05739373,-82.40451226
,28.0566044,-82.40385907
,28.05713379,-82.40399828
,28.05735795,-82.40426874
,28.05718626,-82.40402061
,28.05620985,-82.40384763
,28.05738442,-82.40433626
,28.00656062,-82.45856284
,28.05666463,-82.4038865
,28.05738821,-82.40432165
,28.05750398,-82.40456584
Live oak,27.9393039,-82.51779815
,28.05753263,-82.40447032
Live oak,27.93937738,-82.517833
,28.05669839,-82.40389722
,28.05721995,-82.40403566
,28.05740291,-82.40430998
,28.05755324,-82.40447235
,28.05711574,-82.40412356
,28.05620943,-82.40388875
,28.05670613,-82.4038921
,28.05619297,-82.40386678
,28.05662112,-82.40395063
,28.05632439,-82.40388464
,28.05661327,-82.40395892
,28.05757419,-82.40442054
,28.0566251,-82.40395892
Live oak,27.96402672,-82.46554175
,28.05635038,-82.40389252
Live oak,28.05756396,-82.40424907
,27.9220987,-82.51625371
,27.92217054,-82.51624989
,27.9868264,-82.46818485
,27.98682476,-82.46831685
,28.05720085,-82.40419136
,28.05638542,-82.40341084
,28.05639142,-82.40380818
,28.05697704,-82.40415129
,28.05636849,-82.40347601
,28.05640041,-82.40349103
,28.05654729,-82.40370774
,28.05699589,-82.40415721
,28.05724476,-82.40412806
,28.05657844,-82.40368784
,28.05639673,-82.4035049
,28.0566144,-82.40363105
,28.05726946,-82.40406368
,28.05645141,-82.40360713
,28.05660984,-82.40364853
,28.05639646,-82.40345849
,28.05618489,-82.40350539
,28.05665014,-82.40365616
,28.0564405,-82.40348895
,28.05792208,-82.4237011
,28.05639522,-82.40349786
,28.05661691,-82.40372027
Live oak,27.97214783,-82.47268329
,27.92146881,-82.50187796
,27.92131912,-82.50187683
,28.05657823,-82.40374756
,28.05641604,-82.40359385
,28.05661072,-82.40370224
,28.0570081,-82.40416478
Live oak,28.05599796,-82.41176872
,28.05486469,-82.41375368
,28.06122125,-82.41325609
,28.05846499,-82.41322866
,28.06849353,-82.41116108
,28.06174931,-82.41452435
,28.00649157,-82.44687583
,28.05860746,-82.41974478
Live oak,28.05606007,-82.4117695
,28.06157428,-82.414573
,28.06122779,-82.41322769
Live oak,28.05612243,-82.41183826
,28.05817372,-82.41323131
,28.05871273,-82.41973219
,28.06123351,-82.41319717
Live oak,28.05612959,-82.41178651
,28.05486334,-82.41380093
,28.05837972,-82.42353128
,28.05842517,-82.42321186
,28.04119367,-82.47886387
,27.98551402,-82.46356025
,28.0602143,-82.41901188
Live oak,28.06467203,-82.41978653
,28.05900869,-82.41868794
,28.05838241,-82.42385642
,28.06838216,-82.41109641
,28.06021802,-82.41905594
,28.06845618,-82.41308099
,28.05858079,-82.41859975
,28.05874873,-82.41968282
,28.06131599,-82.41308282
Live oak,28.05637281,-82.41186264
,28.05494345,-82.41380694
,28.05555406,-82.41132358
,28.06826021,-82.41219953
